id,character,input_path,source_page,direct_url,source_sha256,selection,segment_start,segment_duration,raw_path,processed_path,identity_basis,cleanup_profile,duration,sample_rate,channels,bit_depth,integrated_loudness,true_peak,clipping_ratio,silence_ratio,estimated_snr,speech_or_vocal_ratio,music_probability,multiple_speaker_probability,quality_status,rejection_reasons,processed_at,notes
godie-n01c,勇者小呆,incoming/downloaded_permitted/replacements/packs/godie-n01c__youtube.wav,https://www.youtube.com/watch?v=k4Zu2LqArqI,https://www.youtube.com/watch?v=k4Zu2LqArqI,3e06106eaf8d52e58d993335772fcddef2983821c0930c08e8281e708d16f6f5,auto_best_8s,292.862,7.307,approved/replacements/raw/godie-n01c.wav,approved/replacements/processed/godie-n01c.wav,exact named Japanese game voice files,game_asset_highpass_loudnorm_no_denoise,7.307,24000,1,16,-18.1,-3.0,0.0,0.087671,38.74,0.912329,0.3631,0.4623,usable,,2026-07-25T07:02:26.731819+00:00,Jump Force Dai Japanese voice compilation
godie-u00h,鬼畜狂刀KYO,incoming/downloaded_permitted/replacements/packs/godie-u00h__youtube.wav,https://www.youtube.com/watch?v=-9kcvUL2Qlk,https://www.youtube.com/watch?v=-9kcvUL2Qlk,a055a3eff500aba124d7f6a06a5a474d50c415e8ff6aececc5454610aa7113e4,auto_best_8s,109.468,8.000,approved/replacements/raw/godie-u00h.wav,approved/replacements/processed/godie-u00h.wav,exact character named game footage,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-19.7,-3.2,0.0,0.05,32.5,0.95,0.3735,0.1615,usable,,2026-07-25T07:02:27.773263+00:00,Samurai Deeper Kyo final attack sequence
godie-e002,Saber,incoming/downloaded_permitted/replacements/packs/godie-e002__youtube.wav,https://www.youtube.com/watch?v=URHpKGlxh94,https://www.youtube.com/watch?v=URHpKGlxh94,1ebf8b32d048f58de5d4a09da0b9c4269c71162228d21af0a9e2b857cafd32e0,auto_best_8s,334.000,8.000,approved/replacements/raw/godie-e002.wav,approved/replacements/processed/godie-e002.wav,exact named Japanese game voice lines,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-19.4,-4.9,0.0,0.005,27.2,0.995,0.6541,1.0,usable,,2026-07-25T07:02:30.080736+00:00,Saber all voice lines Japanese; single-character asset overrides spectral speaker heuristic
godie-e008,夏娜,incoming/downloaded_permitted/replacements/packs/godie-e008__youtube.wav,https://www.youtube.com/watch?v=DhjCze9zOOo,https://www.youtube.com/watch?v=DhjCze9zOOo,08c40276ff4956d80814774102bb38f56af3095bcc99a1257687a2c63b458207,auto_best_8s,15.673,5.673,approved/replacements/raw/godie-e008.wav,approved/replacements/processed/godie-e008.wav,exact named Japanese game voice lines,game_asset_highpass_loudnorm_no_denoise,5.673,24000,1,16,-19.1,-5.2,0.0,0.070671,26.72,0.929329,0.4505,0.6534,usable,,2026-07-25T07:02:30.885475+00:00,Crossing Void Shana voice compilation
godie-edem,宇智波佐助,incoming/downloaded_permitted/replacements/packs/godie-edem__youtube.wav,https://www.youtube.com/watch?v=1o--LCsrpqw,https://www.youtube.com/watch?v=1o--LCsrpqw,387c8c9f094a538e9ccf4f86f3873cb02b088cd8a47f2a3f614075e074e1d474,auto_best_8s,221.691,5.872,approved/replacements/raw/godie-edem.wav,approved/replacements/processed/godie-edem.wav,exact named Japanese game voice lines,game_asset_highpass_loudnorm_no_denoise,5.872,24000,1,16,-18.5,-4.0,0.0,0.133106,39.21,0.866894,0.3518,0.4348,usable,,2026-07-25T07:02:33.399820+00:00,Jump Force Sasuke Japanese voice compilation
godie-h00l,林克,incoming/downloaded_permitted/replacements/packs/godie-h00l__youtube.wav,https://www.youtube.com/watch?v=2cK0DGC_r-w,https://www.youtube.com/watch?v=2cK0DGC_r-w,09b7876abd5d8447bf295eb93e75fd2809ec69a06d9c593af33fecf8e6a165eb,auto_best_8s,8.862,8.000,approved/replacements/raw/godie-h00l.wav,approved/replacements/processed/godie-h00l.wav,exact named character voice files,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-18.3,-4.1,0.0,0.3125,38.83,0.6875,0.56,0.0871,usable,,2026-07-25T07:02:34.884536+00:00,Super Smash Bros Ultimate Link voice compilation
godie-h01n,黑崎一護,incoming/downloaded_permitted/replacements/packs/godie-h01n__youtube.wav,https://www.youtube.com/watch?v=oq0RO-cuzt4,https://www.youtube.com/watch?v=oq0RO-cuzt4,ef112e4c606a9c13a4c9668aafa104a5ae0ebe84a986110520092e1666ac6ae6,auto_best_8s,164.700,7.117,approved/replacements/raw/godie-h01n.wav,approved/replacements/processed/godie-h01n.wav,exact named Japanese game voice lines,game_asset_highpass_loudnorm_no_denoise,7.117,24000,1,16,-19.1,-4.0,0.0,0.185915,38.11,0.814085,0.3804,0.3011,usable,,2026-07-25T07:02:37.361925+00:00,Jump Force Ichigo Japanese voice compilation
godie-h01u,呂布奉先,incoming/downloaded_permitted/replacements/packs/godie-h01u__youtube.wav,https://www.youtube.com/watch?v=BiRYdxMaOV4,https://www.youtube.com/watch?v=BiRYdxMaOV4,d249b43d3fba1a80ede6bbd36831047270105cfc51a261b0cb409e1ce2a321e3,auto_best_8s,13.769,8.000,approved/replacements/raw/godie-h01u.wav,approved/replacements/processed/godie-h01u.wav,exact named Japanese game voice lines,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-19.1,-8.3,0.0,0.2275,43.15,0.7725,0.4756,0.5543,usable,,2026-07-25T07:02:39.314156+00:00,Dynasty Warriors 8 Lu Bu Japanese lines
godie-h020,莉娜因巴斯,incoming/downloaded_permitted/replacements/cleaned/godie-h020__lina_slayers_royal_dialogue.wav,https://rutube.ru/video/29902a507d1b8ba487396bd079b6e03a/,https://rutube.ru/video/29902a507d1b8ba487396bd079b6e03a/,face5291e15bcee02003a608eb4102d2349534a6a0f68dda397ef28b81e36722,whole_file,0.000,13.199,approved/replacements/raw/godie-h020.wav,approved/replacements/processed/godie-h020.wav,exact cast-credited Japanese PS1 game dialogue,game_asset_highpass_loudnorm_no_denoise,13.1989,24000,1,16,-19.3,-4.5,0.0,0.130501,38.04,0.869499,0.6877,0.2429,usable,,2026-07-25T07:02:39.976940+00:00,"Slayers Royal direct SLAY.XAB voice rip; PS1 credits list Lina=林原めぐみ; isolated Lina replies at 00:13.188-00:17.626, 01:20.239-01:21.783, 01:30.380-01:34.163 and 01:36.421-01:39.106; all prior Dragon Slave candidates withdrawn after user correction"
godie-h02r,妙蛙花,incoming/downloaded_permitted/replacements/packs/godie-h02r__venusaur_cry.wav,https://www.youtube.com/watch?v=XriVZUsPQWY,https://www.youtube.com/watch?v=XriVZUsPQWY,1ba02019a3b3bbe9431994dcba905f9e6f9110bf8ffc583d0dda3dd6f38c22b4,whole_file,0.000,12.945,approved/replacements/raw/godie-h02r.wav,approved/replacements/processed/godie-h02r.wav,exact named creature sounds,game_asset_highpass_loudnorm_no_denoise,12.945,24000,1,16,-19.3,-5.7,0.0,0.446677,39.69,0.553323,0.2762,0.048,usable,,2026-07-25T07:02:40.542247+00:00,Venusaur-only Pokedex-number-003 cry source
godie-hapm,Berserker,incoming/downloaded_permitted/replacements/packs/godie-hapm__youtube.wav,https://www.youtube.com/watch?v=6gchymVW-ZI,https://www.youtube.com/watch?v=6gchymVW-ZI,3f0aa7da5c13daaadaf2b73392c527204df1bfc8dc7766b06b45379262299ad0,auto_best_8s,37.224,8.000,approved/replacements/raw/godie-hapm.wav,approved/replacements/processed/godie-hapm.wav,exact named Japanese game voice files,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-19.3,-8.6,0.0,0.1825,38.9,0.8175,0.6363,0.2452,usable,,2026-07-25T07:02:41.497480+00:00,FGO Arcade Heracles Berserker voice set
godie-hart,克勞德,incoming/downloaded_permitted/replacements/packs/godie-hart__youtube.wav,https://www.youtube.com/watch?v=8GGuOFZm-ns,https://www.youtube.com/watch?v=8GGuOFZm-ns,84d6549bf59bf02419b6f1b776fade94e5d96bfc340ef2d066ccb693f30f93ee,manual:9.27:8,9.270,8.000,approved/replacements/raw/godie-hart.wav,approved/replacements/processed/godie-hart.wav,exact named Japanese game voice files,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-18.8,-2.0,0.0,0.505,42.98,0.495,0.2581,0.6461,usable,,2026-07-25T07:02:42.040438+00:00,Dissidia Final Fantasy NT Cloud Japanese voice compilation; early isolated voice-only lines selected before the outro
godie-huth,魔人普烏,incoming/downloaded_permitted/replacements/packs/godie-huth__youtube.wav,https://www.youtube.com/watch?v=-_sM2VQNo18,https://www.youtube.com/watch?v=-_sM2VQNo18,dedbf09d2fbbbe0b2a63287c656ff658261adc70db455c9b9cbe83d6b706ec1e,auto_best_8s,32.497,13.970,approved/replacements/raw/godie-huth.wav,approved/replacements/processed/godie-huth.wav,exact named Japanese game voice files,game_asset_highpass_loudnorm_no_denoise,13.97,24000,1,16,-19.2,-6.8,0.0,0.174785,39.16,0.825215,0.4029,0.3657,usable,,2026-07-25T07:02:43.725076+00:00,Dragon Ball FighterZ Majin Buu Japanese voice compilation
godie-hvsh,Rider,incoming/downloaded_permitted/replacements/packs/godie-hvsh__youtube.wav,https://www.youtube.com/watch?v=9A67czqyK0E,https://www.youtube.com/watch?v=9A67czqyK0E,f48eb1f9602fd74e2847147ecf4f9aab5581b660535ccbe9cc045de1373d572a,auto_best_8s,139.166,8.000,approved/replacements/raw/godie-hvsh.wav,approved/replacements/processed/godie-hvsh.wav,exact named Japanese game voice files,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-19.5,-7.5,0.0,0.135,41.4,0.865,0.3492,0.7488,usable,,2026-07-25T07:02:47.338134+00:00,FGO Arcade Medusa Rider voice set; single-character asset overrides spectral speaker heuristic
godie-o00l,傑洛士,incoming/downloaded_permitted/replacements/packs/godie-o00l__youtube.wav,https://www.youtube.com/watch?v=IAywdBRSs0g,https://www.youtube.com/watch?v=IAywdBRSs0g,3147f5022dc904f641fee6ef95636246241c1df4ea6fac867fbbdceebf811cbb,auto_best_8s,163.673,8.000,approved/replacements/raw/godie-o00l.wav,approved/replacements/processed/godie-o00l.wav,exact named Japanese game voice lines,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-18.8,-5.7,0.0,0.17,61.74,0.83,0.4558,1.0,usable,,2026-07-25T07:02:49.084296+00:00,Xellos Japanese voice compilation; single-character asset overrides spectral speaker heuristic
godie-o00x,悟空,incoming/downloaded_permitted/replacements/packs/godie-o00x__youtube.wav,https://www.youtube.com/watch?v=m1g2aFOPPjc,https://www.youtube.com/watch?v=m1g2aFOPPjc,0d809708fb0b36f3fb1977523d0f21be38c9975a431e8ebc347a848d2211a91c,manual:20:8,20.000,8.000,approved/replacements/raw/godie-o00x.wav,approved/replacements/processed/godie-o00x.wav,exact named Japanese game voice files,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-19.2,-4.0,0.0,0.375,39.46,0.625,0.2902,0.3439,usable,,2026-07-25T07:02:49.654205+00:00,Dragon Ball FighterZ Goku Japanese voice compilation; manually selected low-music single-speaker window
godie-ofar,皮卡丘,incoming/downloaded_permitted/replacements/packs/godie-ofar__youtube.wav,https://www.youtube.com/watch?v=rOGS5E9HAqQ,https://www.youtube.com/watch?v=rOGS5E9HAqQ,2e0d72c955fa38e9f41561f64eb8005469487e9edcf8b9af73eeeff448b4fa11,auto_best_8s,7.332,8.000,approved/replacements/raw/godie-ofar.wav,approved/replacements/processed/godie-ofar.wav,exact named character voice files,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-19.9,-5.9,0.0,0.3025,41.25,0.6975,0.3106,0.0529,usable,,2026-07-25T07:02:50.656570+00:00,Super Smash Bros Ultimate Pikachu voice compilation
godie-u00l,拳四郎,incoming/downloaded_permitted/replacements/packs/godie-u00l__youtube.wav,https://www.youtube.com/watch?v=PL54fx1JNO8,https://www.youtube.com/watch?v=PL54fx1JNO8,8492c144907007f57bcb8b12edfccef638e6231c219d155ba72699a1b972a75d,auto_best_8s,369.768,8.000,approved/replacements/raw/godie-u00l.wav,approved/replacements/processed/godie-u00l.wav,exact named Japanese game voice files,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-18.9,-7.5,0.0,0.175,36.69,0.825,0.4681,0.5518,usable,,2026-07-25T07:02:53.144261+00:00,J-Stars Victory Vs Plus Kenshiro Japanese voice compilation
godie-u00n,蒙其.D.魯夫,incoming/downloaded_permitted/replacements/packs/godie-u00n__youtube.wav,https://www.youtube.com/watch?v=lBXQmpVsaW8,https://www.youtube.com/watch?v=lBXQmpVsaW8,5f30160ef227812554af76907139879f8f65363a68a803f5c61173642c008fd4,auto_best_8s,627.614,5.773,approved/replacements/raw/godie-u00n.wav,approved/replacements/processed/godie-u00n.wav,exact named Japanese game voice files,game_asset_highpass_loudnorm_no_denoise,5.773,24000,1,16,-18.6,-4.1,0.0,0.170139,40.76,0.829861,0.3393,0.2041,usable,,2026-07-25T07:02:56.961052+00:00,Jump Force Luffy Japanese voice compilation
godie-u010,飛影,incoming/downloaded_permitted/replacements/packs/godie-u010__youtube.wav,https://www.youtube.com/watch?v=WtNutT3yGe0,https://www.youtube.com/watch?v=WtNutT3yGe0,090bb4eec1826f36bafb1309ed05a01cedd2bee94dd10ac784e82f763a9bd04f,auto_best_8s,109.553,8.189,approved/replacements/raw/godie-u010.wav,approved/replacements/processed/godie-u010.wav,exact named Japanese game voice files,game_asset_highpass_loudnorm_no_denoise,8.189,24000,1,16,-19.3,-6.3,0.0,0.200489,45.99,0.799511,0.3326,0.5005,usable,,2026-07-25T07:02:59.598967+00:00,Jump Force Hiei Japanese voice compilation
godie-u01u,索隆,incoming/downloaded_permitted/replacements/packs/godie-u01u__youtube.wav,https://www.youtube.com/watch?v=bEiiFBzHjds,https://www.youtube.com/watch?v=bEiiFBzHjds,910f63cc0f9b85c4c22d2ded2c44192cdaeb8beda8b7f3b01c657cf8694708b8,auto_best_8s,93.369,8.000,approved/replacements/raw/godie-u01u.wav,approved/replacements/processed/godie-u01u.wav,exact named Japanese game voice files,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-19.0,-3.0,0.0,0.1525,38.97,0.8475,0.3452,0.5302,usable,,2026-07-25T07:03:01.860643+00:00,Jump Force Zoro Japanese voice compilation
godie-e007,天地志狼,incoming/downloaded_permitted/replacements/cleaned/godie-e007__shiro_dialogue.wav,https://www.youtube.com/watch?v=Zebif54pxi0,https://www.youtube.com/watch?v=Zebif54pxi0,b565bfcfb13b998d450ff53d37d84177f3310cfa9f293eb785606448669838f6,whole_file,0.000,8.000,approved/replacements/raw/godie-e007.wav,approved/replacements/processed/godie-e007.wav,exact named Japanese drama-CD character performance,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-18.8,-1.0,0.0,0.4875,45.68,0.5125,0.3548,0.8291,usable,,2026-07-25T07:03:02.461740+00:00,Ryuuroden drama CD Shiro monologue at 05:23; center-dialogue extraction removes most score and excludes the preceding child and following speaker; single-character asset overrides spectral speaker heuristic
godie-e00k,安云,incoming/user_owned/godie-e00k.wav,https://sounds.spriters-resource.com/pc_computer/demonslayerkimetsunoyaibasweeptheboard/asset/535703/,https://sounds.spriters-resource.com/media/assets/515/535703.zip?updated=1774291830,bf47916072e513d55d81e5de731cbbc919eabff470bb4727c5ca21e0b0ef0cc0,"montage:JoinedExclusive0010,JoinedExclusive0100,Joined0060,AwardsFirst0020,EventVoice0110,EncounterBoss0040",0.000,10.872,approved/replacements/raw/godie-e00k.wav,approved/replacements/processed/godie-e00k.wav,profile-matched Japanese reserved girl voice,game_asset_highpass_loudnorm_no_denoise,10.872,24000,1,16,-18.9,-6.6,0.0,0.322284,50.5,0.677716,0.3042,0.6714,usable,,2026-07-25T07:03:02.966458+00:00,"Kanao Tsuyuri's direct Japanese game voice archive; six clean solo WAV files by 上田麗奈 were joined with short silences, with no music, effects, or other speaker"
godie-etyr,木乃香,incoming/downloaded_permitted/replacements/packs/godie-etyr__youtube.wav,https://www.youtube.com/watch?v=mAvofYX8HKY,https://www.youtube.com/watch?v=mAvofYX8HKY,785172a4d1c5ee7ee3fdb6d6654452a188e237183d20c66f9cdbdb9e580bb09b,auto_best_8s,0.000,14.989,approved/replacements/raw/godie-etyr.wav,approved/replacements/processed/godie-etyr.wav,exact named Japanese character voice,game_asset_highpass_loudnorm_no_denoise,14.9885,24000,1,16,-19.2,-6.0,0.0,0.073431,55.75,0.926569,0.3667,0.0721,usable,,2026-07-25T07:03:03.638933+00:00,Konoka Konoe character television commercial
godie-h02k,熊貓,incoming/downloaded_permitted/replacements/review3_sources/godie-h02k__shinchan_news.wav,https://www.youtube.com/watch?v=UbNxrnEZodw,https://www.youtube.com/watch?v=UbNxrnEZodw,a18772064312ff614a22c3b283ebcf434fbcf558bcd874f2b3c73183c44aa4ef,manual:0:11.08,0.000,11.080,approved/replacements/raw/godie-h02k.wav,approved/replacements/processed/godie-h02k.wav,profile-matched Taiwan Mandarin Crayon Shin-chan performance,game_asset_highpass_loudnorm_no_denoise,11.08,24000,1,16,-19.1,-6.4,0.0,0.068592,31.99,0.931408,0.7006,1.0,rejected,probable_heavy_background_music|probable_overlapping_speakers,2026-07-25T07:03:04.318046+00:00,Current Taiwan Shin-chan voice actor 曾允凡 speaks alone as 野原新之助 and self-identifies in the opening; video frames and official game cast page confirm the role
godie-h02u,草泥馬,incoming/downloaded_permitted/replacements/packs/godie-h02u__youtube.wav,https://www.youtube.com/watch?v=ua12N2eeL7Y,https://www.youtube.com/watch?v=ua12N2eeL7Y,362d0016acf59c19ddb1f37f7aa26bc8ebd2cbd1142767513675067fbbea1789,auto_best_8s,0.000,12.620,approved/replacements/raw/godie-h02u.wav,approved/replacements/processed/godie-h02u.wav,profile-matched clean creature source,game_asset_highpass_loudnorm_no_denoise,12.62,24000,1,16,-19.3,-1.0,0.0,0.424723,42.83,0.575277,0.2786,0.2992,usable,,2026-07-25T07:03:05.084547+00:00,No canonical voice; clean llama vocalization direction reference
godie-hpal,藤井八雲,incoming/downloaded_permitted/replacements/review4_sources/godie-hpal__yakumo_clean.wav,https://www.youtube.com/watch?v=81bdUpriODY,https://www.youtube.com/watch?v=81bdUpriODY,ef50e45ab5ec2f82a2848891d69979b46bf6084e6977fab4ca49b02fbcc91631,whole_file,0.000,11.300,approved/replacements/raw/godie-hpal.wav,approved/replacements/processed/godie-hpal.wav,exact visually verified Japanese game character performance,game_asset_highpass_loudnorm_no_denoise,11.3,24000,1,16,-19.2,-1.2,0.0,0.428319,50.12,0.571681,0.5869,0.5876,usable,,2026-07-25T07:03:05.615744+00:00,3x3 EYES PS1 story scene at 18:36; Yakumo's portrait is the only speaking portrait and all three lines are continuous; Demucs vocal separation removes the score
godie-hpb1,蒼月潮,incoming/user_owned/godie-hpb1.wav,https://sounds.spriters-resource.com/pc_computer/jumpforce/asset/444579/,https://sounds.spriters-resource.com/media/assets/441/444579.zip?updated=1755553419,2c06abdd8052fe9c8aff918cf98cdd1b8c293a2dfc907c693b2d2833e6cce276,"montage:Yusuke12,Yusuke13,Yusuke142",0.000,14.516,approved/replacements/raw/godie-hpb1.wav,approved/replacements/processed/godie-hpb1.wav,profile-matched same-actor Japanese youth voice,game_asset_highpass_loudnorm_no_denoise,14.516,24000,1,16,-19.4,-3.2,0.0,0.289655,49.72,0.710345,0.3098,0.7495,rejected,probable_overlapping_speakers,2026-07-25T07:03:06.200117+00:00,"Three clean 浦飯幽助 WAV files from JUMP FORCE; 佐々木望 also voiced 蒼月潮 in the 1992–1993 Ushio and Tora OVA, matching the user's requested casting reference"
