id,name_original,name_key,model_path,category,source,classification_source,canonical_character,origin_work,origin_type,origin_status,origin_note,related_origin_work,origin_sources,origin_local_evidence
35,圣大人,Name_shengdaren,../DATA/CHARACTER/ROLEACTION/035.x,formal,official_client_hero_c.dat,300data.com,桔梗,犬夜叉,漫畫／動畫,角色身分對照,,,https://300data.com/hero/35.html; https://300data.com/data/api/hero_info/id/35,evidence/hero-backgrounds/35.json
36,富樫勇太,Name_fujianyongtai,../DATA/CHARACTER/ROLEACTION/036.x,formal,official_client_hero_c.dat,300data.com,富樫勇太,中二病也想談戀愛！,小說／動畫,角色身分對照,,,https://300data.com/hero/36.html; https://300data.com/data/api/hero_info/id/36,evidence/hero-backgrounds/36.json
37,司波深雪,Name_siboshenxue,../DATA/CHARACTER/ROLEACTION/037.x,formal,official_client_hero_c.dat,300data.com,司波深雪,魔法科高中的劣等生,小說／動畫,角色身分對照,,,https://300data.com/hero/37.html; https://300data.com/data/api/hero_info/id/37,evidence/hero-backgrounds/37.json
38,风音日和,Name_fengyinrihe,../DATA/CHARACTER/ROLEACTION/038.x,formal,official_client_hero_c.dat,300data.com,风音日和,天降之物,漫畫／動畫,角色身分對照,,,https://300data.com/hero/38.html; https://300data.com/data/api/hero_info/id/38,evidence/hero-backgrounds/38.json
39,土间埋,Name_tujianmai,../DATA/CHARACTER/ROLEACTION/039.x,formal,official_client_hero_c.dat,300data.com,土间埋,干物妹！小埋,漫畫／動畫,角色身分對照,,,https://300data.com/hero/39.html; https://300data.com/data/api/hero_info/id/39,evidence/hero-backgrounds/39.json
40,战场原黑仪,Name_zhanchangyuanheiyi,../DATA/CHARACTER/ROLEACTION/040.x,formal,official_client_hero_c.dat,300data.com,战场原黑仪,物語系列,小說／動畫,角色身分對照,,,https://300data.com/hero/40.html; https://300data.com/data/api/hero_info/id/40,evidence/hero-backgrounds/40.json
41,赫拉克勒斯,Name_helakelesi,../DATA/CHARACTER/ROLEACTION/041.x,formal,official_client_hero_c.dat,300data.com,赫拉克勒斯,Fate/stay night,遊戲／動漫,角色身分對照,,,https://300data.com/hero/41.html; https://300data.com/data/api/hero_info/id/41,evidence/hero-backgrounds/41.json
42,缇娜,Name_tina,../DATA/CHARACTER/ROLEACTION/042.x,formal,official_client_hero_c.dat,300data.com,緹娜·斯普萊特,黑色子彈／漆黑的子彈,小說／動畫,角色身分對照,,,https://300data.com/hero/42.html; https://300data.com/data/api/hero_info/id/42,evidence/hero-backgrounds/42.json
43,弗兰肯斯坦,Name_fulankensitan,../DATA/CHARACTER/ROLEACTION/043.x,formal,official_client_hero_c.dat,300data.com,弗兰肯斯坦,Fate/Apocrypha,小說／動畫,角色身分對照,,,https://300data.com/hero/43.html; https://300data.com/data/api/hero_info/id/43,evidence/hero-backgrounds/43.json
44,跳跃临时工,Name_muli,../DATA/CHARACTER/ROLEACTION/128.x,extra,official_client_hero_c.dat,300data.com,牟笠／食之忍者,300英雄原創,遊戲原創,角色身分對照,本作原創忍者牟笠；「跳躍臨時工」是目前資料名稱。,,https://300data.com/hero/44.html; https://300data.com/data/api/hero_info/id/44,evidence/hero-backgrounds/44.json
45,浅间·智,Name_qianjianzhi,../DATA/CHARACTER/ROLEACTION/045.x,formal,official_client_hero_c.dat,300data.com,浅间·智,境界線上的地平線,小說／動畫,角色身分對照,,,https://300data.com/hero/45.html; https://300data.com/data/api/hero_info/id/45,evidence/hero-backgrounds/45.json
46,莉娜·因巴斯,Name_linayinbasi,../DATA/CHARACTER/ROLEACTION/046.x,formal,official_client_hero_c.dat,300data.com,莉娜·因巴斯,秀逗魔導士 Slayers,小說／動畫,角色身分對照,,,https://300data.com/hero/46.html; https://300data.com/data/api/hero_info/id/46,evidence/hero-backgrounds/46.json
47,七宫智音,Name_qigongzhiyin,../DATA/CHARACTER/ROLEACTION/047.x,formal,official_client_hero_c.dat,300data.com,七宫智音,中二病也想談戀愛！,小說／動畫,角色身分對照,,,https://300data.com/hero/47.html; https://300data.com/data/api/hero_info/id/47,evidence/hero-backgrounds/47.json
48,草帽小子,Name_lufei,../DATA/CHARACTER/ROLEACTION/074.x,formal,official_client_hero_c.dat,300data.com,蒙其·D·魯夫,ONE PIECE 航海王,漫畫／動畫,角色身分對照,,,https://300data.com/hero/48.html; https://300data.com/data/api/hero_info/id/48,evidence/hero-backgrounds/48.json
50,黑羽快斗,Name_HeiYuKuaiDou,../DATA/CHARACTER/ROLEACTION/050.x,formal,official_client_hero_c.dat,300data.com,黑羽快斗／怪盜基德,神偷怪盜／魔術快斗；名偵探柯南,漫畫／動畫,角色身分對照,原作出自《神偷怪盜／魔術快斗》，亦跨作登場於《名偵探柯南》。,,https://300data.com/hero/50.html; https://300data.com/data/api/hero_info/id/50,evidence/hero-backgrounds/50.json
51,匹诺曹,Name_wusuopu,../DATA/CHARACTER/ROLEACTION/051.x,formal,official_client_hero_c.dat,300data.com,騙人布／烏索普,ONE PIECE 航海王,漫畫／動畫,角色身分對照,是航海王的騙人布，不是《木偶奇遇記》的匹諾曹。,,https://300data.com/hero/51.html; https://300data.com/data/api/hero_info/id/51,evidence/hero-backgrounds/51.json
52,我受罗,Name_woailuo,../DATA/CHARACTER/ROLEACTION/052.x,formal,official_client_hero_c.dat,300data.com,我愛羅,火影忍者 NARUTO,漫畫／動畫,角色身分對照,,,https://300data.com/hero/52.html; https://300data.com/data/api/hero_info/id/52,evidence/hero-backgrounds/52.json
53,亚瑟王,Name_saber,../DATA/CHARACTER/ROLEACTION/053.x,formal,official_client_hero_c.dat,300data.com,阿爾托莉亞·潘德拉剛（Saber）,Fate/stay night,遊戲／動漫,角色身分對照,,,https://300data.com/hero/53.html; https://300data.com/data/api/hero_info/id/53,evidence/hero-backgrounds/53.json
54,神乐,Name_xialuote,../DATA/CHARACTER/ROLEACTION/054.x,formal,official_client_hero_c.dat,300data.com,神樂,銀魂,漫畫／動畫,已對照；含跨作或改名沿革,目前名稱與預設立繪為《銀魂》神樂；舊名西洋劍姬／夏洛特、Name_xialuote 與舊背景仍留存，舊原型關聯《侍魂》。,,https://300data.com/hero/54.html; https://300data.com/data/api/hero_info/id/54; https://news.4399.com/300/xinwen/937207.html; https://img.300data.com/300data/res/ui/hero/54.bmp,evidence/hero-backgrounds/54.json
55,雅典娜,Name_yadianna,../DATA/CHARACTER/ROLEACTION/055.x,formal,official_client_hero_c.dat,300data.com,雅典娜／城戶紗織,聖鬥士星矢,漫畫／動畫,角色身分對照,背景提及聖鬥士，按《聖鬥士星矢》角色對照，非泛指希臘神話神祇。,,https://300data.com/hero/55.html; https://300data.com/data/api/hero_info/id/55,evidence/hero-backgrounds/55.json
56,巴依老爷,Name_shilaike,../DATA/CHARACTER/ROLEACTION/056.x,formal,official_client_hero_c.dat,300data.com,巴依老爷,阿凡提故事題材（300英雄改編）,民間故事／動畫題材,題材確認；具體改編版本未定,目前背景對應阿凡提故事中的巴依老爺；未核定某一動畫版本。Name_shilaike 是舊資料線索，不據此將目前角色列為《史瑞克》。,,https://300data.com/hero/56.html; https://300data.com/data/api/hero_info/id/56; https://300-heroes.fandom.com/wiki/Afanti,evidence/hero-backgrounds/56.json
57,乔帮主,Name_qiaoba,../DATA/CHARACTER/ROLEACTION/057.x,formal,official_client_hero_c.dat,300data.com,多尼多尼·喬巴,ONE PIECE 航海王,漫畫／動畫,角色身分對照,,,https://300data.com/hero/57.html; https://300data.com/data/api/hero_info/id/57,evidence/hero-backgrounds/57.json
58,神目黑刀,Name_yingyan,../DATA/CHARACTER/ROLEACTION/058.x,formal,official_client_hero_c.dat,300data.com,喬拉可爾·密佛格（鷹眼）,ONE PIECE 航海王,漫畫／動畫,角色身分對照,,,https://300data.com/hero/58.html; https://300data.com/data/api/hero_info/id/58,evidence/hero-backgrounds/58.json
59,库奇,Name_croki,../DATA/CHARACTER/ROLEACTION/059.x,extra,official_client_hero_c.dat,300data.com,库奇,300英雄原創,遊戲原創,角色身分對照,本作機甲少女；名稱和 Name_croki 不足以將她列為《英雄聯盟》的庫奇。,,https://300data.com/hero/59.html; https://300data.com/data/api/hero_info/id/59,evidence/hero-backgrounds/59.json
60,立花响,Name_lihuaxiang,../DATA/CHARACTER/ROLEACTION/060.x,formal,official_client_hero_c.dat,300data.com,立花响,戰姬絕唱 SYMPHOGEAR,動畫,角色身分對照,,,https://300data.com/hero/60.html; https://300data.com/data/api/hero_info/id/60,evidence/hero-backgrounds/60.json
61,貂蝉,Name_diaochan,../DATA/CHARACTER/ROLEACTION/061.x,formal,official_client_hero_c.dat,300data.com,貂蝉,三國演義題材（300英雄改編）,文學題材,題材確認；具體改編版本未定,背景使用貂蟬、董卓、呂布的三國故事；沒有足夠依據指向特定動漫或其他遊戲版本。,,https://300data.com/hero/61.html; https://300data.com/data/api/hero_info/id/61,evidence/hero-backgrounds/61.json
62,摩尔迦娜,Name_zhangfei,../DATA/CHARACTER/ROLEACTION/062.x,formal,official_client_hero_c.dat,300data.com,摩尔迦娜,MAGI 魔奇少年,漫畫／動畫,角色身分對照,,,https://300data.com/hero/62.html; https://300data.com/data/api/hero_info/id/62,evidence/hero-backgrounds/62.json
63,梅比斯,Name_meibisi,../DATA/CHARACTER/ROLEACTION/063.x,formal,official_client_hero_c.dat,300data.com,梅比斯,FAIRY TAIL 魔導少年／妖精的尾巴,漫畫／動畫,角色身分對照,,,https://300data.com/hero/63.html; https://300data.com/data/api/hero_info/id/63,evidence/hero-backgrounds/63.json
64,白鬼院凛凛蝶,Name_baiguiyuanlinlindie,../DATA/CHARACTER/ROLEACTION/064.x,formal,official_client_hero_c.dat,300data.com,白鬼院凛凛蝶,妖狐×僕SS,漫畫／動畫,角色身分對照,,,https://300data.com/hero/64.html; https://300data.com/data/api/hero_info/id/64,evidence/hero-backgrounds/64.json
65,蛇叔,Name_dashewan,../DATA/CHARACTER/ROLEACTION/065.x,formal,official_client_hero_c.dat,300data.com,大蛇丸,火影忍者 NARUTO,漫畫／動畫,角色身分對照,,,https://300data.com/hero/65.html; https://300data.com/data/api/hero_info/id/65,evidence/hero-backgrounds/65.json
66,蛇血舞姬,Name_hamcock,../DATA/CHARACTER/ROLEACTION/066.x,formal,official_client_hero_c.dat,300data.com,波雅·漢考克,ONE PIECE 航海王,漫畫／動畫,角色身分對照,,,https://300data.com/hero/66.html; https://300data.com/data/api/hero_info/id/66,evidence/hero-backgrounds/66.json
67,火拳·S,Name_aisi,../DATA/CHARACTER/ROLEACTION/067.x,formal,official_client_hero_c.dat,300data.com,波特卡斯·D·艾斯,ONE PIECE 航海王,漫畫／動畫,角色身分對照,,,https://300data.com/hero/67.html; https://300data.com/data/api/hero_info/id/67,evidence/hero-backgrounds/67.json
69,左二少,Name_zuozhu,../DATA/CHARACTER/ROLEACTION/069.x,formal,official_client_hero_c.dat,300data.com,宇智波佐助,火影忍者 NARUTO,漫畫／動畫,角色身分對照,,,https://300data.com/hero/69.html; https://300data.com/data/api/hero_info/id/69,evidence/hero-backgrounds/69.json
70,青丘国主,Name_mingren,../DATA/CHARACTER/ROLEACTION/070.x,formal,official_client_hero_c.dat,300data.com,漩渦鳴人,火影忍者 NARUTO,漫畫／動畫,角色身分對照,,,https://300data.com/hero/70.html; https://300data.com/data/api/hero_info/id/70,evidence/hero-backgrounds/70.json
71,胡子船长,Name_baihuzi,../DATA/CHARACTER/ROLEACTION/071.x,formal,official_client_hero_c.dat,300data.com,艾德華·紐蓋特（白鬍子）,ONE PIECE 航海王,漫畫／動畫,角色身分對照,,,https://300data.com/hero/71.html; https://300data.com/data/api/hero_info/id/71,evidence/hero-backgrounds/71.json
72,卡殿下,Name_kakaxi,../DATA/CHARACTER/ROLEACTION/072.x,formal,official_client_hero_c.dat,300data.com,旗木卡卡西,火影忍者 NARUTO,漫畫／動畫,角色身分對照,,,https://300data.com/hero/72.html; https://300data.com/data/api/hero_info/id/72,evidence/hero-backgrounds/72.json
75,纳兹,Name_nazi,../DATA/CHARACTER/ROLEACTION/075.x,formal,official_client_hero_c.dat,300data.com,纳兹,FAIRY TAIL 魔導少年／妖精的尾巴,漫畫／動畫,角色身分對照,,,https://300data.com/hero/75.html; https://300data.com/data/api/hero_info/id/75,evidence/hero-backgrounds/75.json
76,狂暴补师,Name_asuna,../DATA/CHARACTER/ROLEACTION/076.x,formal,official_client_hero_c.dat,300data.com,亞絲娜／結城明日奈,刀劍神域 Sword Art Online,小說／動畫,角色身分對照,,,https://300data.com/hero/76.html; https://300data.com/data/api/hero_info/id/76,evidence/hero-backgrounds/76.json
78,盗贼娃,Name_rogue,../DATA/CHARACTER/ROLEACTION/078.x,formal,official_client_hero_c.dat,300data.com,盗贼娃,葫蘆兄弟／葫蘆娃,中國動畫,角色身分對照,葫蘆兄弟的職業化改編名稱；此表不依職業名臆定排行。,,https://300data.com/hero/78.html; https://300data.com/data/api/hero_info/id/78,evidence/hero-backgrounds/78.json
79,法师娃,Name_fda,../DATA/CHARACTER/ROLEACTION/079.x,formal,official_client_hero_c.dat,300data.com,法师娃,葫蘆兄弟／葫蘆娃,中國動畫,角色身分對照,葫蘆兄弟的職業化改編名稱；此表不依職業名臆定排行。,,https://300data.com/hero/79.html; https://300data.com/data/api/hero_info/id/79,evidence/hero-backgrounds/79.json
80,术士娃,Name_shushiwa,../DATA/CHARACTER/ROLEACTION/080.x,formal,official_client_hero_c.dat,300data.com,术士娃,葫蘆兄弟／葫蘆娃,中國動畫,角色身分對照,葫蘆兄弟的職業化改編名稱；此表不依職業名臆定排行。,,https://300data.com/hero/80.html; https://300data.com/data/api/hero_info/id/80,evidence/hero-backgrounds/80.json
81,骑士娃,Name_qishiwa,../DATA/CHARACTER/ROLEACTION/081.x,formal,official_client_hero_c.dat,300data.com,骑士娃,葫蘆兄弟／葫蘆娃,中國動畫,角色身分對照,葫蘆兄弟的職業化改編名稱；此表不依職業名臆定排行。,,https://300data.com/hero/81.html; https://300data.com/data/api/hero_info/id/81,evidence/hero-backgrounds/81.json
82,牧师娃,Name_cleric,../DATA/CHARACTER/ROLEACTION/082.x,formal,official_client_hero_c.dat,300data.com,牧师娃,葫蘆兄弟／葫蘆娃,中國動畫,角色身分對照,葫蘆兄弟的職業化改編名稱；此表不依職業名臆定排行。,,https://300data.com/hero/82.html; https://300data.com/data/api/hero_info/id/82,evidence/hero-backgrounds/82.json
83,猎人娃,Name_hunter,../DATA/CHARACTER/ROLEACTION/083.x,formal,official_client_hero_c.dat,300data.com,猎人娃,葫蘆兄弟／葫蘆娃,中國動畫,角色身分對照,葫蘆兄弟的職業化改編名稱；此表不依職業名臆定排行。,,https://300data.com/hero/83.html; https://300data.com/data/api/hero_info/id/83,evidence/hero-backgrounds/83.json
84,战士娃,Name_warrior,../DATA/CHARACTER/ROLEACTION/077.x,formal,official_client_hero_c.dat,300data.com,战士娃,葫蘆兄弟／葫蘆娃,中國動畫,角色身分對照,葫蘆兄弟的職業化改編名稱；此表不依職業名臆定排行。,,https://300data.com/hero/84.html; https://300data.com/data/api/hero_info/id/84,evidence/hero-backgrounds/84.json
85,佐罗,Name_suolong,../DATA/CHARACTER/ROLEACTION/085.x,formal,official_client_hero_c.dat,300data.com,羅羅亞·索隆,ONE PIECE 航海王,漫畫／動畫,角色身分對照,,,https://300data.com/hero/85.html; https://300data.com/data/api/hero_info/id/85,evidence/hero-backgrounds/85.json
86,死神,Name_sishen,../DATA/CHARACTER/ROLEACTION/086.x,formal,official_client_hero_c.dat,300data.com,死神,300英雄原創,遊戲原創,角色身分對照,本作死神角色，不是作品《BLEACH 死神》中的黑崎一護。,,https://300data.com/hero/86.html; https://300data.com/data/api/hero_info/id/86,evidence/hero-backgrounds/86.json
87,幻刺·L·莉莉,Name_xue,../DATA/CHARACTER/ROLEACTION/087.x,formal,official_client_hero_c.dat,300data.com,莉莉（幻影刺客姐妹之一）,300英雄原創,遊戲原創,角色身分對照,基礎身分為本作莉莉；阿良良木月火是另一個造型身分，不能把整筆英雄及所有皮膚都歸入《物語》。,,https://300data.com/hero/87.html; https://300data.com/data/api/hero_info/id/87; https://300data.com/data/api/hero_skin_list/id/87,evidence/hero-backgrounds/87.json
88,舰队统帅,Name_luojie,../DATA/CHARACTER/ROLEACTION/088.x,extra,official_client_hero_c.dat,300data.com,羅傑（本作艦隊統帥）,300英雄原創,遊戲原創,角色身分對照,背景名為羅傑並提及昆卡／幽靈船，含 DotA 致敬；不是《航海王》的哥爾·D·羅傑。,,https://300data.com/hero/88.html; https://300data.com/data/api/hero_info/id/88; https://moegirl.uk/index.php?title=300%E8%8B%B1%E9%9B%84&variant=zh-cn,evidence/hero-backgrounds/88.json
89,幻刺·D·露西,Name_xue2,../DATA/CHARACTER/ROLEACTION/089.x,extra,official_client_hero_c.dat,300data.com,露西（幻影刺客姐妹之一）,300英雄原創,遊戲原創,角色身分對照,基礎身分為本作露西；阿良良木火憐是另一個造型身分，需於皮膚層另外對照。,,https://300data.com/hero/89.html; https://300data.com/data/api/hero_info/id/89; https://300data.com/data/api/hero_skin_list/id/89,evidence/hero-backgrounds/89.json
90,美狄亚,Name_meidiya,../DATA/CHARACTER/ROLEACTION/090.x,formal,official_client_hero_c.dat,300data.com,美狄亞（Caster）,Fate/stay night,遊戲／動漫,角色身分對照,由舊英雄痛苦女王改為美狄亞，資料背景仍有舊設定；作品按改版公告與角色身分對照。,,https://300data.com/hero/90.html; https://300data.com/data/api/hero_info/id/90; https://news.17173.com/content/07232019/152636661.shtml,evidence/hero-backgrounds/90.json
91,天草四郎时贞,Name_shizhen,../DATA/CHARACTER/ROLEACTION/091.x,formal,official_client_hero_c.dat,300data.com,天草四郎时贞,Fate/Apocrypha,小說／動畫,角色身分對照,,,https://300data.com/hero/91.html; https://300data.com/data/api/hero_info/id/91,evidence/hero-backgrounds/91.json
92,无头骑士,Name_wutouqishi,../DATA/CHARACTER/ROLEACTION/092.x,formal,official_client_hero_c.dat,300data.com,塞爾堤·史特路爾森,無頭騎士異聞錄 DuRaRaRa!!,小說／動畫,角色身分對照,,,https://300data.com/hero/92.html; https://300data.com/data/api/hero_info/id/92,evidence/hero-backgrounds/92.json
93,达克尼斯,Name_fuwang,../DATA/CHARACTER/ROLEACTION/093.x,formal,official_client_hero_c.dat,300data.com,達克妮絲,為美好的世界獻上祝福！,小說／動畫,角色身分對照,,,https://300data.com/hero/93.html; https://300data.com/data/api/hero_info/id/93,evidence/hero-backgrounds/93.json
94,四方川菖蒲,Name_sifangchuanchangpu,../DATA/CHARACTER/ROLEACTION/094.x,formal,official_client_hero_c.dat,300data.com,四方川菖蒲,甲鐵城的卡巴內里,動畫,角色身分對照,,,https://300data.com/hero/94.html; https://300data.com/data/api/hero_info/id/94; https://news.17173.com/content/07232019/152636661.shtml,evidence/hero-backgrounds/94.json
96,御坂美琴,Name_yubanmeiqin,../DATA/CHARACTER/ROLEACTION/096.x,formal,official_client_hero_c.dat,300data.com,御坂美琴,魔法禁書目錄／科學超電磁砲,小說／漫畫／動畫,角色身分對照,,,https://300data.com/hero/96.html; https://300data.com/data/api/hero_info/id/96,evidence/hero-backgrounds/96.json
100,博丽灵梦,Name_lingmeng,../DATA/CHARACTER/ROLEACTION/100.x,formal,official_client_hero_c.dat,300data.com,博丽灵梦,東方 Project,遊戲／出版作品,角色身分對照,,,https://300data.com/hero/100.html; https://300data.com/data/api/hero_info/id/100,evidence/hero-backgrounds/100.json
101,黑岩射手,Name_heiyansheshou,../DATA/CHARACTER/ROLEACTION/101.x,formal,official_client_hero_c.dat,300data.com,黑岩射手,BLACK★ROCK SHOOTER 黑岩射手,原創角色企劃／動畫,角色身分對照,,,https://300data.com/hero/101.html; https://300data.com/data/api/hero_info/id/101,evidence/hero-backgrounds/101.json
102,黑衣剑士,Name_tongren,../DATA/CHARACTER/ROLEACTION/102.x,formal,official_client_hero_c.dat,300data.com,桐人／桐谷和人,刀劍神域 Sword Art Online,小說／動畫,角色身分對照,,,https://300data.com/hero/102.html; https://300data.com/data/api/hero_info/id/102,evidence/hero-backgrounds/102.json
104,吉尔伽美什,Name_jinshanshan,../DATA/CHARACTER/ROLEACTION/099.x,formal,official_client_hero_c.dat,300data.com,吉爾伽美什,Fate/stay night,遊戲／動漫,角色身分對照,亦登場於 Fate/Zero 等作品；此欄記系列基礎角色出處。,,https://300data.com/hero/104.html; https://300data.com/data/api/hero_info/id/104,evidence/hero-backgrounds/104.json
105,秋山澪,Name_qiushanling,../DATA/CHARACTER/ROLEACTION/105.x,formal,official_client_hero_c.dat,300data.com,秋山澪,K-ON！輕音部,漫畫／動畫,角色身分對照,,,https://300data.com/hero/105.html; https://300data.com/data/api/hero_info/id/105,evidence/hero-backgrounds/105.json
107,笠笠笠,Name_sanli,../DATA/CHARACTER/ROLEACTION/107.x,formal,official_client_hero_c.dat,300data.com,米卡莎／三笠·阿卡曼,進擊的巨人,漫畫／動畫,角色身分對照,,,https://300data.com/hero/107.html; https://300data.com/data/api/hero_info/id/107,evidence/hero-backgrounds/107.json
108,楪祈,Name_inori,../DATA/CHARACTER/ROLEACTION/108.x,formal,official_client_hero_c.dat,300data.com,楪祈,Guilty Crown 罪惡王冠,動畫,角色身分對照,,,https://300data.com/hero/108.html; https://300data.com/data/api/hero_info/id/108,evidence/hero-backgrounds/108.json
109,夏娜,Name_shana,../DATA/CHARACTER/ROLEACTION/109.x,formal,official_client_hero_c.dat,300data.com,夏娜,灼眼的夏娜,小說／動畫,角色身分對照,,,https://300data.com/hero/109.html; https://300data.com/data/api/hero_info/id/109,evidence/hero-backgrounds/109.json
110,格雷,Name_gelei,../DATA/CHARACTER/ROLEACTION/110.x,formal,official_client_hero_c.dat,300data.com,格雷,FAIRY TAIL 魔導少年／妖精的尾巴,漫畫／動畫,角色身分對照,,,https://300data.com/hero/110.html; https://300data.com/data/api/hero_info/id/110,evidence/hero-backgrounds/110.json
112,小悟空,Name_littlewukong,../DATA/CHARACTER/ROLEACTION/112.x,formal,official_client_hero_c.dat,300data.com,孫悟空（小悟空）,七龍珠／Dragon Ball 系列,漫畫／動畫,角色身分對照,孫悟空的兒童外形；未僅憑名稱細分成初代、GT 或其他時期。,,https://300data.com/hero/112.html; https://300data.com/data/api/hero_info/id/112,evidence/hero-backgrounds/112.json
113,片翼天使,Name_safeiluosi,../DATA/CHARACTER/ROLEACTION/113.x,formal,official_client_hero_c.dat,300data.com,賽菲羅斯／薩菲羅斯,Final Fantasy VII／最終幻想 VII,遊戲／動畫電影,角色身分對照,,,https://300data.com/hero/113.html; https://300data.com/data/api/hero_info/id/113,evidence/hero-backgrounds/113.json
115,贵公子,Name_guigongzi,../DATA/CHARACTER/ROLEACTION/115.x,formal,official_client_hero_c.dat,300data.com,殺生丸,犬夜叉,漫畫／動畫,角色身分對照,,,https://300data.com/hero/115.html; https://300data.com/data/api/hero_info/id/115,evidence/hero-backgrounds/115.json
117,桂木桂马,Name_kami,../DATA/CHARACTER/ROLEACTION/117.x,formal,official_client_hero_c.dat,300data.com,桂木桂马,只有神知道的世界,漫畫／動畫,角色身分對照,,,https://300data.com/hero/117.html; https://300data.com/data/api/hero_info/id/117,evidence/hero-backgrounds/117.json
118,黑,Name_hei,../DATA/CHARACTER/ROLEACTION/118.x,formal,official_client_hero_c.dat,300data.com,黑／李舜生,DARKER THAN BLACK－黑之契約者,動畫,角色身分對照,,,https://300data.com/hero/118.html; https://300data.com/data/api/hero_info/id/118,evidence/hero-backgrounds/118.json
