rank,id,character,voice_profile,official_voice_actor,casting_reference,file_path,duration,sample_rate,channels,bit_depth,integrated_loudness,true_peak,clipping_ratio,automated_quality_status,automated_flags,human_review_status,human_review_round,review_record_id,source_kind,source_path,source_page,direct_url,identity_basis,sha256,notes
11,godie-etyr,木乃香,female_soft_healing,野中藍,野中藍的柔軟治癒方向,approved/processed/godie-etyr.wav,14.9885,24000,1,16,-19.2,-6.0,0.0,usable,,locked_pass,round2,godie-etyr,replacement,incoming/downloaded_permitted/replacements/packs/godie-etyr__youtube.wav,https://www.youtube.com/watch?v=mAvofYX8HKY,https://www.youtube.com/watch?v=mAvofYX8HKY,exact named Japanese character voice,3473861218de488cf49d1ec571db64d8c0443791f549c43cc5634b64c4d928a8,Konoka Konoe character television commercial
12,godie-h00l,林克,nonverbal_youth,高梨謙吾,高梨謙吾的戰鬥呼聲方向,approved/processed/godie-h00l.wav,8,24000,1,16,-18.3,-4.1,0.0,usable,,locked_pass,round2,godie-h00l,replacement,incoming/downloaded_permitted/replacements/packs/godie-h00l__youtube.wav,https://www.youtube.com/watch?v=2cK0DGC_r-w,https://www.youtube.com/watch?v=2cK0DGC_r-w,exact named character voice files,c9b4c05359ace74fec04cde693f66146de2bd5ebfbf2ba37d44e3484db631a89,Super Smash Bros Ultimate Link voice compilation
13,godie-h01n,黑崎一護,male_youth_rough,森田成一,森田成一的熱血粗獷方向,approved/processed/godie-h01n.wav,7.117,24000,1,16,-19.1,-4.0,0.0,usable,,locked_pass,round2,godie-h01n,replacement,incoming/downloaded_permitted/replacements/packs/godie-h01n__youtube.wav,https://www.youtube.com/watch?v=oq0RO-cuzt4,https://www.youtube.com/watch?v=oq0RO-cuzt4,exact named Japanese game voice lines,b022fd48493ee9f313213066330fceac5a92fe2bfea9cb8477a18f8807f907bc,Jump Force Ichigo Japanese voice compilation
14,godie-h01u,呂布奉先,male_low_warlord,稲田徹,稲田徹的狂傲武將方向,approved/processed/godie-h01u.wav,8,24000,1,16,-19.1,-8.3,0.0,usable,,locked_pass,round2,godie-h01u,replacement,incoming/downloaded_permitted/replacements/packs/godie-h01u__youtube.wav,https://www.youtube.com/watch?v=BiRYdxMaOV4,https://www.youtube.com/watch?v=BiRYdxMaOV4,exact named Japanese game voice lines,fbce21956a58e952bb8fb9b780cbb1170cdaa0747c10882e5a41a9779a0277cd,Dynasty Warriors 8 Lu Bu Japanese lines
15,godie-h020,莉娜因巴斯,female_high_comedic,林原めぐみ,林原めぐみ的高速喜劇方向,approved/processed/godie-h020.wav,13.1989,24000,1,16,-19.3,-4.5,0.0,usable,,locked_pass,round3,godie-h020,replacement,incoming/downloaded_permitted/replacements/cleaned/godie-h020__lina_slayers_royal_dialogue.wav,https://rutube.ru/video/29902a507d1b8ba487396bd079b6e03a/,https://rutube.ru/video/29902a507d1b8ba487396bd079b6e03a/,exact cast-credited Japanese PS1 game dialogue,277401ed8cabda104eb038c69c2dff0607e61df290f07ae25c613804dbbb2ee1,"Slayers Royal direct SLAY.XAB voice rip; PS1 credits list Lina=林原めぐみ; isolated Lina replies at 00:13.188-00:17.626, 01:20.239-01:21.783, 01:30.380-01:34.163 and 01:36.421-01:39.106; all prior Dragon Slave candidates withdrawn after user correction"
16,godie-h02k,熊貓,creature_comedic,無官方聲優,台灣版野原新之助（曾允凡）型調皮喜劇方向,approved/processed/godie-h02k.wav,11.08,24000,1,16,-19.1,-6.4,0.0,rejected,probable_heavy_background_music|probable_overlapping_speakers,locked_pass,round3,godie-h02k,replacement,incoming/downloaded_permitted/replacements/review3_sources/godie-h02k__shinchan_news.wav,https://www.youtube.com/watch?v=UbNxrnEZodw,https://www.youtube.com/watch?v=UbNxrnEZodw,profile-matched Taiwan Mandarin Crayon Shin-chan performance,02cab0028d54c3c49448bec28fe8c71032c68fdba7ce0fe7d715c1e67f83279f,Current Taiwan Shin-chan voice actor 曾允凡 speaks alone as 野原新之助 and self-identifies in the opening; video frames and official game cast page confirm the role; automated warning retained; superseded by completed human review
17,godie-h02r,妙蛙花,creature_low,無固定單一聲線,建議玄田哲章型低頻怪獸方向,approved/processed/godie-h02r.wav,12.945,24000,1,16,-19.3,-5.7,0.0,usable,,locked_pass,round3,godie-h02r,replacement,incoming/downloaded_permitted/replacements/packs/godie-h02r__venusaur_cry.wav,https://www.youtube.com/watch?v=XriVZUsPQWY,https://www.youtube.com/watch?v=XriVZUsPQWY,exact named creature sounds,de23aaa36f6c6b790eb023bd4b39531901f245edd3d45024a143b01b7bcb572e,Venusaur-only Pokedex-number-003 cry source
18,godie-h02u,草泥馬,creature_nasal,無官方聲優,建議チョー型怪聲方向,approved/processed/godie-h02u.wav,12.62,24000,1,16,-19.3,-1.0,0.0,usable,,locked_pass,round2,godie-h02u,replacement,incoming/downloaded_permitted/replacements/packs/godie-h02u__youtube.wav,https://www.youtube.com/watch?v=ua12N2eeL7Y,https://www.youtube.com/watch?v=ua12N2eeL7Y,profile-matched clean creature source,d8c366e68300de064104ad3ec7b7a856aa7e04746f650210ba8ccfa0976c1d80,No canonical voice; clean llama vocalization direction reference
19,godie-hapm,Berserker,creature_giant,西前忠久,西前忠久的狂戰士方向,approved/processed/godie-hapm.wav,8,24000,1,16,-19.3,-8.6,0.0,usable,,locked_pass,round2,godie-hapm,replacement,incoming/downloaded_permitted/replacements/packs/godie-hapm__youtube.wav,https://www.youtube.com/watch?v=6gchymVW-ZI,https://www.youtube.com/watch?v=6gchymVW-ZI,exact named Japanese game voice files,079dadba8f0c1eec3047514f0464ba5e14d0d49cb6718817e8db8c235e94e638,FGO Arcade Heracles Berserker voice set
20,godie-hart,克勞德,male_low_dry,櫻井孝宏,櫻井孝宏的冷淡青年方向,approved/processed/godie-hart.wav,8,24000,1,16,-18.8,-2.0,0.0,usable,,locked_pass,round3,godie-hart,replacement,incoming/downloaded_permitted/replacements/packs/godie-hart__youtube.wav,https://www.youtube.com/watch?v=8GGuOFZm-ns,https://www.youtube.com/watch?v=8GGuOFZm-ns,exact named Japanese game voice files,9b98d26237aefe6bf8839edb904d94fe8419be6b473fe78c1dde8508d14aecc8,Dissidia Final Fantasy NT Cloud Japanese voice compilation; early isolated voice-only lines selected before the outro
21,godie-hpal,藤井八雲,male_youth_gentle,辻谷耕史,辻谷耕史的溫和堅定方向,approved/processed/godie-hpal.wav,11.3,24000,1,16,-19.2,-1.2,0.0,usable,,locked_pass,round4,godie-hpal,replacement,incoming/downloaded_permitted/replacements/review4_sources/godie-hpal__yakumo_clean.wav,https://www.youtube.com/watch?v=81bdUpriODY,https://www.youtube.com/watch?v=81bdUpriODY,exact visually verified Japanese game character performance,a8a343bb1f2bf36e38cc2ccfcc4ac9d2c8e48febfb0285e7dc5b92eaf58a1d1c,3x3 EYES PS1 story scene at 18:36; Yakumo's portrait is the only speaking portrait and all three lines are continuous; Demucs vocal separation removes the score
22,godie-hpb1,蒼月潮,male_youth_wild,佐々木望（OVA版）,佐々木望的浦飯幽助型方向,approved/processed/godie-hpb1.wav,14.516,24000,1,16,-19.4,-3.2,0.0,rejected,probable_overlapping_speakers,locked_pass,round5,godie-hpb1,replacement,incoming/user_owned/godie-hpb1.wav,https://sounds.spriters-resource.com/pc_computer/jumpforce/asset/444579/,https://sounds.spriters-resource.com/media/assets/441/444579.zip?updated=1755553419,profile-matched same-actor Japanese youth voice,633d842d59f3422d556c4fb8cad7170ca9bbb350f89652dad086fca25e1e08f9,"Three clean 浦飯幽助 WAV files from JUMP FORCE; 佐々木望 also voiced 蒼月潮 in the 1992–1993 Ushio and Tora OVA, matching the user's requested casting reference; automated warning retained; superseded by completed human review"
23,godie-huth,魔人普烏,cartoon_high_male,塩屋浩三,塩屋浩三的童稚危險方向,approved/processed/godie-huth.wav,13.97,24000,1,16,-19.2,-6.8,0.0,usable,,locked_pass,round2,godie-huth,replacement,incoming/downloaded_permitted/replacements/packs/godie-huth__youtube.wav,https://www.youtube.com/watch?v=-_sM2VQNo18,https://www.youtube.com/watch?v=-_sM2VQNo18,exact named Japanese game voice files,fadb6123ba683b8cf9351c7ad9ea548117dbe4307e0dd00576864287751d8a9f,Dragon Ball FighterZ Majin Buu Japanese voice compilation
24,godie-hvsh,Rider,female_low_breathy,浅川悠,浅川悠的成熟危險方向,approved/processed/godie-hvsh.wav,8,24000,1,16,-19.5,-7.5,0.0,usable,,locked_pass,round2,godie-hvsh,replacement,incoming/downloaded_permitted/replacements/packs/godie-hvsh__youtube.wav,https://www.youtube.com/watch?v=9A67czqyK0E,https://www.youtube.com/watch?v=9A67czqyK0E,exact named Japanese game voice files,c0b449643bf12263cd62f0eb3181320df4a5ca17916f5c4371fedcc639cc0c21,FGO Arcade Medusa Rider voice set; single-character asset overrides spectral speaker heuristic
25,godie-hvwd,桔梗,female_cold_clear,日髙のり子,日髙のり子的清冷方向,approved/processed/godie-hvwd.wav,13.55,24000,1,16,-19.3,-2.5,0.0,usable,,locked_pass,round4,godie-hvwd,replacement,incoming/user_owned/godie-hvwd.wav,https://www.youtube.com/watch?v=XAvuawW9u2U,https://www.youtube.com/watch?v=XAvuawW9u2U,exact named Japanese game collaboration character performance,b590c6f162cfb8c642e679830f86f3a5beaf170711e8dbe92e4bfed3f21d6a52,"Onmyoji biography screen shows Kikyo alone and labels CV 日髙のり子; the selected opening is a continuous first-person self-introduction, with the background score removed by Demucs; single-character asset overrides spectral speaker heuristic"
26,godie-n003,依文潔琳,female_child_ancient,松岡由貴,松岡由貴的幼女魔王方向,approved/processed/godie-n003.wav,7.536,24000,1,16,-19.4,-6.8,0.0,usable,,locked_pass,round2,godie-n003,replacement,incoming/downloaded_permitted/replacements/packs/godie-n003__gbf_introduce1.mp3,https://gbf.wiki/Evangeline_A.K._McDowell/Voice,https://gbf.wiki/images/1/1f/3040575000_introduce1.mp3,exact named character voice page,20a01a71963b52e68478e15cbbc5cfd0607defc976d4292c684e3e4cc17de1cb,Granblue Fantasy 2025 Negima collaboration; single-character asset overrides spectral speaker heuristic
27,godie-n00b,哆拉A夢,cartoon_nasal,水田わさび,水田わさび的圓潤卡通方向,approved/processed/godie-n00b.wav,10.5378,24000,1,16,-18.9,-8.1,0.0,usable,,locked_pass,round3,godie-n00b,replacement,incoming/downloaded_permitted/replacements/cleaned/godie-n00b__doraemon_raw_montage.wav,https://sounds.spriters-resource.com/wii/doraemonwiihimitsudouguouketteisen/asset/418027/,https://sounds.spriters-resource.com/wii/doraemonwiihimitsudouguouketteisen/asset/418027/,exact named raw game voice assets,11f79ed7fd55c0a5970a2cf52bda43442788663f51bf919645b97426d88ab078,Doraemon Wii raw voice files HAJIMEYOU HOUHOU OMEDETOU OPEN1 and ZUKAN joined with short silence; no music or other speakers
28,godie-n00p,南野秀一,androgynous_elegant,緒方恵美,緒方恵美的優雅中性方向,approved/processed/godie-n00p.wav,8,24000,1,16,-19.2,-4.0,0.0,usable,,locked_pass,round3,godie-n00p,replacement,incoming/downloaded_permitted/replacements/packs/godie-n00p__youtube.wav,https://www.youtube.com/watch?v=-OuCP8OLaPE,https://www.youtube.com/watch?v=-OuCP8OLaPE,exact named Japanese game voice files,f51163ec7b5bf31b4c704aa510832186efad1415fcaaa76e8727cc054c6a8c19,Yu Yu Hakusho Forever PS2 regular-Kurama battle-voice chapter; excludes the Youko Kurama chapter
29,godie-n01c,勇者小呆,child_boy_heroic,種﨑敦美,女性聲優演少年英雄方向,approved/processed/godie-n01c.wav,7.307,24000,1,16,-18.1,-3.0,0.0,usable,,locked_pass,round2,godie-n01c,replacement,incoming/downloaded_permitted/replacements/packs/godie-n01c__youtube.wav,https://www.youtube.com/watch?v=k4Zu2LqArqI,https://www.youtube.com/watch?v=k4Zu2LqArqI,exact named Japanese game voice files,8991d22ef37635fbe3ada1cbf7d7cbbfa5719d3d09c42e06ca43b93ed87b6c38,Jump Force Dai Japanese voice compilation
30,godie-nplh,麻倉葉,male_youth_relaxed,佐藤ゆうこ,2001版慵懶少年方向,approved/processed/godie-nplh.wav,6.009,24000,1,16,-20.4,-4.9,0.0,needs_audio_review,probable_overlapping_speakers,locked_pass,round1,godie-nplh,initial_approved,incoming/downloaded_permitted/godie-nplh.wav,https://www.youtube.com/watch?v=dGVohrzDabI,https://www.youtube.com/watch?v=dGVohrzDabI,version_mismatch_comparison_only,5ee4b46bc4a8ff54ff4eede0ad62f4a555bb1898ea355b0a0a898a983828d236,automatic signal heuristic flagged probable_overlapping_speakers; source_url=https://www.youtube.com/watch?v=dGVohrzDabI; role_review_basis=cast_research; Downloaded source is the 2021 Yoko Hikasa version rather than the requested 2001 Yuko Sato version; automated warning retained; superseded by completed human review
31,godie-o00k,皮卡娘,female_high_sadistic,無官方聲優,建議古賀葵型惡作劇方向,approved/processed/godie-o00k.wav,8,24000,1,16,-18.9,-8.9,0.0,usable,,locked_pass,round2,godie-o00k,replacement,incoming/downloaded_permitted/replacements/packs/godie-o00k__youtube.wav,https://www.youtube.com/watch?v=41hX5VNLJTA,https://www.youtube.com/watch?v=41hX5VNLJTA,profile-matched Japanese high sadistic game voice,721e5a8f613dec07f286665fa906b0e86ad7f8c3ebdfa8d31044e767ad9633eb,No canonical voice; Rachel Alucard Japanese casting direction reference; manually selected low-music low-overlap window
32,godie-o00l,傑洛士,male_polite_sinister,石田彰,石田彰的笑裡藏刀方向,approved/processed/godie-o00l.wav,8,24000,1,16,-18.8,-5.7,0.0,usable,,locked_pass,round2,godie-o00l,replacement,incoming/downloaded_permitted/replacements/packs/godie-o00l__youtube.wav,https://www.youtube.com/watch?v=IAywdBRSs0g,https://www.youtube.com/watch?v=IAywdBRSs0g,exact named Japanese game voice lines,7246a2250fc5bf3a328946a6d0c0862b89adae663844275e50fa5688a8d3d8a7,Xellos Japanese voice compilation; single-character asset overrides spectral speaker heuristic
33,godie-o00x,悟空,male_high_heroic,野沢雅子,女性聲優演成年英雄方向,approved/processed/godie-o00x.wav,8,24000,1,16,-19.2,-4.0,0.0,usable,,locked_pass,round2,godie-o00x,replacement,incoming/downloaded_permitted/replacements/packs/godie-o00x__youtube.wav,https://www.youtube.com/watch?v=m1g2aFOPPjc,https://www.youtube.com/watch?v=m1g2aFOPPjc,exact named Japanese game voice files,c6cfa714409e5d3e658d107c8ecbbb6641b68debad47b2d8ea41fbd822f2056c,Dragon Ball FighterZ Goku Japanese voice compilation; manually selected low-music single-speaker window
34,godie-o02p,初音,synthetic_female,藤田咲音源提供,合法合成歌聲方向,approved/processed/godie-o02p.wav,8,24000,1,16,-18.9,-9.8,0.0,usable,,locked_pass,round2,godie-o02p,replacement,incoming/downloaded_permitted/replacements/packs/godie-o02p__youtube.wav,https://www.youtube.com/watch?v=44R8D0h8Lmg,https://www.youtube.com/watch?v=44R8D0h8Lmg,exact Hatsune Miku synthetic voice,efe81dade2cdf60661c6fbbbeb51f6b37497418ad0256e2d98f8298289f1b03b,Project Diva voice-only acapella source; manually selected single-vocal window
35,godie-ofar,皮卡丘,creature_high,大谷育江,大谷育江的短音節角色方向,approved/processed/godie-ofar.wav,8,24000,1,16,-19.9,-5.9,0.0,usable,,locked_pass,round2,godie-ofar,replacement,incoming/downloaded_permitted/replacements/packs/godie-ofar__youtube.wav,https://www.youtube.com/watch?v=rOGS5E9HAqQ,https://www.youtube.com/watch?v=rOGS5E9HAqQ,exact named character voice files,4dafd06dca1f488d41383858bb6ff7d77bd48178e862009a8b8d944c383c1359,Super Smash Bros Ultimate Pikachu voice compilation
36,godie-ogld,黑人牙膏,male_professional_villain,無官方聲優,Gus Fring 冷靜專業反派方向,approved/processed/godie-ogld.wav,14.74,24000,1,16,-18.9,-1.9,0.0,usable,,locked_pass,round3,godie-ogld,replacement,incoming/downloaded_permitted/replacements/review3_sources/godie-ogld__gus_staff_meeting.wav,https://www.youtube.com/watch?v=pixVVVlm4tM,https://www.youtube.com/watch?v=pixVVVlm4tM,profile-matched Gus Fring character performance,34d17a4802d6a943731d8db2597f4b5794fb10b15bd28387a0599175ab6e7763,Official Breaking Bad and Better Call Saul channel staff-meeting scene; Gus speaks alone on screen in a calm professional register; frames exclude every employee response
37,godie-orkn,臭作,male_old_oily,版本資料不一,建議茶風林型中老年方向,approved/processed/godie-orkn.wav,8.118,24000,1,16,-19.0,-1.2,0.0,usable,,locked_pass,round2,godie-orkn,replacement,incoming/downloaded_permitted/replacements/packs/godie-orkn__original_map.wav,https://jdrts.com/download2/m375,https://jdrts.com/download2/m375,exact original-map character voice,e0777eee7a5e102c2c3c1baf5c6f7c329e987e1700be10fe1bcc684310da727a,Original GGD 1.9a3 map script assigns bads.mp3 to Shusaku kill event; repeated with short silence; exact original-map assignment retained for second-round human review; conservative spectral music heuristic overridden
38,godie-osam,殺生丸,male_low_flat,成田剣,成田剣的冷酷低音方向,approved/processed/godie-osam.wav,8,24000,1,16,-18.6,-2.1,0.0,needs_audio_review,probable_overlapping_speakers,locked_pass,round1,godie-osam,initial_approved,incoming/downloaded_permitted/godie-osam.wav,https://www.youtube.com/watch?v=oMuI0EJtlgQ,https://www.youtube.com/watch?v=oMuI0EJtlgQ,source_targeted_unreviewed,03c53e71e08d507b256f1636b44c68991befcc68da465fff980ab5001a653187,automatic signal heuristic flagged probable_overlapping_speakers; source_url=https://www.youtube.com/watch?v=oMuI0EJtlgQ; automated warning retained; superseded by completed human review
39,godie-u00h,鬼畜狂刀KYO,male_low_battle,小西克幸,小西克幸的邪氣戰士方向,approved/processed/godie-u00h.wav,8,24000,1,16,-19.7,-3.2,0.0,usable,,locked_pass,round2,godie-u00h,replacement,incoming/downloaded_permitted/replacements/packs/godie-u00h__youtube.wav,https://www.youtube.com/watch?v=-9kcvUL2Qlk,https://www.youtube.com/watch?v=-9kcvUL2Qlk,exact character named game footage,83757d43b95c6a4880fdd9c01dc8a89da9c14a49b7713522f859b8d9ed380b69,Samurai Deeper Kyo final attack sequence
40,godie-u00j,賽菲洛斯,male_low_divine,森川智之,森川智之的神性壓迫方向,approved/processed/godie-u00j.wav,7.2,24000,1,16,-17.7,-1.3,0.0,usable,,locked_pass,round1,godie-u00j,initial_approved,incoming/downloaded_permitted/godie-u00j.wav,https://www.youtube.com/watch?v=VW5M0fm4LfE,https://www.youtube.com/watch?v=VW5M0fm4LfE,manual_video_verified,05e5ed812c7b320df3bfdfc52ca687718a536a5e425c2d7e78a096d75c8148ad,role_review_basis=video_frames+ja_auto_captions; Opening shot and caption timing identify Sephiroth delivering the line addressed to Cloud; source_url=https://www.youtube.com/watch?v=VW5M0fm4LfE
41,godie-u00k,死之王,male_ultra_low,無官方聲優,建議速水奨型宗教魔王方向,approved/processed/godie-u00k.wav,8,24000,1,16,-19.1,-1.0,0.0,usable,,locked_pass,round3,godie-u00k,replacement,incoming/downloaded_permitted/replacements/packs/godie-u00k__warcraft3_eredar.wav,https://www.youtube.com/watch?v=rn2ZQ63l0ks,https://www.youtube.com/watch?v=rn2ZQ63l0ks,exact base-game voice set used by GGD map,38403397010edba14bba218bbecc0467dd8ac417e0b4a0d9d66c14a9ea2290d3,Original map Units UnitUI.slk row U00K uses the Eredar Warlock model and unitSound Warlock; isolated Warcraft III Eredar quotes selected
42,godie-u00l,拳四郎,male_hardboiled,神谷明,神谷明的硬派英雄方向,approved/processed/godie-u00l.wav,8,24000,1,16,-18.9,-7.5,0.0,usable,,locked_pass,round2,godie-u00l,replacement,incoming/downloaded_permitted/replacements/packs/godie-u00l__youtube.wav,https://www.youtube.com/watch?v=PL54fx1JNO8,https://www.youtube.com/watch?v=PL54fx1JNO8,exact named Japanese game voice files,7304b5fa66d972501aebc6b136fdb053e5b612f8bc1a895bea961bc77f23aa74,J-Stars Victory Vs Plus Kenshiro Japanese voice compilation
43,godie-u00n,蒙其.D.魯夫,male_youth_high_energy,田中真弓,田中真弓的高能量少年方向,approved/processed/godie-u00n.wav,5.773,24000,1,16,-18.6,-4.1,0.0,usable,,locked_pass,round2,godie-u00n,replacement,incoming/downloaded_permitted/replacements/packs/godie-u00n__youtube.wav,https://www.youtube.com/watch?v=lBXQmpVsaW8,https://www.youtube.com/watch?v=lBXQmpVsaW8,exact named Japanese game voice files,0774aea4f5574fdd1926d6d92ec18df3d8ae6c0c6a269fa6f2c63e0979f0d26b,Jump Force Luffy Japanese voice compilation
44,godie-u00v,基廉列克,nonverbal_low,無正常對白,建議乃村健次型低沉非語言方向,approved/processed/godie-u00v.wav,8,24000,1,16,-17.9,-1.0,0.0,needs_audio_review,probable_overlapping_speakers,locked_pass,round1,godie-u00v,initial_approved,incoming/downloaded_permitted/godie-u00v.wav,https://www.youtube.com/watch?v=kGI-Ealzs84,https://www.youtube.com/watch?v=kGI-Ealzs84,source_targeted_unreviewed,1e3adec53b4c8659a9c05f2cfb9522958d3daae4bb5b3d922fd371be13c25d3c,automatic signal heuristic flagged probable_overlapping_speakers; source_url=https://www.youtube.com/watch?v=kGI-Ealzs84; automated warning retained; superseded by completed human review
45,godie-u010,飛影,male_high_sharp,檜山修之,檜山修之的尖銳傲慢方向,approved/processed/godie-u010.wav,8.189,24000,1,16,-19.3,-6.3,0.0,usable,,locked_pass,round2,godie-u010,replacement,incoming/downloaded_permitted/replacements/packs/godie-u010__youtube.wav,https://www.youtube.com/watch?v=WtNutT3yGe0,https://www.youtube.com/watch?v=WtNutT3yGe0,exact named Japanese game voice files,b581bc12684847197cca64f38cf5fb6b48284b82b62fff10fe9f1d958257dcae,Jump Force Hiei Japanese voice compilation
