id,character,candidate_url,attested_by,attested_at,allowed_uses,notes
godie-n00p,南野秀一,https://www.youtube.com/watch?v=S1TDOuq4jMA,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-n01c,勇者小呆,https://www.youtube.com/watch?v=Kr84m3-xjMc,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-nplh,麻倉葉,https://www.youtube.com/watch?v=dGVohrzDabI,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-o00l,傑洛士,https://www.youtube.com/watch?v=uThahdXvoX8,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-o00x,悟空,https://www.youtube.com/watch?v=vyIg-bPlmAw,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-ofar,皮卡丘,https://www.youtube.com/watch?v=E7U0IZifgY8,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-osam,殺生丸,https://www.youtube.com/watch?v=oMuI0EJtlgQ,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-u00j,賽菲洛斯,https://www.youtube.com/watch?v=VW5M0fm4LfE,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-u00l,拳四郎,https://www.youtube.com/watch?v=L8uEDF8qtlk,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-u00n,蒙其.D.魯夫,https://www.youtube.com/watch?v=s9mKeplf0fg,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-u00v,基廉列克,https://www.youtube.com/watch?v=kGI-Ealzs84,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-u010,飛影,https://www.youtube.com/watch?v=Ud7cIeWhnDA,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-u01u,索隆,https://www.youtube.com/watch?v=s28m2t_IfJY,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-ubal,巴恩大魔王,https://www.youtube.com/watch?v=zuwMfn7RVJg,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
