abilityId,abilityName,championId,owner,generatorFile,attr,coeff,payload,rawPct,apPct,apCoeff,currentHasAd,currentHasAp,currentHasNone,attrDamageLv30,apDamageLv30,deltaLv30,attrDamageLv50,apDamageLv50,deltaLv50,attrDamageLv99,apDamageLv99,deltaLv99
godie-hjai.r,04-04 神滅斬,godie-hjai,json,,int,5.0,damage,125.0,130,1.3,False,True,False,135.0,227.2,92.2,135.0,287.1,152.1,135.0,433.7,298.7
godie-hjai.r,04-04 神滅斬,godie-hjai,json,,int,7.0,damage,175.0,180,1.8,False,True,False,189.0,314.6,125.6,189.0,397.5,208.5,189.0,600.5,411.5
godie-hpb1.e,07-03 列、在、前,godie-hpb1,json,,agi,5.0,damage,125.0,130,1.3,True,False,False,75.0,143.3,68.3,75.0,195.5,120.5,75.0,323.4,248.4
godie-hpb1.e,07-03 列、在、前,godie-hpb1,json,,agi,10.0,damage,250.0,250,2.5,True,False,False,150.0,275.6,125.6,150.0,376.0,226.0,150.0,622.0,472.0
godie-hpb1.e,07-03 列、在、前,godie-hpb1,json,,str,2.0,damage,50.0,50,0.5,True,False,False,52.0,55.1,3.1,52.0,75.2,23.2,52.0,124.4,72.4
godie-hpb1.w,07-02 者、皆、陣,godie-hpb1,json,,agi,3.0,damage,75.0,80,0.8,True,False,False,45.0,88.2,43.2,45.0,120.3,75.3,45.0,199.0,154.0
godie-hpb1.w,07-02 者、皆、陣,godie-hpb1,json,,agi,6.0,damage,150.0,150,1.5,True,False,False,90.0,165.4,75.4,90.0,225.6,135.6,90.0,373.2,283.2
godie-hpb1.w,07-02 者、皆、陣,godie-hpb1,json,,str,1.0,damage,25.0,30,0.3,True,False,False,26.0,33.1,7.1,26.0,45.1,19.1,26.0,74.6,48.6
godie-hvsh.ex,48-002 騎英之疆繩MAX,godie-hvsh,json,,agi,3.0,damage,75.0,80,0.8,False,False,True,66.0,117.3,51.3,66.0,160.7,94.7,66.0,266.9,200.9
godie-hvsh.r,48-04 騎英之疆繩,godie-hvsh,json,,agi,3.0,damage,75.0,80,0.8,False,True,False,66.0,117.3,51.3,66.0,160.7,94.7,66.0,266.9,200.9
godie-n003.r,42-04 世界終結,godie-n003,json,,int,4.0,damage,100.0,100,1.0,False,False,True,80.0,155.1,75.1,80.0,206.8,126.8,80.0,333.6,253.6
godie-n01c.r,08-04 阿邦快速劍X,godie-n01c,json,,agi,7.0,damage,175.0,180,1.8,True,False,False,280.0,253.8,-26.2,280.0,289.8,9.8,280.0,378.0,98.0
godie-n01g.r,42-04 世界終結,godie-n01g,json,,int,4.0,damage,100.0,100,1.0,False,False,True,80.0,109.0,29.0,80.0,129.0,49.0,80.0,178.0,98.0
godie-nbbc.r,08-04 阿邦快速劍X,godie-nbbc,json,,agi,7.0,damage,175.0,180,1.8,True,False,False,175.0,243.6,68.6,175.0,347.1,172.1,175.0,600.5,425.5
godie-o00l.q,53-01 獸王牙操彈,godie-o00l,json,,int,3.0,damage,75.0,80,0.8,False,False,True,72.0,166.5,94.5,72.0,228.4,156.4,72.0,380.0,308.0
godie-o00l.r,53-04 暴爆咒,godie-o00l,json,,int,1.0,damage,25.0,30,0.3,False,True,False,24.0,62.4,38.4,24.0,85.6,61.6,24.0,142.5,118.5
godie-o00x.ex,09-002 十倍龜派氣功,godie-o00x,json,,str,5.0,damage,125.0,130,1.3,False,False,True,90.0,131.3,41.3,90.0,157.3,67.3,90.0,221.0,131.0
godie-o00x.r,09-04 龜派氣功,godie-o00x,json,,str,2.0,damage,50.0,50,0.5,False,False,True,36.0,50.5,14.5,36.0,60.5,24.5,36.0,85.0,49.0
godie-o00x.r,09-04 龜派氣功,godie-o00x,json,,str,3.0,damage,75.0,80,0.8,False,False,True,54.0,80.8,26.8,54.0,96.8,42.8,54.0,136.0,82.0
godie-o02p.ex,99-002 把你給MikuMiku掉,godie-o02p,json,,int,6.0,shield,150.0,150,1.5,False,False,True,150.0,253.7,103.7,150.0,325.2,175.2,150.0,500.4,350.4
godie-ogld.r,72-04 黑化,godie-ogld,json,,int,9.0,damage,225.0,230,2.3,False,True,False,225.0,331.3,106.3,225.0,401.1,176.1,225.0,572.2,347.2
godie-ogrh.ex,09-002 十倍龜派氣功,godie-ogrh,json,,str,5.0,damage,125.0,130,1.3,False,False,True,90.0,161.6,71.6,90.0,208.5,118.5,90.0,323.4,233.4
godie-ogrh.r,09-04 龜派氣功,godie-ogrh,json,,str,2.0,damage,50.0,50,0.5,False,False,True,36.0,62.2,26.2,36.0,80.2,44.2,36.0,124.4,88.4
godie-ogrh.r,09-04 龜派氣功,godie-ogrh,json,,str,3.0,damage,75.0,80,0.8,False,False,True,54.0,99.5,45.5,54.0,128.3,74.3,54.0,199.0,145.0
godie-u00h.e,39-03 無明神風流-蛟龍,godie-u00h,json,,agi,3.0,damage,75.0,80,0.8,False,False,True,78.0,110.5,32.5,78.0,155.9,77.9,78.0,266.9,188.9
godie-u00h.ex,39-002 紅王,godie-u00h,json,,agi,1.0,damage,25.0,30,0.3,False,False,True,26.0,41.4,15.4,26.0,58.4,32.4,26.0,100.1,74.1
godie-u00h.ex,39-002 紅王,godie-u00h,json,,agi,3.0,damage,75.0,80,0.8,False,False,True,78.0,110.5,32.5,78.0,155.9,77.9,78.0,266.9,188.9
godie-u00h.r,39-04 祕奧義．金色的神風,godie-u00h,json,,agi,1.0,damage,25.0,30,0.3,True,False,False,26.0,41.4,15.4,26.0,58.4,32.4,26.0,100.1,74.1
godie-u00j.w,74-02 八刀一閃,godie-u00j,json,,agi,3.0,damage,75.0,80,0.8,True,False,False,78.0,110.5,32.5,78.0,155.9,77.9,78.0,266.9,188.9
godie-u00l.e,25-03 北斗百裂拳,godie-u00l,json,,str,2.0,damage,50.0,50,0.5,True,False,False,40.0,44.5,4.5,40.0,54.5,14.5,40.0,79.0,39.0
godie-u00l.ex,25-002 喔拉喔拉喔拉喔拉,godie-u00l,json,,str,4.0,damage,100.0,100,1.0,False,False,True,80.0,89.0,9.0,80.0,109.0,29.0,80.0,158.0,78.0
godie-u00l.ex,25-002 喔拉喔拉喔拉喔拉,godie-u00l,json,,str,6.0,damage,150.0,150,1.5,False,False,True,120.0,133.5,13.5,120.0,163.5,43.5,120.0,237.0,117.0
godie-u00l.q,25-01 北斗懺悔拳,godie-u00l,json,,str,3.0,damage,75.0,80,0.8,True,False,False,60.0,71.2,11.2,60.0,87.2,27.2,60.0,126.4,66.4
godie-u00n.passive,76-00 二檔,godie-u00n,json,,agi,2.0,damage,50.0,50,0.5,False,False,True,28.0,80.3,52.3,28.0,105.4,77.4,28.0,166.8,138.8
godie-u00n.r,76-04 三檔.巨人迴旋彈,godie-u00n,json,,str,2.0,damage,50.0,50,0.5,True,False,False,36.0,80.3,44.3,36.0,105.4,69.4,36.0,166.8,130.8
godie-u00o.passive,76-00 二檔,godie-u00o,json,,agi,2.0,damage,50.0,50,0.5,False,False,True,28.0,58.5,30.5,28.0,68.5,40.5,28.0,93.0,65.0
godie-u00o.r,76-04 三檔.巨人迴旋彈,godie-u00o,json,,str,2.0,damage,50.0,50,0.5,True,False,False,36.0,58.5,22.5,36.0,68.5,32.5,36.0,93.0,57.0
godie-u00v.r,78-04 死亡噴射肘擊,godie-u00v,json,,str,3.0,damage,75.0,80,0.8,True,False,False,66.0,99.5,33.5,66.0,128.3,62.3,66.0,199.0,133.0
godie-u010.passive,38-00 邪眼全開,godie-u010,json,,agi,2.0,damage,50.0,50,0.5,False,False,True,52.0,42.5,-9.5,52.0,52.5,0.5,52.0,77.0,25.0
godie-u010.q,38-01 邪王炎殺劍,godie-u010,json,,agi,1.0,damage,25.0,30,0.3,False,True,False,26.0,25.5,-0.5,26.0,31.5,5.5,26.0,46.2,20.2
godie-u010.q,38-01 邪王炎殺劍,godie-u010,json,,agi,2.0,damage,50.0,50,0.5,False,True,False,52.0,42.5,-9.5,52.0,52.5,0.5,52.0,77.0,25.0
godie-u010.w,38-02 邪王炎殺煉獄焦,godie-u010,json,,agi,2.0,damage,50.0,50,0.5,False,True,False,52.0,42.5,-9.5,52.0,52.5,0.5,52.0,77.0,25.0
godie-u01u.e,11-03 鬼氣九刀流-阿修羅壹霧銀,godie-u01u,json,,str,2.0,damage,50.0,50,0.5,True,False,False,44.0,50.5,6.5,44.0,60.5,16.5,44.0,85.0,41.0
godie-u01u.e,11-03 鬼氣九刀流-阿修羅壹霧銀,godie-u01u,json,,str,3.0,damage,75.0,80,0.8,True,False,False,66.0,80.8,14.8,66.0,96.8,30.8,66.0,136.0,70.0
godie-u01u.r,11-04 三千世界,godie-u01u,json,,str,3.0,damage,75.0,80,0.8,False,False,True,66.0,80.8,14.8,66.0,96.8,30.8,66.0,136.0,70.0
godie-u01u.r,11-04 三千世界,godie-u01u,json,,str,5.0,damage,125.0,130,1.3,False,False,True,110.0,131.3,21.3,110.0,157.3,47.3,110.0,221.0,111.0
godie-udre.e,11-03 鬼氣九刀流-阿修羅壹霧銀,godie-udre,json,,str,2.0,damage,50.0,50,0.5,True,False,False,44.0,62.2,18.2,44.0,80.2,36.2,44.0,124.4,80.4
godie-udre.e,11-03 鬼氣九刀流-阿修羅壹霧銀,godie-udre,json,,str,3.0,damage,75.0,80,0.8,True,False,False,66.0,99.5,33.5,66.0,128.3,62.3,66.0,199.0,133.0
godie-udre.r,11-04 三千世界,godie-udre,json,,str,3.0,damage,75.0,80,0.8,False,False,True,66.0,99.5,33.5,66.0,128.3,62.3,66.0,199.0,133.0
godie-udre.r,11-04 三千世界,godie-udre,json,,str,5.0,damage,125.0,130,1.3,False,False,True,110.0,161.6,51.6,110.0,208.5,98.5,110.0,323.4,213.4
godie-umal.e,25-03 北斗百裂拳,godie-umal,json,,str,2.0,damage,50.0,50,0.5,True,False,False,40.0,57.9,17.9,40.0,77.2,37.2,40.0,124.4,84.4
godie-umal.ex,25-002 喔拉喔拉喔拉喔拉,godie-umal,json,,str,4.0,damage,100.0,100,1.0,False,False,True,80.0,115.9,35.9,80.0,154.4,74.4,80.0,248.8,168.8
godie-umal.ex,25-002 喔拉喔拉喔拉喔拉,godie-umal,json,,str,6.0,damage,150.0,150,1.5,False,False,True,120.0,173.8,53.8,120.0,231.6,111.6,120.0,373.2,253.2
godie-umal.q,25-01 北斗懺悔拳,godie-umal,json,,str,3.0,damage,75.0,80,0.8,False,True,False,60.0,92.7,32.7,60.0,123.5,63.5,60.0,199.0,139.0
godie-uvng.passive,38-00 邪眼全開,godie-uvng,json,,agi,2.0,damage,50.0,50,0.5,False,False,True,52.0,90.0,38.0,52.0,132.8,80.8,52.0,237.5,185.5
godie-uvng.q,38-01 邪王炎殺劍,godie-uvng,json,,agi,1.0,damage,25.0,30,0.3,False,True,False,26.0,54.0,28.0,26.0,79.6,53.6,26.0,142.5,116.5
godie-uvng.q,38-01 邪王炎殺劍,godie-uvng,json,,agi,2.0,damage,50.0,50,0.5,False,True,False,52.0,90.0,38.0,52.0,132.8,80.8,52.0,237.5,185.5
godie-uvng.w,38-02 邪王炎殺煉獄焦,godie-uvng,json,,agi,2.0,damage,50.0,50,0.5,False,True,False,52.0,90.0,38.0,52.0,132.8,80.8,52.0,237.5,185.5
