id,character,candidate_url,source_name,speaker_name,license_type,license_url,commercial_use,derivative_use,ai_use,download_allowed,confidence,recommended_action
godie-n00p,南野秀一,https://bindumechan.wixsite.com/shigure222/素材配布,刻鳴時雨 音声コーパス,刻鳴時雨 (CV. 丸ころ),独自規約(無料),https://bindumechan.wixsite.com/shigure222/素材配布,true,true,true,true,medium,request_permission
godie-n01c,勇者小呆,https://bindumechan.wixsite.com/shigure222/素材配布,刻鳴時雨 音声コーパス,刻鳴時雨 (CV. 丸ころ),独自規約(無料),https://bindumechan.wixsite.com/shigure222/素材配布,true,true,true,true,medium,request_permission
godie-nplh,麻倉葉,https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,JVSコーパス,プロ話者100名 (男女),独自規約(非商用),https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,false,unknown,unknown,true,high,reject
godie-o00k,皮卡娘,https://amitaro.net/voice/corpus-list/ita/,あみたろの声素材工房 (ITAコーパス 6感情スタイル),小春音アミ (あみたろ),独自規約(無料),https://amitaro.net/voice/voice_rule/,true,true,true,true,high,auto_download
godie-o00l,傑洛士,https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,JVSコーパス,プロ話者100名 (男女),独自規約(非商用),https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,false,unknown,unknown,true,high,reject
godie-o00x,悟空,https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,JVSコーパス,プロ話者100名 (男女),独自規約(非商用),https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,false,unknown,unknown,true,high,reject
godie-o02p,初音,https://tyc.rei-yumesaki.net/material/corpus/,つくよみちゃんコーパス,つくよみちゃん (CV. 夢前黎),独自規約(無料),https://tyc.rei-yumesaki.net/material/corpus/,true,true,true,true,high,auto_download
godie-o02p,初音,https://voicevox.hiroshiba.jp/,VOICEVOX (ずんだもん・四国めたん等),合成音声キャラ多数,エンジン規約+キャラ別規約,https://voicevox.hiroshiba.jp/term/,true,unknown,unknown,true,high,request_permission
godie-ofar,皮卡丘,https://amitaro.net/voice/corpus-list/ita/,あみたろの声素材工房 (ITAコーパス 6感情スタイル),小春音アミ (あみたろ),独自規約(無料),https://amitaro.net/voice/voice_rule/,true,true,true,true,high,auto_download
godie-ofar,皮卡丘,https://freesound.org/search/?q=voice&f=license:%22Creative+Commons+0%22,Freesound.org (CC0 人声クリップ),クリップ毎に異なる,per-clip (CC0/CC-BY/CC-BY-NC),https://freesound.org/help/faq/,unknown,true,unknown,true,medium,manual_review
godie-ogld,黑人牙膏,https://commonvoice.mozilla.org/,Mozilla Common Voice 日本語,クラウドソース多数話者,CC0 1.0,https://github.com/common-voice/common-voice,true,true,true,true,high,auto_download
godie-ogld,黑人牙膏,,自主録音 (社内/委託収録),委託声優/開発チーム,契約による買い取り,,true,true,true,false,high,reject
godie-orkn,臭作,https://commonvoice.mozilla.org/,Mozilla Common Voice 日本語,クラウドソース多数話者,CC0 1.0,https://github.com/common-voice/common-voice,true,true,true,true,high,auto_download
godie-osam,殺生丸,https://commonvoice.mozilla.org/,Mozilla Common Voice 日本語,クラウドソース多数話者,CC0 1.0,https://github.com/common-voice/common-voice,true,true,true,true,high,auto_download
godie-u00h,鬼畜狂刀KYO,https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,JVSコーパス,プロ話者100名 (男女),独自規約(非商用),https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,false,unknown,unknown,true,high,reject
godie-u00j,賽菲洛斯,https://commonvoice.mozilla.org/,Mozilla Common Voice 日本語,クラウドソース多数話者,CC0 1.0,https://github.com/common-voice/common-voice,true,true,true,true,high,auto_download
godie-u00k,死之王,https://commonvoice.mozilla.org/,Mozilla Common Voice 日本語,クラウドソース多数話者,CC0 1.0,https://github.com/common-voice/common-voice,true,true,true,true,high,auto_download
godie-u00k,死之王,,自主録音 (社内/委託収録),委託声優/開発チーム,契約による買い取り,,true,true,true,false,high,reject
godie-u00l,拳四郎,https://commonvoice.mozilla.org/,Mozilla Common Voice 日本語,クラウドソース多数話者,CC0 1.0,https://github.com/common-voice/common-voice,true,true,true,true,high,auto_download
godie-u00n,蒙其.D.魯夫,https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,JVSコーパス,プロ話者100名 (男女),独自規約(非商用),https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,false,unknown,unknown,true,high,reject
godie-u00v,基廉列克,https://freesound.org/search/?q=voice&f=license:%22Creative+Commons+0%22,Freesound.org (CC0 人声クリップ),クリップ毎に異なる,per-clip (CC0/CC-BY/CC-BY-NC),https://freesound.org/help/faq/,unknown,true,unknown,true,medium,manual_review
godie-u00v,基廉列克,,自主録音 (社内/委託収録),委託声優/開発チーム,契約による買い取り,,true,true,true,false,high,reject
godie-u010,飛影,https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,JVSコーパス,プロ話者100名 (男女),独自規約(非商用),https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,false,unknown,unknown,true,high,reject
godie-u01u,索隆,https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,JVSコーパス,プロ話者100名 (男女),独自規約(非商用),https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,false,unknown,unknown,true,high,reject
godie-ubal,巴恩大魔王,https://commonvoice.mozilla.org/,Mozilla Common Voice 日本語,クラウドソース多数話者,CC0 1.0,https://github.com/common-voice/common-voice,true,true,true,true,high,auto_download
godie-udea,飛鼠先生,https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,JVSコーパス,プロ話者100名 (男女),独自規約(非商用),https://sites.google.com/site/shinnosuketakamichi/research-topics/jvs_corpus,false,unknown,unknown,true,high,reject
godie-udea,飛鼠先生,,自主録音 (社内/委託収録),委託声優/開発チーム,契約による買い取り,,true,true,true,false,high,reject
godie-hblm,慈悲的王者－賈修貝爾,https://bindumechan.wixsite.com/shigure222/素材配布,刻鳴時雨 音声コーパス,刻鳴時雨 (CV. 丸ころ),独自規約(無料),https://bindumechan.wixsite.com/shigure222/素材配布,true,true,true,true,medium,request_permission
godie-efur,揍敵客大家長－揍敵客桀諾,,自主録音,,契約による買い取り,,true,true,true,false,high,record_new_voice
godie-zombiex,聖杯黑泥醬－喪標麥可,,自主録音,,契約による買い取り,,true,true,true,false,high,record_new_voice
