id_a,character_a,id_b,character_b,similarity,collision_risk,recommended_fix
b2-bojji,波吉,b2-luckyman,幸運超人,0.5761,acceptable,
b2-elma,艾爾瑪,godie-o02p,初音,0.5746,acceptable,
b2-nube,鵺野鳴介,community-review-32-20260907,阿薩謝爾,0.5722,acceptable,
b2-zenitsu,我妻善逸,godie-o00l,傑洛士,0.5695,acceptable,
godie-e001,龍宮禮奈,godie-e008,夏娜,0.5668,acceptable,
b2-elma,艾爾瑪,community-review-02-20260907,八神庵,0.5664,acceptable,
b2-elma,艾爾瑪,godie-u00k,死之王,0.5663,acceptable,
community-review-04-20260907,空條承太郎,community-review-17-20260907,安茲·烏爾·恭,0.5662,acceptable,
community-review-27-20260907,庫洛魔法使,godie-etyr,木乃香,0.5659,acceptable,
b2-rem,蕾姆,b2-rin,遠坂凜,0.5656,acceptable,
b2-uncle,異世界舅舅,community-review-02-20260907,八神庵,0.5637,acceptable,
community-review-03-20260907,不知火舞,community-review-34-20260907,高速婆婆,0.5621,acceptable,
b2-takopi,章魚嗶,b2-touka,托卡・史考特,0.5614,acceptable,
b2-bojji,波吉,community-review-23-20260907,坂田銀時,0.5607,acceptable,
b2-nube,鵺野鳴介,community-review-27-20260907,庫洛魔法使,0.5602,acceptable,
community-review-13-20260907,朝田詩乃,godie-e00k,安云,0.5595,acceptable,
godie-h00l,林克,godie-u00j,賽菲洛斯,0.5594,acceptable,
b2-rin,遠坂凜,community-review-20-20260907,御坂美琴,0.5572,acceptable,
b2-nube,鵺野鳴介,b2-rin,遠坂凜,0.5567,acceptable,
godie-e008,夏娜,godie-etyr,木乃香,0.5548,acceptable,
community-review-32-20260907,阿薩謝爾,godie-h020,莉娜因巴斯,0.5540,acceptable,
community-review-08-20260907,米卡莎,godie-o00l,傑洛士,0.5535,acceptable,
b2-rin,遠坂凜,godie-h020,莉娜因巴斯,0.5528,acceptable,
b2-maple,梅普露,community-review-20-20260907,御坂美琴,0.5518,acceptable,
community-review-27-20260907,庫洛魔法使,godie-e001,龍宮禮奈,0.5515,acceptable,
b2-uncle,異世界舅舅,community-review-34-20260907,高速婆婆,0.5513,acceptable,
b2-guts,凱茲,godie-u00j,賽菲洛斯,0.5506,acceptable,
b2-matthias,馬提亞斯,godie-h020,莉娜因巴斯,0.5486,acceptable,
b2-elma,艾爾瑪,b2-uncle,異世界舅舅,0.5482,acceptable,
b2-kumoko,蜘蛛子,community-review-27-20260907,庫洛魔法使,0.5471,acceptable,
b2-elma,艾爾瑪,b2-guts,凱茲,0.5462,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-e00k,安云,0.5444,acceptable,
b2-nube,鵺野鳴介,godie-e001,龍宮禮奈,0.5441,acceptable,
b2-matthias,馬提亞斯,godie-e001,龍宮禮奈,0.5431,acceptable,
b2-guts,凱茲,community-review-34-20260907,高速婆婆,0.5425,acceptable,
b2-nube,鵺野鳴介,godie-e008,夏娜,0.5394,acceptable,
godie-etyr,木乃香,godie-h020,莉娜因巴斯,0.5393,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-osam,殺生丸,0.5371,acceptable,
godie-h00l,林克,godie-o00k,皮卡娘,0.5366,acceptable,
b2-popp,何布,godie-hart,克勞德,0.5345,acceptable,
community-review-27-20260907,庫洛魔法使,godie-ofar,皮卡丘,0.5327,acceptable,
godie-e001,龍宮禮奈,godie-h020,莉娜因巴斯,0.5315,acceptable,
community-review-34-20260907,高速婆婆,godie-u00j,賽菲洛斯,0.5311,acceptable,
community-review-04-20260907,空條承太郎,godie-osam,殺生丸,0.5310,acceptable,
godie-o00k,皮卡娘,godie-u00j,賽菲洛斯,0.5297,acceptable,
b2-popp,何布,community-review-08-20260907,米卡莎,0.5284,acceptable,
godie-e002,Saber,godie-h020,莉娜因巴斯,0.5254,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-e008,夏娜,0.5249,acceptable,
b2-kumoko,蜘蛛子,godie-e001,龍宮禮奈,0.5242,acceptable,
godie-e008,夏娜,godie-h020,莉娜因巴斯,0.5226,acceptable,
b2-nube,鵺野鳴介,godie-etyr,木乃香,0.5215,acceptable,
b2-kumoko,蜘蛛子,community-review-32-20260907,阿薩謝爾,0.5195,acceptable,
b2-nube,鵺野鳴介,godie-n00b,哆拉A夢,0.5193,acceptable,
community-review-08-20260907,米卡莎,community-review-12-20260907,衛宮士郎,0.5185,acceptable,
godie-u00j,賽菲洛斯,godie-u00k,死之王,0.5162,acceptable,
b2-takopi,章魚嗶,community-review-33-20260907,近衛刀太,0.5154,acceptable,
b2-kumoko,蜘蛛子,godie-h020,莉娜因巴斯,0.5101,acceptable,
community-review-34-20260907,高速婆婆,godie-u00k,死之王,0.5094,acceptable,
b2-orphen,歐菲,b2-uncle,異世界舅舅,0.5090,acceptable,
b2-goblin,哥布林殺手,community-review-17-20260907,安茲·烏爾·恭,0.5074,acceptable,
godie-h00l,林克,godie-u00k,死之王,0.5062,acceptable,
godie-e00k,安云,godie-nplh,麻倉葉,0.5055,acceptable,
community-review-02-20260907,八神庵,godie-u00j,賽菲洛斯,0.5053,acceptable,
b2-kumoko,蜘蛛子,b2-rin,遠坂凜,0.5018,acceptable,
b2-rem,蕾姆,godie-e008,夏娜,0.5008,acceptable,
godie-etyr,木乃香,godie-n00b,哆拉A夢,0.5003,acceptable,
community-review-13-20260907,朝田詩乃,godie-nplh,麻倉葉,0.4991,acceptable,
godie-e001,龍宮禮奈,godie-e00k,安云,0.4987,acceptable,
b2-guts,凱茲,b2-uncle,異世界舅舅,0.4979,acceptable,
community-review-02-20260907,八神庵,community-review-34-20260907,高速婆婆,0.4971,acceptable,
b2-boxxo,阿箱＋拉蜜絲,community-review-34-20260907,高速婆婆,0.4956,acceptable,
b2-kumoko,蜘蛛子,godie-n00b,哆拉A夢,0.4951,acceptable,
b2-zenitsu,我妻善逸,godie-hpal,藤井八雲,0.4944,acceptable,
b2-nube,鵺野鳴介,b2-rem,蕾姆,0.4943,acceptable,
b2-rin,遠坂凜,godie-e00k,安云,0.4943,acceptable,
b2-nube,鵺野鳴介,community-review-20-20260907,御坂美琴,0.4941,acceptable,
godie-huth,魔人普烏,godie-o00k,皮卡娘,0.4931,acceptable,
b2-sinbad,辛巴達,b2-takopi,章魚嗶,0.4914,acceptable,
b2-matthias,馬提亞斯,b2-nube,鵺野鳴介,0.4898,acceptable,
community-review-22-20260907,菜月昴,godie-o00l,傑洛士,0.4892,acceptable,
community-review-18-20260907,吉爾伽美什,community-review-19-20260907,桐谷和人,0.4865,acceptable,
b2-uncle,異世界舅舅,godie-huth,魔人普烏,0.4862,acceptable,
b2-popp,何布,community-review-22-20260907,菜月昴,0.4840,acceptable,
b2-elma,艾爾瑪,godie-o00k,皮卡娘,0.4824,acceptable,
b2-goblin,哥布林殺手,godie-osam,殺生丸,0.4823,acceptable,
b2-rem,蕾姆,community-review-16-20260907,魔法少女☆伊莉雅,0.4803,acceptable,
b2-takopi,章魚嗶,godie-etyr,木乃香,0.4764,acceptable,
b2-maple,梅普露,b2-takopi,章魚嗶,0.4761,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,community-review-27-20260907,庫洛魔法使,0.4743,acceptable,
b2-uncle,異世界舅舅,godie-o00k,皮卡娘,0.4735,acceptable,
community-review-05-20260907,洛克人,godie-n00b,哆拉A夢,0.4732,acceptable,
b2-bojji,波吉,b2-goblin,哥布林殺手,0.4731,acceptable,
b2-kumoko,蜘蛛子,b2-rem,蕾姆,0.4731,acceptable,
b2-rem,蕾姆,godie-etyr,木乃香,0.4730,acceptable,
b2-matthias,馬提亞斯,community-review-27-20260907,庫洛魔法使,0.4727,acceptable,
community-review-08-20260907,米卡莎,godie-hart,克勞德,0.4726,acceptable,
godie-h020,莉娜因巴斯,godie-nplh,麻倉葉,0.4724,acceptable,
b2-rin,遠坂凜,community-review-32-20260907,阿薩謝爾,0.4715,acceptable,
community-review-04-20260907,空條承太郎,community-review-25-20260907,一拳超人,0.4710,acceptable,
community-review-37-20260907,吉伊卡哇,godie-u00n,蒙其.D.魯夫,0.4710,acceptable,
b2-rem,蕾姆,godie-h020,莉娜因巴斯,0.4709,acceptable,
godie-hvsh,Rider,godie-hvwd,桔梗,0.4705,acceptable,
community-review-01-20260907,武藤遊戲,community-review-08-20260907,米卡莎,0.4704,acceptable,
community-review-13-20260907,朝田詩乃,godie-e002,Saber,0.4702,acceptable,
community-review-34-20260907,高速婆婆,godie-o00k,皮卡娘,0.4700,acceptable,
b2-boxxo,阿箱＋拉蜜絲,godie-huth,魔人普烏,0.4696,acceptable,
godie-h01n,黑崎一護,godie-hpb1,蒼月潮,0.4676,acceptable,
community-review-27-20260907,庫洛魔法使,community-review-32-20260907,阿薩謝爾,0.4675,acceptable,
godie-e008,夏娜,godie-n00b,哆拉A夢,0.4672,acceptable,
community-review-08-20260907,米卡莎,godie-h01n,黑崎一護,0.4641,acceptable,
b2-boxxo,阿箱＋拉蜜絲,community-review-27-20260907,庫洛魔法使,0.4630,acceptable,
b2-luckyman,幸運超人,community-review-17-20260907,安茲·烏爾·恭,0.4611,acceptable,
b2-sinbad,辛巴達,community-review-08-20260907,米卡莎,0.4598,acceptable,
b2-rem,蕾姆,community-review-27-20260907,庫洛魔法使,0.4594,acceptable,
b2-zenitsu,我妻善逸,community-review-25-20260907,一拳超人,0.4593,acceptable,
b2-luckyman,幸運超人,godie-hpal,藤井八雲,0.4589,acceptable,
godie-edem,宇智波佐助,godie-huth,魔人普烏,0.4589,acceptable,
community-review-17-20260907,安茲·烏爾·恭,community-review-25-20260907,一拳超人,0.4585,acceptable,
godie-huth,魔人普烏,godie-o00x,悟空,0.4583,acceptable,
b2-elma,艾爾瑪,community-review-03-20260907,不知火舞,0.4578,acceptable,
b2-bojji,波吉,b2-haga,羽賀,0.4575,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-emfr,涅吉,0.4572,acceptable,
b2-kumoko,蜘蛛子,community-review-20-20260907,御坂美琴,0.4565,acceptable,
community-review-03-20260907,不知火舞,community-review-27-20260907,庫洛魔法使,0.4558,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-ubal,巴恩大魔王,0.4556,acceptable,
community-review-34-20260907,高速婆婆,godie-huth,魔人普烏,0.4549,acceptable,
b2-touka,托卡・史考特,community-review-01-20260907,武藤遊戲,0.4545,acceptable,
community-review-05-20260907,洛克人,godie-e001,龍宮禮奈,0.4542,acceptable,
community-review-04-20260907,空條承太郎,community-review-23-20260907,坂田銀時,0.4533,acceptable,
b2-boxxo,阿箱＋拉蜜絲,b2-uncle,異世界舅舅,0.4529,acceptable,
b2-orphen,歐菲,community-review-02-20260907,八神庵,0.4517,acceptable,
community-review-27-20260907,庫洛魔法使,godie-huth,魔人普烏,0.4510,acceptable,
community-review-13-20260907,朝田詩乃,godie-e001,龍宮禮奈,0.4500,acceptable,
b2-matthias,馬提亞斯,b2-rin,遠坂凜,0.4499,acceptable,
community-review-04-20260907,空條承太郎,godie-u00l,拳四郎,0.4499,acceptable,
community-review-23-20260907,坂田銀時,godie-osam,殺生丸,0.4499,acceptable,
b2-popp,何布,godie-o00l,傑洛士,0.4498,acceptable,
b2-popp,何布,b2-zenitsu,我妻善逸,0.4495,acceptable,
b2-orphen,歐菲,godie-u00j,賽菲洛斯,0.4490,acceptable,
b2-nube,鵺野鳴介,community-review-05-20260907,洛克人,0.4486,acceptable,
b2-elma,艾爾瑪,godie-h00l,林克,0.4480,acceptable,
b2-rin,遠坂凜,godie-e008,夏娜,0.4480,acceptable,
community-review-13-20260907,朝田詩乃,community-review-16-20260907,魔法少女☆伊莉雅,0.4468,acceptable,
godie-e002,Saber,godie-e00k,安云,0.4467,acceptable,
b2-haga,羽賀,b2-luckyman,幸運超人,0.4466,acceptable,
b2-orphen,歐菲,godie-h01u,呂布奉先,0.4465,acceptable,
b2-maple,梅普露,godie-h020,莉娜因巴斯,0.4463,acceptable,
b2-matthias,馬提亞斯,community-review-33-20260907,近衛刀太,0.4460,acceptable,
b2-haga,羽賀,community-review-23-20260907,坂田銀時,0.4458,acceptable,
b2-rem,蕾姆,godie-nplh,麻倉葉,0.4448,acceptable,
b2-zenitsu,我妻善逸,community-review-22-20260907,菜月昴,0.4448,acceptable,
godie-h00l,林克,godie-huth,魔人普烏,0.4445,acceptable,
community-review-32-20260907,阿薩謝爾,godie-e008,夏娜,0.4444,acceptable,
b2-rin,遠坂凜,godie-etyr,木乃香,0.4440,acceptable,
b2-uncle,異世界舅舅,godie-h00l,林克,0.4436,acceptable,
b2-zenitsu,我妻善逸,community-review-12-20260907,衛宮士郎,0.4434,acceptable,
b2-luckyman,幸運超人,community-review-23-20260907,坂田銀時,0.4431,acceptable,
community-review-34-20260907,高速婆婆,godie-o02p,初音,0.4428,acceptable,
godie-e001,龍宮禮奈,godie-etyr,木乃香,0.4426,acceptable,
b2-luckyman,幸運超人,community-review-08-20260907,米卡莎,0.4423,acceptable,
community-review-03-20260907,不知火舞,godie-huth,魔人普烏,0.4421,acceptable,
b2-uncle,異世界舅舅,community-review-03-20260907,不知火舞,0.4408,acceptable,
b2-haga,羽賀,community-review-08-20260907,米卡莎,0.4404,acceptable,
b2-maple,梅普露,godie-e002,Saber,0.4400,acceptable,
b2-rin,遠坂凜,godie-n00b,哆拉A夢,0.4393,acceptable,
b2-touka,托卡・史考特,community-review-08-20260907,米卡莎,0.4392,acceptable,
b2-haga,羽賀,b2-sinbad,辛巴達,0.4388,acceptable,
community-review-32-20260907,阿薩謝爾,godie-n00b,哆拉A夢,0.4385,acceptable,
b2-rem,蕾姆,community-review-05-20260907,洛克人,0.4384,acceptable,
b2-rem,蕾姆,godie-e002,Saber,0.4382,acceptable,
godie-edem,宇智波佐助,godie-u00j,賽菲洛斯,0.4380,acceptable,
b2-takopi,章魚嗶,godie-emns,夜神月,0.4378,acceptable,
b2-goblin,哥布林殺手,community-review-04-20260907,空條承太郎,0.4366,acceptable,
b2-takopi,章魚嗶,community-review-32-20260907,阿薩謝爾,0.4366,acceptable,
community-review-23-20260907,坂田銀時,godie-h01u,呂布奉先,0.4362,acceptable,
community-review-18-20260907,吉爾伽美什,godie-hpal,藤井八雲,0.4346,acceptable,
godie-h01u,呂布奉先,godie-u00l,拳四郎,0.4345,acceptable,
community-review-03-20260907,不知火舞,godie-o00k,皮卡娘,0.4344,acceptable,
b2-uncle,異世界舅舅,godie-emns,夜神月,0.4338,acceptable,
community-review-08-20260907,米卡莎,community-review-25-20260907,一拳超人,0.4338,acceptable,
b2-rin,遠坂凜,community-review-37-20260907,吉伊卡哇,0.4334,acceptable,
b2-maple,梅普露,community-review-13-20260907,朝田詩乃,0.4333,acceptable,
community-review-20-20260907,御坂美琴,godie-udea,飛鼠先生,0.4326,acceptable,
b2-guts,凱茲,godie-o00k,皮卡娘,0.4325,acceptable,
godie-e001,龍宮禮奈,godie-emfr,涅吉,0.4323,acceptable,
community-review-25-20260907,一拳超人,godie-hpal,藤井八雲,0.4315,acceptable,
b2-rin,遠坂凜,godie-e001,龍宮禮奈,0.4313,acceptable,
b2-nube,鵺野鳴介,community-review-16-20260907,魔法少女☆伊莉雅,0.4306,acceptable,
godie-e00k,安云,godie-emfr,涅吉,0.4298,acceptable,
community-review-27-20260907,庫洛魔法使,godie-h02r,妙蛙花,0.4278,acceptable,
godie-o00k,皮卡娘,godie-u00k,死之王,0.4278,acceptable,
b2-rem,蕾姆,community-review-13-20260907,朝田詩乃,0.4277,acceptable,
community-review-20-20260907,御坂美琴,godie-h020,莉娜因巴斯,0.4274,acceptable,
b2-sinbad,辛巴達,godie-e00r,初號機,0.4270,acceptable,
b2-haga,羽賀,b2-zenitsu,我妻善逸,0.4255,acceptable,
godie-e001,龍宮禮奈,godie-o00x,悟空,0.4255,acceptable,
b2-luckyman,幸運超人,godie-hpb1,蒼月潮,0.4250,acceptable,
b2-maple,梅普露,godie-nplh,麻倉葉,0.4244,acceptable,
b2-matthias,馬提亞斯,godie-e002,Saber,0.4241,acceptable,
community-review-03-20260907,不知火舞,community-review-32-20260907,阿薩謝爾,0.4238,acceptable,
b2-matthias,馬提亞斯,godie-n00b,哆拉A夢,0.4233,acceptable,
community-review-05-20260907,洛克人,godie-etyr,木乃香,0.4233,acceptable,
b2-boxxo,阿箱＋拉蜜絲,godie-etyr,木乃香,0.4211,acceptable,
godie-h00l,林克,godie-u010,飛影,0.4208,acceptable,
b2-boxxo,阿箱＋拉蜜絲,community-review-03-20260907,不知火舞,0.4206,acceptable,
community-review-20-20260907,御坂美琴,community-review-32-20260907,阿薩謝爾,0.4205,acceptable,
b2-uncle,異世界舅舅,godie-h01n,黑崎一護,0.4199,acceptable,
community-review-02-20260907,八神庵,godie-o00k,皮卡娘,0.4198,acceptable,
b2-boxxo,阿箱＋拉蜜絲,b2-rem,蕾姆,0.4197,acceptable,
godie-huth,魔人普烏,godie-n01c,勇者小呆,0.4185,acceptable,
b2-kumoko,蜘蛛子,community-review-05-20260907,洛克人,0.4184,acceptable,
community-review-18-20260907,吉爾伽美什,godie-o00l,傑洛士,0.4183,acceptable,
b2-zenitsu,我妻善逸,community-review-18-20260907,吉爾伽美什,0.4178,acceptable,
b2-touka,托卡・史考特,godie-hblm,慈悲的王者－賈修貝爾,0.4177,acceptable,
b2-haga,羽賀,community-review-18-20260907,吉爾伽美什,0.4176,acceptable,
community-review-12-20260907,衛宮士郎,godie-o00l,傑洛士,0.4175,acceptable,
b2-rem,蕾姆,godie-n00b,哆拉A夢,0.4173,acceptable,
b2-bojji,波吉,community-review-17-20260907,安茲·烏爾·恭,0.4170,acceptable,
b2-takopi,章魚嗶,godie-zombiex,聖杯黑泥醬－喪標麥可,0.4168,acceptable,
b2-touka,托卡・史考特,community-review-14-20260907,殺老師,0.4160,acceptable,
community-review-01-20260907,武藤遊戲,godie-h01n,黑崎一護,0.4156,acceptable,
community-review-08-20260907,米卡莎,godie-hpal,藤井八雲,0.4153,acceptable,
community-review-25-20260907,一拳超人,godie-hart,克勞德,0.4134,acceptable,
b2-guts,凱茲,godie-o02p,初音,0.4131,acceptable,
community-review-05-20260907,洛克人,community-review-16-20260907,魔法少女☆伊莉雅,0.4131,acceptable,
godie-edem,宇智波佐助,godie-u00v,基廉列克,0.4131,acceptable,
b2-haga,羽賀,community-review-12-20260907,衛宮士郎,0.4120,acceptable,
b2-nube,鵺野鳴介,godie-o00x,悟空,0.4115,acceptable,
b2-haga,羽賀,godie-o00l,傑洛士,0.4114,acceptable,
b2-rem,蕾姆,community-review-32-20260907,阿薩謝爾,0.4111,acceptable,
b2-boxxo,阿箱＋拉蜜絲,godie-u00n,蒙其.D.魯夫,0.4109,acceptable,
community-review-01-20260907,武藤遊戲,community-review-18-20260907,吉爾伽美什,0.4099,acceptable,
godie-hblm,慈悲的王者－賈修貝爾,godie-udea,飛鼠先生,0.4095,acceptable,
godie-o02p,初音,godie-u00k,死之王,0.4093,acceptable,
b2-popp,何布,community-review-01-20260907,武藤遊戲,0.4092,acceptable,
community-review-32-20260907,阿薩謝爾,community-review-33-20260907,近衛刀太,0.4091,acceptable,
godie-n01c,勇者小呆,godie-u00v,基廉列克,0.4091,acceptable,
community-review-18-20260907,吉爾伽美什,godie-hpb1,蒼月潮,0.4090,acceptable,
b2-haga,羽賀,b2-popp,何布,0.4088,acceptable,
b2-goblin,哥布林殺手,godie-ubal,巴恩大魔王,0.4085,acceptable,
b2-rin,遠坂凜,community-review-27-20260907,庫洛魔法使,0.4085,acceptable,
b2-maple,梅普露,godie-e001,龍宮禮奈,0.4069,acceptable,
godie-e008,夏娜,godie-e00k,安云,0.4067,acceptable,
b2-guts,凱茲,community-review-03-20260907,不知火舞,0.4062,acceptable,
b2-boxxo,阿箱＋拉蜜絲,community-review-05-20260907,洛克人,0.4046,acceptable,
b2-maple,梅普露,community-review-30-20260907,尼古貓貓,0.4046,acceptable,
community-review-33-20260907,近衛刀太,godie-nplh,麻倉葉,0.4041,acceptable,
b2-maple,梅普露,godie-e008,夏娜,0.4038,acceptable,
b2-guts,凱茲,godie-u00k,死之王,0.4036,acceptable,
b2-maple,梅普露,godie-e00k,安云,0.4036,acceptable,
b2-maple,梅普露,community-review-33-20260907,近衛刀太,0.4034,acceptable,
community-review-12-20260907,衛宮士郎,community-review-18-20260907,吉爾伽美什,0.4026,acceptable,
b2-guts,凱茲,godie-h00l,林克,0.4025,acceptable,
b2-uncle,異世界舅舅,godie-edem,宇智波佐助,0.4025,acceptable,
b2-maple,梅普露,b2-matthias,馬提亞斯,0.4015,acceptable,
b2-rin,遠坂凜,godie-emfr,涅吉,0.4015,acceptable,
community-review-08-20260907,米卡莎,godie-e007,天地志狼,0.4015,acceptable,
b2-matthias,馬提亞斯,community-review-32-20260907,阿薩謝爾,0.4011,acceptable,
godie-h01u,呂布奉先,godie-hart,克勞德,0.4010,acceptable,
community-review-05-20260907,洛克人,community-review-27-20260907,庫洛魔法使,0.4009,acceptable,
godie-h020,莉娜因巴斯,godie-n003,依文潔琳,0.4000,acceptable,
community-review-01-20260907,武藤遊戲,godie-hpb1,蒼月潮,0.3999,acceptable,
b2-sinbad,辛巴達,community-review-22-20260907,菜月昴,0.3990,acceptable,
community-review-05-20260907,洛克人,godie-o00x,悟空,0.3989,acceptable,
godie-h02r,妙蛙花,godie-ofar,皮卡丘,0.3983,acceptable,
community-review-08-20260907,米卡莎,community-review-18-20260907,吉爾伽美什,0.3981,acceptable,
community-review-13-20260907,朝田詩乃,godie-e008,夏娜,0.3981,acceptable,
b2-touka,托卡・史考特,godie-o00l,傑洛士,0.3980,acceptable,
b2-haga,羽賀,community-review-17-20260907,安茲·烏爾·恭,0.3978,acceptable,
godie-huth,魔人普烏,godie-u00j,賽菲洛斯,0.3977,acceptable,
b2-guts,凱茲,community-review-02-20260907,八神庵,0.3975,acceptable,
community-review-37-20260907,吉伊卡哇,godie-emfr,涅吉,0.3968,acceptable,
godie-n01c,勇者小呆,godie-o00x,悟空,0.3962,acceptable,
b2-boxxo,阿箱＋拉蜜絲,godie-o00k,皮卡娘,0.3952,acceptable,
godie-edem,宇智波佐助,godie-h00l,林克,0.3950,acceptable,
community-review-27-20260907,庫洛魔法使,godie-u00n,蒙其.D.魯夫,0.3949,acceptable,
community-review-27-20260907,庫洛魔法使,godie-o00x,悟空,0.3946,acceptable,
b2-haga,羽賀,godie-hart,克勞德,0.3936,acceptable,
b2-haga,羽賀,b2-takopi,章魚嗶,0.3934,acceptable,
b2-bojji,波吉,b2-takopi,章魚嗶,0.3929,acceptable,
b2-matthias,馬提亞斯,community-review-05-20260907,洛克人,0.3928,acceptable,
b2-boxxo,阿箱＋拉蜜絲,b2-kumoko,蜘蛛子,0.3925,acceptable,
community-review-05-20260907,洛克人,godie-h020,莉娜因巴斯,0.3913,acceptable,
community-review-03-20260907,不知火舞,godie-u00n,蒙其.D.魯夫,0.3911,acceptable,
community-review-01-20260907,武藤遊戲,godie-o00l,傑洛士,0.3908,acceptable,
community-review-18-20260907,吉爾伽美什,godie-h01n,黑崎一護,0.3907,acceptable,
b2-maple,梅普露,b2-nube,鵺野鳴介,0.3903,acceptable,
b2-luckyman,幸運超人,community-review-18-20260907,吉爾伽美什,0.3899,acceptable,
community-review-05-20260907,洛克人,community-review-32-20260907,阿薩謝爾,0.3898,acceptable,
community-review-27-20260907,庫洛魔法使,godie-o00k,皮卡娘,0.3893,acceptable,
b2-sinbad,辛巴達,godie-e007,天地志狼,0.3885,acceptable,
b2-touka,托卡・史考特,godie-udea,飛鼠先生,0.3885,acceptable,
b2-bojji,波吉,community-review-18-20260907,吉爾伽美什,0.3883,acceptable,
b2-luckyman,幸運超人,community-review-01-20260907,武藤遊戲,0.3883,acceptable,
b2-matthias,馬提亞斯,community-review-16-20260907,魔法少女☆伊莉雅,0.3882,acceptable,
b2-nube,鵺野鳴介,godie-o00k,皮卡娘,0.3882,acceptable,
b2-touka,托卡・史考特,b2-zenitsu,我妻善逸,0.3882,acceptable,
community-review-02-20260907,八神庵,godie-u00k,死之王,0.3880,acceptable,
community-review-20-20260907,御坂美琴,godie-emfr,涅吉,0.3876,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-o00x,悟空,0.3873,acceptable,
community-review-32-20260907,阿薩謝爾,godie-e001,龍宮禮奈,0.3873,acceptable,
b2-boxxo,阿箱＋拉蜜絲,b2-nube,鵺野鳴介,0.3871,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-hart,克勞德,0.3871,acceptable,
community-review-08-20260907,米卡莎,community-review-22-20260907,菜月昴,0.3870,acceptable,
godie-hpb1,蒼月潮,godie-u00l,拳四郎,0.3868,acceptable,
b2-maple,梅普露,b2-rin,遠坂凜,0.3867,acceptable,
b2-boxxo,阿箱＋拉蜜絲,godie-hblm,慈悲的王者－賈修貝爾,0.3862,acceptable,
b2-touka,托卡・史考特,community-review-12-20260907,衛宮士郎,0.3854,acceptable,
b2-zenitsu,我妻善逸,community-review-01-20260907,武藤遊戲,0.3852,acceptable,
community-review-08-20260907,米卡莎,godie-hpb1,蒼月潮,0.3839,acceptable,
b2-boxxo,阿箱＋拉蜜絲,godie-o00x,悟空,0.3832,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-h01u,呂布奉先,0.3832,acceptable,
godie-emns,夜神月,godie-h00l,林克,0.3822,acceptable,
b2-maple,梅普露,community-review-32-20260907,阿薩謝爾,0.3819,acceptable,
b2-kumoko,蜘蛛子,b2-maple,梅普露,0.3818,acceptable,
b2-rem,蕾姆,community-review-20-20260907,御坂美琴,0.3817,acceptable,
