championId,name,work,lang,taunt,respond.ok,respond.no,love,thanks,puzzled,victory,quote,defeat,kill-1,note
community-review-16-20260907,魔法少女☆伊莉雅,Fate/kaleid liner 魔法少女☆伊莉雅,ja,夢幻召喚！インストール！|インストール,,,,,,限定展開！インクルード！|インクルード,このバカステッキ～！|コノ バカ ステッキー,,,quotes.json 目前留空（無出處）
community-review-17-20260907,安茲·烏爾·恭,OVERLORD,ja,グラスプ・ハート|グラスプ ハート,,,,,,The Goal of All Life is Death|ザ ゴール オブ オール ライフ イズ デス,我が名を知るが良い。我こそがアインズ・ウール・ゴウン|ワガ ナオ シルガ ヨイ ワレコソガ アインズ ウール ゴウン,,,
community-review-18-20260907,吉爾伽美什,Fate,ja,雑種|ザッシュ,,,,,,慢心せずして何が王か！|マンシン セズシテ ナニガ オウカ,君臨するとはこういう事よ！|クンリンスルトワ コウイウ コトヨ,,,
community-review-19-20260907,桐谷和人,刀劍神域,ja,スターバースト・ストリーム！|スターバースト ストリーム,,,,,,スイッチ！|スイッチ,ビーター、いい呼び名だ|ビーター イイ ヨビナダ,,,
community-review-20-20260907,御坂美琴,科學超電磁砲,ja,ビリビリ言うな！|ビリビリ イウナ,,,,,,私には御坂美琴ってちゃんとした名前があんのよ！|ワタシニワ ミサカ ミコトッテ チャントシタ ナマエガ アンノヨ,超電磁砲！|レールガン,,,
community-review-21-20260907,鹿目圓,魔法少女小圓,ja,こんなの絶対おかしいよ|コンナノ ゼッタイ オカシイヨ,,,,,,クラスのみんなには、内緒だよ|クラスノ ミンナニワ ナイショダヨ,全ての魔女を生まれる前に消し去りたい|スベテノ マジョオ ウマレル マエニ ケシサリタイ,,,quotes.json 目前留空（無出處）
community-review-22-20260907,菜月昴,Re:從零開始的異世界生活,ja,エミリアが好きだから|エミリアガ スキ ダカラ,,,,,,ここから、ゼロから始めよう|ココカラ ゼロカラ ハジメヨウ,俺はエミリアたんの一の騎士！ナツキ・スバルだ！|オレワ エミリアタンノ イチノ キシ ナツキ スバルダ,,,
community-review-23-20260907,坂田銀時,銀魂,ja,糖分王に俺はなる！|トウブンオウニ オレワ ナル,,,,,,万事屋銀ちゃんとは、俺達のことだ|ヨロズヤ ギンチャントワ オレタチノ コトダ,天然パーマに悪い奴はいない|テンネン パーマニ ワルイ ヤツワ イナイ,,,quotes.json 目前留空（無出處）
community-review-24-20260907,奇犽,HUNTER×HUNTER,ja,オレけっこう強いけどどうする？|オレ ケッコウ ツヨイケド ドウスル,,,,,,クセになってんだ、音殺して歩くの|クセニ ナッテンダ オト コロシテ アルクノ,ゴン、お前は光だ|ゴン オマエワ ヒカリダ,,,quotes.json 目前留空（無出處）
community-review-25-20260907,一拳超人,一拳超人,ja,趣味でヒーローをやっている者だ|シュミデ ヒーローオ ヤッテイル モノダ,,,,,,圧倒的な力ってのはつまらないもんだ|アットウテキナ チカラッテノワ ツマラナイ モンダ,20文字以内で簡潔にまとめて出直してこい！|ニジュウモジ イナイデ カンケツニ マトメテ デナオシテ コイ,,,
community-review-26-20260907,名偵探柯南,名偵探柯南,ja,真実はいつもひとつ！|シンジツワ イツモ ヒトツ,,,,,,江戸川コナン…探偵さ|エドガワ コナン タンテイサ,バーロー|バーロー,,,
community-review-27-20260907,庫洛魔法使,庫洛魔法使,ja,レリーズ！|レリーズ,,,,,,ほえ～|ホエー,はにゃ～ん|ハニャーン,,,quotes.json 目前留空（無出處）
community-review-28-20260907,艾莉絲·伯雷亞斯·格雷拉特,無職轉生,ja,特別なんだからね！|トクベツ ナンダカラネ,,,,,,特別に、エリスって呼ぶことを許してあげるわ！|トクベツニ エリスッテ ヨブコトオ ユルシテ アゲルワ,生意気よ、私を誰だと思ってるの？|ナマイキヨ ワタシオ ダレダト オモッテルノ,,,
community-review-29-20260907,芙莉蓮,葬送的芙莉蓮,ja,アウラ、自害しろ|アウラ ジガイシロ,,,,,,お前の前にいるのは、千年以上生きた魔法使いだ|オマエノ マエニ イルノワ センネン イジョウ イキタ マホウツカイダ,暗いよー！怖いよー！|クライヨー コワイヨー,,,
community-review-30-20260907,尼古貓貓,ヤニねこ／尼古喵喵,ja,ニャーはなんにも悪いことしてないのに…|ニャーワ ナンニモ ワルイコト シテナイノニ,,,,,,ニャーはなんにも悪いことしてないのに…|ニャーワ ナンニモ ワルイコト シテナイノニ,,,,quotes.json 目前留空（無出處）
community-review-31-20260907,SUN樂,香格里拉・開拓異境,ja,俺は、これを楽しんでるんだろうが！|オレワ コレオ タノシンデルンダロウガ,,,,,,つーかシャンフロ、神ゲー。面白えじゃねえか|ツーカ シャンフロ カミゲー オモシレエジャ ネエカ,こっちはもっと理不尽なクソゲーをクリアし続けてるんだ|コッチワ モット リフジンナ クソゲーオ クリアシ ツヅケテルンダ,,,quotes.json 目前留空（無出處）
community-review-32-20260907,阿薩謝爾,召喚惡魔／よんでますよ、アザゼルさん。,ja,今日の生贄はなにかいな？|キョウノ イケニエワ ナニカイナ,,,,,,完璧、悪魔なめとんなこいつ|カンペキ アクマ ナメトンナ コイツ,わしにはプライベートすら無いんかい！|ワシニワ プライベートスラ ナインカイ,,,
community-review-33-20260907,近衛刀太,UQ HOLDER!,ja,それでもまだ足りねぇ！|ソレデモ マダ タリネエ,,,,,,決めたんだよ、『最強』になるってな！|キメタンダヨ サイキョウニ ナルッテナ,だから進むぜ、その先に！|ダカラ ススムゼ ソノ サキニ,,,quotes.json 目前留空（無出處）
community-review-34-20260907,高速婆婆,膽大黨,ja,よし殺す、てめえはグッバイ|ヨシ コロス テメエワ グッバイ,,,,,,ただの強えババアだろ|タダノ ツエエ ババアダロ,てめえはホントにグッバイ野郎だぜ！|テメエワ ホントニ グッバイ ヤロウダゼ,,,quotes.json 目前留空（無出處）
community-review-35-20260907,炭治郎,鬼滅之刃,ja,頑張れ炭治郎、頑張れ！|ガンバレ タンジロウ ガンバレ,,,,,,俺はできる奴だ！|オレワ デキル ヤツダ,心はどこまでも強くなれる！|ココロワ ドコマデモ ツヨク ナレル,,,
community-review-36-20260907,鬼畜王蘭斯,鬼畜王蘭斯／Rance,ja,がははははは！|ガハハハハハ,,,,,,やはり俺様は冒険をしている時が一番格好いい|ヤハリ オレサマワ ボウケンオ シテイル トキガ イチバン カッコイイ,世の中には優先順位というものがあるのだ|ヨノナカニワ ユウセン ジュンイト イウ モノガ アルノダ,,,
community-review-37-20260907,吉伊卡哇,吉伊卡哇,ja,わァ……ぁ……|ワア アア,,,,,,フ！|フ,イヤ！イヤッ、ヤダーッ！|イヤ イヤッ ヤダーッ,,,quotes.json 目前留空（無出處）
b2-aladdin,阿拉丁,魔笛MAGI,ja,ウーゴくん！|ウーゴクン,,,,,,君に手をのばすんだ。何度でも|キミニ テオ ノバスンダ ナンドデモ,,,,quotes.json 目前留空（無出處）
b2-albus,阿爾巴斯,勇者再次啟程,ja,あ、どうも〜|ア ドウモ,,,,,,僕には時間が一番大切なんだ|ボクニワ ジカンガ イチバン タイセツナンダ,魔王討伐の旅を繰り返している|マオウ トウバツノ タビオ クリカエシテイル,,,quotes.json 目前留空（無出處）
b2-bojji,波吉,國王排名,ja,あう！|アウ,,,,,,あうあう！|アウ アウ,,,,quotes.json 目前留空（無出處）
b2-boxxo,阿箱＋拉蜜絲,轉生成自動販賣機,ja,いらっしゃいませ|イラッシャイマセ,,,,,,ありがとうございました|アリガトウ ゴザイマシタ,ざんねん|ザンネン,,,quotes.json 目前留空（無出處）
b2-elma,艾爾瑪,轉生重騎士無雙,ja,お前が必要なんだ|オマエガ ヒツヨウナンダ,,,,,,見せてやる これがクラス重騎士の真の力だ！|ミセテヤル コレガ クラス ジュウキシノ シンノ チカラダ,,,,quotes.json 目前留空（無出處）
b2-fushi,不死,致不滅的你,ja,俺の仲間を侮辱するな|オレノ ナカマオ ブジョクスルナ,,,,,,自分の生き方は自分で勝ち取るんだ|ジブンノ イキカタワ ジブンデ カチトルンダ,,,,quotes.json 目前留空（無出處）
b2-goblin,哥布林殺手,哥布林殺手,ja,ゴブリンだ|ゴブリンダ,,,,,,生かしておく理由など一つもない|イカシテ オク リユウナド ヒトツモ ナイ,俺は世界を救わない。ゴブリンを殺すだけだ|オレワ セカイオ スクワナイ ゴブリンオ コロス ダケダ,,,quotes.json 目前留空（無出處）
b2-guts,凱茲,烙印勇士,ja,祈るな！祈れば手が塞がる！|イノルナ イノレバ テガ フサガル,,,,,,逃げ出した先に楽園なんてありゃしねえのさ|ニゲダシタ サキニ ラクエンナンテ アリャシネエノサ,神に会えたら言っとけ！放っとけってな！|カミニ アエタラ イットケ ホットケッテナ,,,quotes.json 目前留空（無出處）
b2-haga,羽賀,這個世界漏洞百出,ja,これは負けイベントなんです|コレワ マケ イベント ナンデス,,,,,,でも、もう終わりにします|デモ モウ オワリニ シマス,僕の仕事はゲーム内のバグをチェックするデバッガーなんです|ボクノ シゴトワ ゲームナイノ バグオ チェック スル デバッガー ナンデス,,,quotes.json 目前留空（無出處）
b2-kaede,楓,異世界轉移魔法劍士,ja,テッテレー|テッテレー,,,,,,これでは緑犬ではなく赤犬だな。|コレデワ ミドリイヌデワ ナク アカイヌダナ,,,,quotes.json 目前留空（無出處）
b2-kaiji,伊藤開司,賭博默示錄,ja,ざわ…ざわ…|ザワ ザワ,,,,,,キンキンに冷えてやがるっ…！|キンキンニ ヒエテ ヤガルッ,ありがてえっ…！|アリガテエッ,,,quotes.json 目前留空（無出處）
b2-keyaru,凱亞爾,回復術士的重來人生,ja,ヒール！|ヒール,,,,,,さあ、復讐〈パーティー〉のはじまりだ|サア パーティーノ ハジマリダ,この世界そのものを回復する|コノ セカイ ソノモノオ カイフクスル,,,quotes.json 目前留空（無出處）
b2-kisaragi,如月電車,如月車站・GGD原創,zh,永無休止。,,,,,,地獄就是不斷重複又重複。,,,,
b2-klaus,克勞斯,覺醒了自動機能,ja,自動機能|ジドウ キノウ,,,,,,自動戦闘|ジドウ セントウ,自動資源採取|ジドウ シゲン サイシュ,,,quotes.json 目前留空（無出處）
b2-kumoko,蜘蛛子,轉生成蜘蛛又怎樣,ja,ないわー|ナイワー,,,,,,あれ？これ、詰んでね？|アレ コレ ツンデネ,生まれてすぐ死亡とかシャレにならん|ウマレテ スグ シボウトカ シャレニ ナラン,,,quotes.json 目前留空（無出處）
b2-luckyman,幸運超人,幸運超人,ja,ラッキー、クッキー、ラッキーマン！|ラッキー クッキー ラッキーマン,,,,,,ラッキー、クッキー、ラッキーマン！|ラッキー クッキー ラッキーマン,,,,quotes.json 目前留空（無出處）
b2-makoto,深澄真,月光下的異世界之旅,ja,巴さん！やっちゃいなさい！|トモエサン ヤッチャイナサイ,,,,,,巴さん！やっちゃいなさい！|トモエサン ヤッチャイナサイ,,,,quotes.json 目前留空（無出處）
b2-maomao,貓貓,藥師少女的獨語,ja,これ、毒です|コレ ドクデス,,,,,,毒だっつってんだろが！|ドクダッツッテンダロガ,好んで毒を食らうのは私ぐらいか|コノンデ ドクオ クラウノワ ワタシ グライカ,,,quotes.json 目前留空（無出處）
b2-maple,梅普露,怕痛的我把防禦力點滿,ja,悪食！|アクジキ,,,,,,これからも防御特化で頑張る！痛いのは嫌だしね|コレカラモ ボウギョ トッカデ ガンバル イタイノワ イヤダシネ,痛いのは嫌だから攻撃とか受けたくないし…|イタイノワ イヤダカラ コウゲキトカ ウケタク ナイシ,,,quotes.json 目前留空（無出處）
b2-matthias,馬提亞斯,失格紋的最強賢者,ja,イリス！ 頼む！|イリス タノム,,,,,,27秒42。ダメだな。遅い、遅すぎる。|ニジュウナナ ビョウ ヨンニ ダメダナ オソイ オソスギル,連携プレイが得意なやつらには連携プレイだ！|レンケイ プレイガ トクイナ ヤツラニワ レンケイ プレイダ,,,quotes.json 目前留空（無出處）
b2-misery,米瑟利,來自魔界,ja,こんにちは皆さん。私はミザリィ|コンニチワ ミナサン ワタシワ ミザリィ,,,,,,アウターゾーンの案内人です|アウターゾーンノ アンナイニンデス,,,,quotes.json 目前留空（無出處）
b2-naofumi,岩谷尚文,盾之勇者,ja,任せろ|マカセロ,,,,,,守ってほしいなら呼んでくれ|マモッテ ホシイナラ ヨンデクレ,アイアンメイデン！|アイアン メイデン,,,quotes.json 目前留空（無出處）
b2-ned,青蛙劍士 Ned,AVARTH,ja,何という悪趣味な・・・|ナントイウ アクシュミナ,,,,,,ど〇でもドア|ドコデモ ドア,,,,quotes.json 目前留空（無出處）
b2-noor,諾爾,我要招架一切,ja,パリイ！|パリイ,,,,,,それが冒険者だ！|ソレガ ボウケンシャダ,俺には、才能がなかった…|オレニワ サイノウガ ナカッタ,,,quotes.json 目前留空（無出處）
b2-nube,鵺野鳴介,靈異教師神眉,ja,鬼の手！|オニノ テ,,,,,,俺の生徒に、手を出すな！|オレノ セイトニ テオ ダスナ,宇宙天地 與我力量 降伏群魔 迎来曙光|ウチュウ テンチ ヨガ リキリョウ ゴウブク グンマ ゲイライ ショコウ,,,quotes.json 目前留空（無出處）
b2-orphen,歐菲,魔術士歐菲,ja,我は放つ光の白刃！|ワレワ ハナツ ヒカリノ ハクジン,,,,,,我は放つ光の白刃！|ワレワ ハナツ ヒカリノ ハクジン,,,,quotes.json 目前留空（無出處）
b2-popp,何布,神龍之謎,ja,メドローア！|メドローア,,,,,,俺を呼ぶなら大魔道士とでも呼んでくれ！|オレオ ヨブナラ ダイマドウシトデモ ヨンデクレ,一瞬…だけど…閃光のように！|イッシュン ダケド センコウノ ヨウニ,,,quotes.json 目前留空（無出處）
b2-rem,蕾姆,Re:從零開始,ja,鬼がかってますね|オニガカッテ マスネ,,,,,,スバル君はレムの英雄です|スバルクンワ レムノ エイユウデス,レムはスバル君を信じています|レムワ スバルクンオ シンジテイマス,,,quotes.json 目前留空（無出處）
b2-rin,遠坂凜,Fate,ja,そんなのは心の贅肉よ|ソンナノワ ココロノ ゼイニクヨ,,,,,,アンタはわたしのサーヴァント！|アンタワ ワタシノ サーヴァント,うっかり遠坂|ウッカリ トオサカ,,,quotes.json 目前留空（無出處）
b2-shadow,闇影,我想成為影之強者,ja,I AM ATOMIC.|アイ アム アトミック,,,,,,I AM THE ALL-RANGE ATOMIC|アイ アム ジ オール レンジ アトミック,,,,quotes.json 目前留空（無出處）
b2-shinchan,野原新之助,蠟筆小新,ja,ホホ～イ！|ホホーイ,,,,,,オラ、野原しんのすけ、5歳だゾ！|オラ ノハラ シンノスケ ゴサイダゾ,ねぇねぇお姉さん！|ネエネエ オネエサン,,,quotes.json 目前留空（無出處）
b2-sinbad,辛巴達,辛巴達的冒險,ja,それが、『シンドバッド』だ！|ソレガ シンドバッドダ,,,,,,俺は七海の覇王…シンドバッドだからな！|オレワ ナナウミノ ハオウ シンドバッド ダカラナ,俺は、人間だよ！人だからこそ夢を追う！|オレワ ニンゲンダヨ ヒト ダカラコソ ユメオ オウ,,,quotes.json 目前留空（無出處）
b2-takopi,章魚嗶,章魚嗶的原罪,ja,僕はハッピー星人！|ボクワ ハッピー セイジン,,,,,,ものすごい笑顔にしてみせるっピ！|モノスゴイ エガオニ シテミセルッピ,今日もがんばるっピ！|キョウモ ガンバルッピ,,,quotes.json 目前留空（無出處）
b2-touka,托卡・史考特,勇者死了,ja,俺は自分に価値を見出している|オレワ ジブンニ カチオ ミイダシテイル,,,,,,自分を捨てようとしてる人間に、見下される筋合いはねえ！|ジブンオ ステヨウト シテル ニンゲンニ ミクダサレル スジアイワ ネエ,理想的なふとももの形をした大根があったらニーソを履かせてやるのが男ってもんだろ|リソウテキナ フトモモノ カタチオ シタ ダイコンガ アッタラ ニーソオ ハカセテ ヤルノガ オトコッテ モンダロ,,,quotes.json 目前留空（無出處）
b2-uncle,異世界舅舅,異世界舅舅,ja,SEGAは？|セガワ,,,,,,イキュラス・キュオラ|イキュラス キュオラ,異世界グランバハマルに17年いたが、ようやく帰ってきたぞ|イセカイ グランバハマルニ ジュウナナネン イタガ ヨウヤク カエッテ キタゾ,,,quotes.json 目前留空（無出處）
b2-yogiri,高遠夜霧,秒殺外掛太強了,ja,死ね|シネ,,,,,,とりあえず殺そうか|トリアエズ コロソウカ,俺の能力が一つとは言ってないだろ|オレノ ノウリョクガ ヒトツトワ イッテナイダロ,,,quotes.json 目前留空（無出處）
b2-zenitsu,我妻善逸,鬼滅之刃,ja,禰豆子ちゃ～～～ん！|ネズコチャーン,,,,,,禰豆子ちゃんは俺が守る|ネズコチャンワ オレガ マモル,雷の呼吸 壱ノ型 霹靂一閃！|カミナリノ コキュウ イチノ カタ ヘキレキ イッセン,,,quotes.json 目前留空（無出處）
