ID,角色,作品來源,本體模型,基礎模型存在,模型檔數,OBJ數,動作片段,音效語音段數
57,乔帮主,ONE PIECE 航海王,../DATA/CHARACTER/ROLEACTION/057.x,True,4,4,68,66
58,神目黑刀,ONE PIECE 航海王,../DATA/CHARACTER/ROLEACTION/058.x,True,4,3,68,121
59,库奇,300英雄原創,../DATA/CHARACTER/ROLEACTION/059.x,True,1,1,19,20
60,立花响,戰姬絕唱 SYMPHOGEAR,../DATA/CHARACTER/ROLEACTION/060.x,True,7,7,89,161
61,貂蝉,三國演義題材（300英雄改編）,../DATA/CHARACTER/ROLEACTION/061.x,True,4,4,63,96
62,摩尔迦娜,MAGI 魔奇少年,../DATA/CHARACTER/ROLEACTION/062.x,True,10,10,155,282
63,梅比斯,FAIRY TAIL 魔導少年／妖精的尾巴,../DATA/CHARACTER/ROLEACTION/063.x,True,8,8,110,195
64,白鬼院凛凛蝶,妖狐×僕SS,../DATA/CHARACTER/ROLEACTION/064.x,True,11,11,132,227
65,蛇叔,火影忍者 NARUTO,../DATA/CHARACTER/ROLEACTION/065.x,True,2,2,37,42
66,蛇血舞姬,ONE PIECE 航海王,../DATA/CHARACTER/ROLEACTION/066.x,True,3,3,63,84
67,火拳·S,ONE PIECE 航海王,../DATA/CHARACTER/ROLEACTION/067.x,True,9,8,114,161
69,左二少,火影忍者 NARUTO,../DATA/CHARACTER/ROLEACTION/069.x,True,20,20,217,657
70,青丘国主,火影忍者 NARUTO,../DATA/CHARACTER/ROLEACTION/070.x,True,23,23,134,287
71,胡子船长,ONE PIECE 航海王,../DATA/CHARACTER/ROLEACTION/071.x,True,5,5,99,121
72,卡殿下,火影忍者 NARUTO,../DATA/CHARACTER/ROLEACTION/072.x,True,4,4,73,78
75,纳兹,FAIRY TAIL 魔導少年／妖精的尾巴,../DATA/CHARACTER/ROLEACTION/075.x,True,6,6,112,166
76,狂暴补师,刀劍神域 Sword Art Online,../DATA/CHARACTER/ROLEACTION/076.x,True,17,17,266,522
78,盗贼娃,葫蘆兄弟／葫蘆娃,../DATA/CHARACTER/ROLEACTION/078.x,True,2,2,45,40
79,法师娃,葫蘆兄弟／葫蘆娃,../DATA/CHARACTER/ROLEACTION/079.x,True,3,3,54,89
80,术士娃,葫蘆兄弟／葫蘆娃,../DATA/CHARACTER/ROLEACTION/080.x,True,6,6,85,123
81,骑士娃,葫蘆兄弟／葫蘆娃,../DATA/CHARACTER/ROLEACTION/081.x,True,3,3,45,56
82,牧师娃,葫蘆兄弟／葫蘆娃,../DATA/CHARACTER/ROLEACTION/082.x,True,4,4,75,121
83,猎人娃,葫蘆兄弟／葫蘆娃,../DATA/CHARACTER/ROLEACTION/083.x,True,4,4,56,111
84,战士娃,葫蘆兄弟／葫蘆娃,../DATA/CHARACTER/ROLEACTION/077.x,True,0,0,0,135
85,佐罗,ONE PIECE 航海王,../DATA/CHARACTER/ROLEACTION/085.x,True,11,11,157,226
86,死神,300英雄原創,../DATA/CHARACTER/ROLEACTION/086.x,True,4,4,82,156
87,幻刺·L·莉莉,300英雄原創,../DATA/CHARACTER/ROLEACTION/087.x,True,7,7,121,140
88,舰队统帅,300英雄原創,../DATA/CHARACTER/ROLEACTION/088.x,True,4,4,59,68
89,幻刺·D·露西,300英雄原創,../DATA/CHARACTER/ROLEACTION/089.x,True,6,6,104,92
90,美狄亚,Fate/stay night,../DATA/CHARACTER/ROLEACTION/090.x,True,9,9,122,240
91,天草四郎时贞,Fate/Apocrypha,../DATA/CHARACTER/ROLEACTION/091.x,True,10,10,191,131
92,无头骑士,無頭騎士異聞錄 DuRaRaRa!!,../DATA/CHARACTER/ROLEACTION/092.x,True,3,3,48,80
93,达克尼斯,為美好的世界獻上祝福！,../DATA/CHARACTER/ROLEACTION/093.x,True,8,8,143,233
94,四方川菖蒲,甲鐵城的卡巴內里,../DATA/CHARACTER/ROLEACTION/094.x,True,5,5,69,87
96,御坂美琴,魔法禁書目錄／科學超電磁砲,../DATA/CHARACTER/ROLEACTION/096.x,True,17,17,259,496
100,博丽灵梦,東方 Project,../DATA/CHARACTER/ROLEACTION/100.x,True,7,7,113,325
101,黑岩射手,BLACK★ROCK SHOOTER 黑岩射手,../DATA/CHARACTER/ROLEACTION/101.x,True,18,17,312,476
102,黑衣剑士,刀劍神域 Sword Art Online,../DATA/CHARACTER/ROLEACTION/102.x,True,50,50,532,1821
104,吉尔伽美什,Fate/stay night,../DATA/CHARACTER/ROLEACTION/099.x,True,0,0,0,204
105,秋山澪,K-ON！輕音部,../DATA/CHARACTER/ROLEACTION/105.x,True,14,14,196,425
107,笠笠笠,進擊的巨人,../DATA/CHARACTER/ROLEACTION/107.x,True,30,30,323,457
108,楪祈,Guilty Crown 罪惡王冠,../DATA/CHARACTER/ROLEACTION/108.x,True,15,15,199,215
109,夏娜,灼眼的夏娜,../DATA/CHARACTER/ROLEACTION/109.x,True,12,12,267,305
110,格雷,FAIRY TAIL 魔導少年／妖精的尾巴,../DATA/CHARACTER/ROLEACTION/110.x,True,7,5,118,121
112,小悟空,七龍珠／Dragon Ball 系列,../DATA/CHARACTER/ROLEACTION/112.x,True,12,9,187,299
113,片翼天使,Final Fantasy VII／最終幻想 VII,../DATA/CHARACTER/ROLEACTION/113.x,True,12,12,237,197
115,贵公子,犬夜叉,../DATA/CHARACTER/ROLEACTION/115.x,True,12,12,198,218
117,桂木桂马,只有神知道的世界,../DATA/CHARACTER/ROLEACTION/117.x,True,11,11,171,280
118,黑,DARKER THAN BLACK－黑之契約者,../DATA/CHARACTER/ROLEACTION/118.x,True,18,18,285,305
119,李小狼,TSUBASA 翼／翼年代記,../DATA/CHARACTER/ROLEACTION/119.x,True,8,8,108,104
120,姬丝秀忒,物語系列,../DATA/CHARACTER/ROLEACTION/120.x,True,14,13,270,510
121,绯村剑心,神劍闖江湖／浪客劍心,../DATA/CHARACTER/ROLEACTION/121.x,True,21,21,396,678
122,强袭自由,機動戰士鋼彈 SEED DESTINY,../DATA/CHARACTER/ROLEACTION/122.x,True,17,17,163,344
126,真田幸村,百花繚亂 SAMURAI GIRLS,../DATA/CHARACTER/ROLEACTION/126.x,True,6,6,87,127
128,喜羊羊,喜羊羊與灰太狼,../DATA/CHARACTER/ROLEACTION/128.x,True,6,6,54,103
129,胡一菲,愛情公寓,../DATA/CHARACTER/ROLEACTION/129.x,False,0,0,0,0
130,吕子乔,愛情公寓,../DATA/CHARACTER/ROLEACTION/130.x,False,0,0,0,6
131,陈美嘉,愛情公寓,../DATA/CHARACTER/ROLEACTION/131.x,False,0,0,0,3
134,梦魇,約會大作戰 DATE A LIVE,../DATA/CHARACTER/ROLEACTION/134.x,True,29,29,190,378
135,十六夜咲夜,東方 Project,../DATA/CHARACTER/ROLEACTION/135.x,True,10,10,126,318
136,夜夜,機巧少女不會受傷,../DATA/CHARACTER/ROLEACTION/136.x,True,9,9,186,205
137,坂田银时,銀魂,../DATA/CHARACTER/ROLEACTION/137.x,True,19,19,163,207
138,伊卡洛斯,天降之物,../DATA/CHARACTER/ROLEACTION/138.x,True,16,15,226,387
139,万年小学生,名偵探柯南,../DATA/CHARACTER/ROLEACTION/139.x,True,1,1,24,30
140,小鸟游六花,中二病也想談戀愛！,../DATA/CHARACTER/ROLEACTION/140.x,True,7,7,182,206
142,公主,約會大作戰 DATE A LIVE,../DATA/CHARACTER/ROLEACTION/142.x,True,16,16,281,374
143,晓美焰,魔法少女小圓,../DATA/CHARACTER/ROLEACTION/143.x,True,17,17,239,366
144,金色之暗,出包王女 To LOVE-Ru,../DATA/CHARACTER/ROLEACTION/144.x,True,15,14,305,349
145,纏流子,KILL la KILL／斬服少女,../DATA/CHARACTER/ROLEACTION/145.x,True,7,7,167,97
146,涅普顿,超次元戰記 戰機少女／Neptunia 系列,../DATA/CHARACTER/ROLEACTION/146.x,True,12,12,231,465
147,白井黑子,魔法禁書目錄／科學超電磁砲,../DATA/CHARACTER/ROLEACTION/147.x,True,6,6,118,116
148,樱满集,Guilty Crown 罪惡王冠,../DATA/CHARACTER/ROLEACTION/148.x,True,2,2,118,128
149,梦梦,出包王女 To LOVE-Ru,../DATA/CHARACTER/ROLEACTION/149.x,True,19,16,240,509
150,鹿目圆香,魔法少女小圓,../DATA/CHARACTER/ROLEACTION/150.x,True,10,10,139,237
151,八云紫,東方 Project,../DATA/CHARACTER/ROLEACTION/151.x,True,2,2,34,88
152,奈亚子,襲來！美少女邪神／潛行吧！奈亞子,../DATA/CHARACTER/ROLEACTION/158.x,True,8,8,97,235
153,白岩射手,BLACK★ROCK SHOOTER THE GAME,../DATA/CHARACTER/ROLEACTION/153.x,True,6,6,141,164
154,立华奏,Angel Beats!,../DATA/CHARACTER/ROLEACTION/154.x,True,8,8,170,152
155,两仪式,空之境界,../DATA/CHARACTER/ROLEACTION/155.x,True,19,19,282,575
156,卫宫,Fate/stay night,../DATA/CHARACTER/ROLEACTION/156.x,True,45,37,522,1276
157,五更琉璃,我的妹妹哪有這麼可愛！,../DATA/CHARACTER/ROLEACTION/157.x,True,15,13,206,505
158,喔,艦隊 Collection／艦隊收藏,../DATA/CHARACTER/ROLEACTION/152.x,True,10,10,162,279
159,龙教练,數碼寶貝大冒險,../DATA/CHARACTER/ROLEACTION/159.x,True,11,11,152,214
160,远坂凛,Fate/stay night,../DATA/CHARACTER/ROLEACTION/160.x,True,14,14,216,263
161,奇犽,HUNTER×HUNTER 獵人,../DATA/CHARACTER/ROLEACTION/161.x,True,8,8,122,271
162,美树沙耶加,魔法少女小圓,../DATA/CHARACTER/ROLEACTION/162.x,True,7,6,84,232
163,空条承太郎,JoJo 的奇妙冒險 第三部：星塵遠征軍,../DATA/CHARACTER/ROLEACTION/163.x,True,14,14,139,279
164,黑雪姬,加速世界,../DATA/CHARACTER/ROLEACTION/164.x,True,12,12,143,187
165,高町奈叶,魔法少女奈葉,../DATA/CHARACTER/ROLEACTION/165.x,True,13,13,144,251
166,佐仓杏子,魔法少女小圓,../DATA/CHARACTER/ROLEACTION/166.x,True,7,7,91,143
167,冰之狙击手,刀劍神域 Sword Art Online,../DATA/CHARACTER/ROLEACTION/167.x,True,13,13,235,521
168,伊莉雅,Fate/kaleid liner 魔法少女☆伊莉雅,../DATA/CHARACTER/ROLEACTION/168.x,True,41,41,298,556
169,菲特,魔法少女奈葉,../DATA/CHARACTER/ROLEACTION/169.x,True,8,8,220,269
170,炎魔,約會大作戰 DATE A LIVE,../DATA/CHARACTER/ROLEACTION/170.x,True,6,6,121,157
171,独眼之王,東京喰種／東京食屍鬼,../DATA/CHARACTER/ROLEACTION/171.x,True,17,17,185,594
172,隐居者,約會大作戰 DATE A LIVE,../DATA/CHARACTER/ROLEACTION/172.x,True,13,13,174,312
174,天使,約會大作戰 DATE A LIVE,../DATA/CHARACTER/ROLEACTION/174.x,True,16,16,151,369
180,尼禄,Fate/EXTRA 系列,../DATA/CHARACTER/ROLEACTION/180.x,True,11,11,280,179
181,巴麻美,魔法少女小圓,../DATA/CHARACTER/ROLEACTION/181.x,True,12,12,182,495
183,大傻,艦隊 Collection／艦隊收藏,../DATA/CHARACTER/ROLEACTION/183.x,True,6,6,103,107
184,亚里亚,緋彈的亞莉亞,../DATA/CHARACTER/ROLEACTION/184.x,True,6,6,158,166
185,诺瓦露,超次元戰記 戰機少女／Neptunia 系列,../DATA/CHARACTER/ROLEACTION/185.x,True,10,10,160,273
186,克子,襲來！美少女邪神／潛行吧！奈亞子,../DATA/CHARACTER/ROLEACTION/186.x,True,6,6,92,73
187,混蛋罗（隐藏）,魂斗羅 Contra,../DATA/CHARACTER/ROLEACTION/187.x,True,1,1,17,31
188,魂魄妖梦,東方 Project,../DATA/CHARACTER/ROLEACTION/188.x,True,10,10,152,284
189,歌姬,約會大作戰 DATE A LIVE,../DATA/CHARACTER/ROLEACTION/189.x,True,10,10,191,221
190,蒂塔,300英雄原創,../DATA/CHARACTER/ROLEACTION/190.x,True,14,13,144,269
191,一方通行,魔法禁書目錄／科學超電磁砲,../DATA/CHARACTER/ROLEACTION/191.x,True,13,13,209,354
192,牧濑红莉栖,STEINS;GATE 命運石之門,../DATA/CHARACTER/ROLEACTION/192.x,True,12,12,194,309
193,伊莎,300英雄原創,../DATA/CHARACTER/ROLEACTION/193.x,True,23,23,335,695
194,栗山未来,境界的彼方,../DATA/CHARACTER/ROLEACTION/194.x,True,7,7,150,191
195,梦原望,Yes! 光之美少女5／GoGo!,../DATA/CHARACTER/ROLEACTION/195.x,True,8,8,112,211
196,柏崎星奈,我的朋友很少,../DATA/CHARACTER/ROLEACTION/196.x,True,8,8,236,243
197,缇米,300英雄原創,../DATA/CHARACTER/ROLEACTION/197.x,True,12,10,103,206
198,伊斯坎达尔,Fate/Zero,../DATA/CHARACTER/ROLEACTION/198.x,True,14,14,100,158
199,优克莉伍德,這樣算是殭屍嗎？,../DATA/CHARACTER/ROLEACTION/199.x,True,7,7,152,152
200,洛克李,火影忍者 NARUTO,../DATA/CHARACTER/ROLEACTION/200.x,True,5,5,89,167
201,水银灯,薔薇少女 Rozen Maiden,../DATA/CHARACTER/ROLEACTION/201.x,True,11,11,122,346
202,周防尊,K,../DATA/CHARACTER/ROLEACTION/202.x,True,10,10,107,221
203,爱德华,鋼之鍊金術師,../DATA/CHARACTER/ROLEACTION/203.x,True,5,5,64,185
204,法老王,遊戲王／遊戲王 怪獸之決鬥,../DATA/CHARACTER/ROLEACTION/204.x,True,3,3,49,93
205,无名,甲鐵城的卡巴內里,../DATA/CHARACTER/ROLEACTION/205.x,True,6,6,134,86
206,月刊重巡,艦隊 Collection／艦隊收藏,../DATA/CHARACTER/ROLEACTION/206.x,True,4,4,73,92
207,蕾米莉亚,東方 Project,../DATA/CHARACTER/ROLEACTION/207.x,True,7,7,146,209
208,八神疾风,魔法少女奈葉,../DATA/CHARACTER/ROLEACTION/208.x,True,14,14,207,271
209,司波达也,魔法科高中的劣等生,../DATA/CHARACTER/ROLEACTION/209.x,True,9,9,146,319
210,赵云,戀姬†無雙 系列,../DATA/CHARACTER/ROLEACTION/210.x,True,8,8,239,247
211,艾露莎,FAIRY TAIL 魔導少年／妖精的尾巴,../DATA/CHARACTER/ROLEACTION/211.x,True,14,14,211,425
212,赤瞳,斬！赤紅之瞳,../DATA/CHARACTER/ROLEACTION/212.x,True,21,19,328,952
213,鲁路修,Code Geass 反叛的魯路修,../DATA/CHARACTER/ROLEACTION/213.x,True,15,15,158,710
214,香风智乃,請問您今天要來點兔子嗎？,../DATA/CHARACTER/ROLEACTION/214.x,True,12,12,195,456
215,白,NO GAME NO LIFE 遊戲人生,../DATA/CHARACTER/ROLEACTION/215.x,True,13,11,166,400
216,空,NO GAME NO LIFE 遊戲人生,../DATA/CHARACTER/ROLEACTION/216.x,True,5,5,62,140
217,阿斯托尔福,Fate/Apocrypha,../DATA/CHARACTER/ROLEACTION/217.x,True,16,16,269,338
218,雾雨魔理沙,東方 Project,../DATA/CHARACTER/ROLEACTION/218.x,True,7,7,130,300
219,贞德,Fate/Apocrypha,../DATA/CHARACTER/ROLEACTION/219.x,True,6,6,0,0
220,贞德,Fate/Apocrypha,../DATA/CHARACTER/ROLEACTION/220.x,True,12,12,182,327
221,黑贞德,Fate/Grand Order,../DATA/CHARACTER/ROLEACTION/221.x,True,11,11,167,315
222,玉藻前,Fate/EXTRA 系列,../DATA/CHARACTER/ROLEACTION/222.x,True,9,9,190,258
223,三千院凪,旋風管家！,../DATA/CHARACTER/ROLEACTION/223.x,True,5,5,79,136
224,君莫笑,全職高手,../DATA/CHARACTER/ROLEACTION/224.x,True,2,2,55,93
225,夜雨声烦,全職高手,../DATA/CHARACTER/ROLEACTION/225.x,True,1,1,20,42
226,库·丘林,Fate/stay night,../DATA/CHARACTER/ROLEACTION/226.x,True,10,10,127,301
227,小一,BLEACH 死神,../DATA/CHARACTER/ROLEACTION/227.x,True,13,13,209,649
228,塞巴斯蒂安,黑執事,../DATA/CHARACTER/ROLEACTION/228.x,True,3,3,53,169
229,安兹乌尔恭,OVERLORD,../DATA/CHARACTER/ROLEACTION/229.x,True,22,22,128,278
230,芙兰朵露,東方 Project,../DATA/CHARACTER/ROLEACTION/230.x,True,4,4,63,187
231,阿库娅,為美好的世界獻上祝福！,../DATA/CHARACTER/ROLEACTION/231.x,True,12,11,179,531
232,阿尔泰尔,Re:CREATORS,../DATA/CHARACTER/ROLEACTION/232.x,True,7,7,121,193
233,珂朵莉,末日時在做什麼？有沒有空？可以來拯救嗎？,../DATA/CHARACTER/ROLEACTION/233.x,True,13,13,171,451
234,康娜,小林家的龍女僕,../DATA/CHARACTER/ROLEACTION/234.x,True,40,38,594,970
235,神裂火织,魔法禁書目錄／科學超電磁砲,../DATA/CHARACTER/ROLEACTION/235.x,True,16,13,215,552
236,佩姬,300英雄原創,../DATA/CHARACTER/ROLEACTION/236.x,True,11,11,129,373
237,雅儿贝德,OVERLORD,../DATA/CHARACTER/ROLEACTION/237.x,True,7,7,156,298
238,爱蜜莉雅,Re:從零開始的異世界生活,../DATA/CHARACTER/ROLEACTION/238.x,True,12,12,277,190
239,夜斗,流浪神差／野良神,../DATA/CHARACTER/ROLEACTION/239.x,True,17,17,287,370
240,西行寺幽幽子,東方 Project,../DATA/CHARACTER/ROLEACTION/240.x,True,3,3,51,65
241,我妻由乃,未來日記,../DATA/CHARACTER/ROLEACTION/241.x,True,9,9,151,200
242,潘多拉,300英雄原創,../DATA/CHARACTER/ROLEACTION/242.x,True,8,8,82,157
243,常昊灵,畫江湖之不良人,../DATA/CHARACTER/ROLEACTION/243.x,True,1,1,17,47
244,常宣灵,畫江湖之不良人,../DATA/CHARACTER/ROLEACTION/244.x,True,1,1,19,40
245,曹焱兵,鎮魂街,../DATA/CHARACTER/ROLEACTION/245.x,True,3,3,47,60
246,少司命,秦時明月,../DATA/CHARACTER/ROLEACTION/246.x,True,2,2,18,25
247,迪斯卓尔,300英雄原創,../DATA/CHARACTER/ROLEACTION/247.x,True,13,13,125,226
248,琉璃,雛蜂,../DATA/CHARACTER/ROLEACTION/248.x,True,1,1,30,46
249,爱丽丝,刀劍神域 Sword Art Online,../DATA/CHARACTER/ROLEACTION/249.x,True,9,9,157,235
250,伍六七,伍六七／刺客伍六七,../DATA/CHARACTER/ROLEACTION/250.x,True,4,4,44,45
251,蕾西亚,BEATLESS 沒有心跳的少女,../DATA/CHARACTER/ROLEACTION/251.x,True,5,5,103,90
253,美杜莎,Fate/stay night,../DATA/CHARACTER/ROLEACTION/253.x,True,3,3,61,120
254,间桐樱,Fate/stay night,../DATA/CHARACTER/ROLEACTION/254.x,True,14,13,139,250
255,乔鲁诺·乔巴纳,JoJo 的奇妙冒險 第五部：黃金之風,../DATA/CHARACTER/ROLEACTION/255.x,True,4,4,36,57
256,埼玉,一拳超人 ONE-PUNCH MAN,../DATA/CHARACTER/ROLEACTION/256.x,True,6,6,137,258
257,妮姆芙,天降之物,../DATA/CHARACTER/ROLEACTION/257.x,True,7,7,111,159
258,波风水门,火影忍者 NARUTO,../DATA/CHARACTER/ROLEACTION/258.x,True,6,6,67,96
259,伍六七,伍六七／刺客伍六七,../DATA/CHARACTER/ROLEACTION/259.x,True,2,2,22,34
260,莉法,刀劍神域 Sword Art Online,../DATA/CHARACTER/ROLEACTION/260.x,True,9,9,158,167
262,爱丽丝·玛格特罗依德,東方 Project,../DATA/CHARACTER/ROLEACTION/262.x,True,11,11,85,134
263,真红,薔薇少女 Rozen Maiden,../DATA/CHARACTER/ROLEACTION/263.x,True,8,6,140,292
264,美游,Fate/kaleid liner 魔法少女☆伊莉雅,../DATA/CHARACTER/ROLEACTION/264.x,True,9,9,172,157
265,格蕾,艾梅洛閣下II世事件簿,../DATA/CHARACTER/ROLEACTION/265.x,True,4,4,88,108
266,冯宝宝,一人之下,../DATA/CHARACTER/ROLEACTION/266.x,True,2,2,38,67
267,灶门炭治郎,鬼滅之刃,../DATA/CHARACTER/ROLEACTION/267.x,True,20,20,642,1685
268,射命丸文,東方 Project,../DATA/CHARACTER/ROLEACTION/268.x,True,5,5,59,88
269,尤吉欧,刀劍神域 Sword Art Online,../DATA/CHARACTER/ROLEACTION/269.x,True,10,10,129,247
270,迪奥·布兰度,JoJo 的奇妙冒險 第三部：星塵遠征軍,../DATA/CHARACTER/ROLEACTION/270.x,True,13,13,209,474
271,环彩羽,魔法紀錄 魔法少女小圓外傳,../DATA/CHARACTER/ROLEACTION/271.x,True,6,6,85,132
272,梅普露,怕痛的我，把防禦力點滿就對了,../DATA/CHARACTER/ROLEACTION/272.x,True,3,3,85,107
273,机械神梅普露,怕痛的我，把防禦力點滿就對了,../DATA/CHARACTER/ROLEACTION/273.x,True,2,2,40,78
274,蝴蝶忍,鬼滅之刃,../DATA/CHARACTER/ROLEACTION/274.x,True,4,4,59,129
275,蓬莱山辉夜,東方 Project,../DATA/CHARACTER/ROLEACTION/275.x,True,3,3,58,84
276,梅普露,怕痛的我，把防禦力點滿就對了,../DATA/CHARACTER/ROLEACTION/276.x,False,0,0,0,0
278,C.C.,Code Geass 反叛的魯路修,../DATA/CHARACTER/ROLEACTION/278.x,True,5,5,76,151
279,涂山红红,狐妖小紅娘,../DATA/CHARACTER/ROLEACTION/279.x,True,3,3,36,50
280,王也,一人之下,../DATA/CHARACTER/ROLEACTION/280.x,True,4,4,39,59
281,藤原妹红,東方 Project,../DATA/CHARACTER/ROLEACTION/281.x,True,4,4,75,142
282,和真&惠惠,為美好的世界獻上祝福！,../DATA/CHARACTER/ROLEACTION/282.x,True,20,20,293,326
283,帕秋莉·诺蕾姬,東方 Project,../DATA/CHARACTER/ROLEACTION/283.x,True,4,4,131,285
284,托尔,小林家的龍女僕,../DATA/CHARACTER/ROLEACTION/284.x,True,10,10,162,128
285,吉良吉影,JoJo 的奇妙冒險 第四部：不滅鑽石,../DATA/CHARACTER/ROLEACTION/285.x,True,2,2,24,43
286,食蜂操祈,魔法禁書目錄／科學超電磁砲,../DATA/CHARACTER/ROLEACTION/286.x,True,7,7,120,203
287,赛贝丝,300英雄原創,../DATA/CHARACTER/ROLEACTION/287.x,True,4,4,59,190
288,闻人翊悬,霧山五行,../DATA/CHARACTER/ROLEACTION/288.x,True,3,3,62,186
289,莉姆,迷宮黑心企業／異世界迷宮黑心企業,../DATA/CHARACTER/ROLEACTION/289.x,True,8,5,131,326
290,申屠子夜,霧山五行,../DATA/CHARACTER/ROLEACTION/290.x,True,1,1,19,46
291,结城友奈,結城友奈是勇者,../DATA/CHARACTER/ROLEACTION/261.x,True,0,0,0,291
292,木之本樱,庫洛魔法使／魔卡少女櫻,../DATA/CHARACTER/ROLEACTION/292.x,True,4,4,145,69
293,红美铃,東方 Project,../DATA/CHARACTER/ROLEACTION/293.x,True,5,2,76,136
294,逢坂大河,TIGER×DRAGON！／龍與虎,../DATA/CHARACTER/ROLEACTION/294.x,True,5,5,155,175
295,古明地觉&古明地恋,東方 Project,../DATA/CHARACTER/ROLEACTION/295.x,True,16,16,102,220
296,夏提雅,OVERLORD,../DATA/CHARACTER/ROLEACTION/296.x,True,5,5,86,181
300,凯菈,300英雄原創,../DATA/CHARACTER/ROLEACTION/300.x,True,9,7,228,189
301,北方酱,艦隊 Collection／艦隊收藏,../DATA/CHARACTER/ROLEACTION/301.x,True,6,5,106,123
302,风鸣翼,戰姬絕唱 SYMPHOGEAR,../DATA/CHARACTER/ROLEACTION/302.x,True,7,7,183,211
303,菈菈,出包王女 To LOVE-Ru,../DATA/CHARACTER/ROLEACTION/303.x,True,10,10,155,223
304,茵蒂克丝,魔法禁書目錄／科學超電磁砲,../DATA/CHARACTER/ROLEACTION/304.x,True,5,5,72,106
305,温蒂,FAIRY TAIL 魔導少年／妖精的尾巴,../DATA/CHARACTER/ROLEACTION/305.x,True,9,9,135,219
306,电次,鏈鋸人,../DATA/CHARACTER/ROLEACTION/306.x,True,8,8,131,221
307,空条徐伦,JoJo 的奇妙冒險 第六部：石之海,../DATA/CHARACTER/ROLEACTION/307.x,True,4,4,51,84
308,木更,Engage Kiss 契約之吻,../DATA/CHARACTER/ROLEACTION/308.x,True,15,13,165,312
310,蕾姆,Re:從零開始的異世界生活,../DATA/CHARACTER/ROLEACTION/310.x,True,10,10,217,189
