# owner 2026-08-21 ①②③④⑦「B 全轉」**之前**的原始數值 —— ⛔ 不是說明文件，是**退路**。
# 級距是一支技能一格 ⇒ 傷害的 perRank 與耗魔的逐階陣列在轉換時交出去了。
# 這一份留著那一半，理由與 docs/legacy/_w3x-fidelity-superseded.md 逐字相同：
# **測試可以跟著設計走，知識不可以無聲消失。**
# before = git HEAD（49caceb8）· after = 這一批落地之後。
id	name	cd_before	cd_after	cooldownTier	mp_before	mp_after	damage_before	damage_after	range_before	range_after	rangeTier
godie-e008.e	21-03 赤焰爆發	[45.0, 45.0, 45.0, 45.0]	[45.0, 45.0, 45.0, 45.0]	大	[165.0, 215.0, 265.0, 315.0]	[165.0, 165.0, 165.0, 165.0]	[{"perRank": [400.0, 550.0, 700.0, 850.0]}]	[{"damageTier": "極小", "flat": 600.0}]	12	12	極大
godie-e008.ex	21-002 天破壤碎	[60.0]	[60.0]	極大	[800.0]	[0.0]	[]	[]	0	0	
godie-e008.q	21-02 拔焰刀	[25.0, 25.0, 25.0]	[15.0, 15.0, 15.0]	小	[75.0, 125.0, 175.0]	[75.0, 75.0, 75.0]	[{"perRank": [300.0, 400.0, 500.0]}]	[{"damageTier": "極小", "flat": 600.0}]	4.5	4.5	小
godie-e008.r	21-04 討滅封絕	[75.0, 75.0, 75.0]	[60.0, 60.0, 60.0]	極大	[200.0, 350.0, 500.0]	[0.0, 0.0, 0.0]	[]	[]	0	0	
godie-e008.w	21-01 火羽	[30.0, 30.0, 30.0]	[30.0, 30.0, 30.0]	中	[30.0, 60.0, 90.0]	[0.0, 0.0, 0.0]	[]	[]	0	0	
godie-e00l.e	20-03 約束與勝利之劍	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	極大	[150.0, 250.0, 350.0, 450.0]	[150.0, 150.0, 150.0, 150.0]	[{"perRank": [250.0, 400.0, 550.0, 700.0]}]	[{"damageTier": "極小", "flat": 600.0}]	12	12	極大
godie-e00l.ex	20-002 解放.約束勝利劍MAX	[60.0]	[60.0]	極大	[120.0]	[0.0]	[]	[]	0	0	
godie-e00l.r	20-04 Avalon-永恆的理想鄉	[12.0, 60.0, 60.0]	[60.0, 60.0, 60.0]	中	[150.0, 250.0, 350.0]	[150.0, 150.0, 150.0]	[{"perRank": [250.0, 500.0, 750.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-e00l.w	20-01 風王結界	[12.0, 12.0, 12.0]	[30.0, 30.0, 30.0]	極小	[0.0, 0.0, 0.0]	[0.0, 0.0, 0.0]	[]	[]	0	0	
godie-e00n.e	22-03 五吋釘	[25.0, 25.0, 25.0, 25.0]	[15.0, 15.0, 15.0, 15.0]	小	[100.0, 140.0, 180.0, 220.0]	[100.0, 100.0, 100.0, 100.0]	[{"perRank": [350.0, 500.0, 650.0, 800.0]}]	[{"damageTier": "極小", "flat": 600.0}]	8	8	大
godie-e00n.ex	22-002 月光下的決鬥者	[60.0]	[60.0]	極大	[120.0]	[0.0]	[]	[]	0	0	
godie-e00n.passive	22-00 嗚鎖打!	[40.0]	[30.0]	極小	[150.0]	[150.0]	[{"perRank": [150.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0	0	
godie-e00n.q	22-01 鬼隱之擊	[30.0, 30.0, 30.0, 75.0, 75.0]	[60.0, 60.0, 60.0, 60.0, 60.0]	極大	[60.0, 110.0, 160.0, 255.0, 255.0]	[0.0, 0.0, 0.0, 0.0, 0.0]	[]	[]	0	0	
godie-e00n.r	22-04 雛見澤症候群L5	[60.0, 60.0, 60.0]	[60.0, 60.0, 60.0]	極大	[70.0, 140.0, 210.0]	[0.0, 0.0, 0.0]	[]	[]	0	0	
godie-e00n.w	22-02 染血的柴刀	[12.0, 12.0, 12.0, 12.0]	[6.0, 6.0, 6.0, 6.0]	極小	[60.0, 60.0, 60.0, 60.0]	[0.0, 0.0, 0.0, 0.0]	[]	[]	0	0	
godie-e00r.ex	59-001 完全暴走	[150.0]	[60.0]	極大	[0.0]	[0.0]	[]	[]	0.0	0.0	
godie-e00r.passive	59-00 暴走	[150.0]	[60.0]	極大	[0.0]	[0.0]	[]	[]	0.0	0.0	
godie-e00r.q	59-01 吞噬	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	極大	[50.0, 80.0, 110.0, 140.0]	[0.0, 0.0, 0.0, 0.0]	[]	[]	11.0	12.0	極大
godie-e00r.r	59-04 野戰型陽電子砲	[90.0, 90.0, 90.0]	[60.0, 60.0, 60.0]	極大	[350.0, 500.0, 650.0]	[350.0, 350.0, 350.0]	[{"perRank": [750.0, 1200.0, 1650.0]}]	[{"damageTier": "小", "flat": 1500.0}]	8.25	8.0	大
godie-e00s.e	70-03 木束縛之術	[45.0, 45.0, 45.0, 45.0]	[45.0, 45.0, 45.0, 45.0]	小	[100.0, 150.0, 150.0, 250.0]	[0.0, 0.0, 0.0, 0.0]	[{"flat": 1.0}]	[{"flat": 1.0}]	0.0	0.0	
godie-e00s.passive	70-00 紮根	[15.0]	[30.0]	極小	[0.0]	[0.0]	[]	[]	0.0	0.0	
godie-e00s.q	70-01 伸卡球	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	中	[250.0, 300.0, 350.0, 400.0]	[250.0, 250.0, 250.0, 250.0]	[{"perRank": [150.0, 300.0, 450.0, 600.0]}]	[{"damageTier": "極小", "flat": 600.0}]	11.0	12.0	極大
godie-e00s.r	70-04 千年練成	[90.0, 90.0, 90.0]	[90.0, 90.0, 90.0]	大	[240.0, 420.0, 600.0]	[240.0, 240.0, 240.0]	[{"perRank": [250.0, 350.0, 450.0]}, {"perRank": [250.0, 350.0, 450.0]}]	[{"damageTier": "極小", "flat": 600.0}, {"perRank": [250.0, 350.0, 450.0]}]	0.0	0.0	
godie-e00w.e	77-03 GLADIARIA ALAT	[120.0, 120.0, 120.0, 120.0]	[120.0, 120.0, 120.0, 120.0]	極大	[90.0, 180.0, 270.0, 360.0]	[0.0, 0.0, 0.0, 0.0]	[]	[]	0.0	0.0	
godie-e00w.q	77-01 百烈櫻華斬	[40.0, 40.0, 40.0, 40.0]	[30.0, 30.0, 30.0, 30.0]	極小	[75.0, 110.0, 145.0, 180.0]	[75.0, 75.0, 75.0, 75.0]	[{"perRank": [200.0, 300.0, 400.0, 500.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-e00w.r	77-04 真-雷光劍	[70.0, 70.0, 70.0]	[60.0, 60.0, 60.0]	中	[150.0, 225.0, 300.0]	[150.0, 150.0, 150.0]	[{"perRank": [600.0, 800.0, 1000.0]}]	[{"damageTier": "極小", "flat": 600.0}]	11.0	12.0	極大
godie-e00x.e	77-03 GLADIARIA ALAT	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	極大	[90.0, 180.0, 270.0, 360.0]	[90.0, 90.0, 90.0, 90.0]	[{"perRank": [80, 120, 160, 200]}]	[{"damageTier": "極小", "flat": 600.0}]	12	12	極大
godie-e00x.ex	77-002 御雷劍	[75.0]	[60.0]	極大	[255.0]	[0.0]	[]	[]	0	0	
godie-e00x.passive	77-00 浮雲-旋一閃	[15.0]	[30.0]	極小	[150.0]	[150.0]	[{"perRank": [250.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0	0	
godie-e00x.q	77-01 百烈櫻華斬	[40.0, 40.0, 40.0, 40.0]	[30.0, 30.0, 30.0, 30.0]	極小	[75.0, 110.0, 145.0, 180.0]	[75.0, 75.0, 75.0, 75.0]	[{"perRank": [200.0, 300.0, 400.0, 500.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-e00x.r	77-04 真-雷光劍	[70.0, 70.0, 70.0]	[60.0, 60.0, 60.0]	極大	[150.0, 225.0, 300.0]	[150.0, 150.0, 150.0]	[{"perRank": [600.0, 800.0, 1000.0]}]	[{"damageTier": "極小", "flat": 600.0}]	12	12	極大
godie-e00x.w	77-02 雷鳴劍	[12.0, 12.0, 12.0, 12.0]	[6.0, 6.0, 6.0, 6.0]	極小	[60.0, 60.0, 60.0, 60.0]	[0.0, 0.0, 0.0, 0.0]	[]	[]	0	0	
godie-e010.e	70-03 木束縛之術	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	極大	[100.0, 150.0, 150.0, 250.0]	[0.0, 0.0, 0.0, 0.0]	[]	[]	12	12	極大
godie-e010.passive	70-00 紮根	[15.0]	[30.0]	極小	[0.0]	[0.0]	[]	[]	0	0	
godie-e010.q	70-01 伸卡球	[35.0, 35.0, 35.0, 35.0, 35.0]	[30.0, 30.0, 30.0, 30.0, 30.0]	中	[150.0, 210.0, 270.0, 270.0, 270.0]	[150.0, 150.0, 150.0, 150.0, 150.0]	[{"perRank": [150.0, 300.0, 450.0, 600.0, 750.0]}]	[{"damageTier": "極小", "flat": 600.0}]	12	12	極大
godie-e010.r	70-04 千年練成	[70.0, 70.0, 70.0]	[60.0, 60.0, 60.0]	中	[240.0, 420.0, 600.0]	[240.0, 240.0, 240.0]	[{"perRank": [180.0, 180.0, 180.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-e010.w	70-02 大怒石	[12.0, 12.0, 12.0, 12.0]	[6.0, 6.0, 6.0, 6.0]	極小	[60.0, 60.0, 60.0, 60.0]	[0.0, 0.0, 0.0, 0.0]	[]	[]	0	0	
godie-edem.e	45-03 千鳥	[45.0, 45.0, 45.0, 45.0]	[45.0, 45.0, 45.0, 45.0]	小	[120.0, 185.0, 250.0, 315.0]	[120.0, 120.0, 120.0, 120.0]	[{"perRank": [400.0, 500.0, 600.0, 700.0]}]	[{"damageTier": "極小", "flat": 600.0}]	12.83	12.0	極大
godie-edem.q	45-01 火遁-豪火龍之術	[45.0, 45.0, 45.0, 45.0]	[45.0, 45.0, 45.0, 45.0]	小	[150.0, 190.0, 230.0, 240.0]	[150.0, 150.0, 150.0, 150.0]	[{"perRank": [250.0, 350.0, 450.0, 550.0]}]	[{"damageTier": "極小", "flat": 600.0}]	14.67	12.0	極大
godie-edem.w	45-02 千鳥流	[45.0, 45.0, 45.0, 45.0]	[45.0, 45.0, 45.0, 45.0]	小	[70.0, 120.0, 170.0, 220.0]	[73.0, 73.0, 73.0, 73.0]	[{"perRank": [75.0, 150.0, 225.0, 300.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-efur.e	13-03 龍頭戲畫。布陣	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	中	[120.0, 180.0, 240.0, 300.0]	[120.0, 120.0, 120.0, 120.0]	[{"perRank": [150.0, 250.0, 350.0, 450.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-efur.q	13-01 暗步。極限之圓	[4.0, 3.0, 2.0, 1.0]	[6.0, 6.0, 6.0, 6.0]	極小	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	[]	[]	4.0	4.5	小
godie-efur.r	13-04 龍星群	[120.0, 120.0, 120.0]	[120.0, 120.0, 120.0]	極大	[150.0, 200.0, 250.0]	[150.0, 150.0, 150.0]	[{"perRank": [150.0, 200.0, 250.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-efur.w	13-02 龍頭戲畫。牙突	[45.0, 45.0, 45.0, 45.0]	[45.0, 45.0, 45.0, 45.0]	大	[60.0, 90.0, 120.0, 150.0]	[73.0, 73.0, 73.0, 73.0]	[{"perRank": [40.0, 60.0, 80.0, 100.0]}]	[{"damageTier": "極小", "flat": 600.0}]	2.0	2.0	
godie-emfr.e	15-03 獄炎煉我	[55.0, 55.0, 55.0, 55.0]	[45.0, 45.0, 45.0, 45.0]	小	[180.0, 260.0, 340.0, 420.0]	[180.0, 180.0, 180.0, 180.0]	[{"perRank": [60.0, 90.0, 120.0, 150.0]}, {"perRank": [100.0, 150.0, 200.0, 250.0]}]	[{"perRank": [60.0, 90.0, 120.0, 150.0]}, {"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-emfr.q	15-01 雷神槍「巨神殺手」	[30.0, 30.0, 30.0, 30.0]	[30.0, 30.0, 30.0, 30.0]	中	[175.0, 275.0, 375.0, 475.0]	[175.0, 175.0, 175.0, 175.0]	[{"perRank": [250.0, 350.0, 450.0, 550.0]}]	[{"damageTier": "極小", "flat": 600.0}]	6.42	6.0	中
godie-emfr.r	15-04 雷天大壯。貳式	[60.0, 60.0, 60.0]	[60.0, 60.0, 60.0]	極大	[200.0, 400.0, 600.0]	[200.0, 200.0, 200.0]	[{"perRank": [150.0, 225.0, 300.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-emfr.w	15-02 疾風迅雷	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	極大	[120.0, 180.0, 240.0, 300.0]	[120.0, 120.0, 120.0, 120.0]	[{"perRank": [30.0, 45.0, 60.0, 75.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-emns.e	44-03 火車輾過	[60.0, 50.0, 40.0, 30.0]	[30.0, 30.0, 30.0, 30.0]	極小	[150.0, 250.0, 350.0, 450.0]	[150.0, 150.0, 150.0, 150.0]	[{"perRank": [650.0, 750.0, 850.0, 950.0]}]	[{"damageTier": "極小", "flat": 600.0}]	12.0	12.0	極大
godie-emns.ex	44-002 交換筆記本	[120.0]	[60.0]	極大	[450.0]	[0.0]	[]	[]	5.29	6.0	中
godie-emns.q	44-01 死神之眼	[30.0, 30.0, 30.0, 30.0]	[30.0, 30.0, 30.0, 30.0]	中	[150.0, 200.0, 250.0, 300.0]	[0.0, 0.0, 0.0, 0.0]	[]	[]	2.0	12.0	極大
godie-emns.r	44-04 心臟麻痺	[35.0, 35.0, 35.0]	[30.0, 30.0, 30.0]	中	[150.0, 250.0, 350.0]	[150.0, 150.0, 150.0]	[{}]	[{}]	12.0	12.0	極大
godie-etyr.e	14-02 式神炸裂	[35.0, 35.0, 35.0, 35.0]	[30.0, 30.0, 30.0, 30.0]	極小	[150.0, 180.0, 210.0, 240.0]	[150.0, 150.0, 150.0, 150.0]	[{"perRank": [250, 400, 550, 700]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-etyr.passive	14-00 召喚式神	[5.0]	[30.0]	極小	[150.0]	[150.0]	[{"perRank": [95.0]}]	[{"damageTier": "極小", "flat": 600.0}]	8	8	大
godie-etyr.q	14-01 東風繪扇、南風末廣	[25.0, 25.0, 25.0]	[15.0, 15.0, 15.0]	小	[120.0, 170.0, 220.0]	[0.0, 0.0, 0.0]	[]	[]	0.0	0.0	
godie-etyr.r	14-04 聖夜降臨	[0.5, 0.5, 0.5]	[6.0, 6.0, 6.0]	極小	[150.0, 225.0, 300.0]	[150.0, 150.0, 150.0]	[{"perRank": [200, 400, 600]}]	[{"damageTier": "極小", "flat": 600.0}]	8	8	大
godie-ewar.ex	12-002 仙氣發勁	[30.0]	[30.0]	中	[600.0]	[600.0]	[{"flat": 1800.0}]	[{"damageTier": "小", "flat": 1500.0}]	2.0	2.0	
godie-ewar.q	12-01 鬥仙術	[12.0, 12.0, 12.0, 12.0]	[6.0, 6.0, 6.0, 6.0]	極小	[30.0, 57.0, 83.0, 90.0]	[73.0, 73.0, 73.0, 73.0]	[{"perRank": [150.0, 283.0, 350.0, 350.0]}]	[{"damageTier": "極小", "flat": 600.0}]	4.0	4.5	小
godie-ewar.r	12-04 龍氣爆發	[60.0, 60.0, 60.0]	[60.0, 60.0, 60.0]	中	[250.0, 350.0, 450.0]	[250.0, 250.0, 250.0]	[{"perRank": [550.0, 750.0, 950.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-ewar.w	12-02 仙氣．採藥	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	極大	[50.0, 100.0, 150.0, 200.0]	[0.0, 0.0, 0.0, 0.0]	[]	[]	0.0	0.0	
godie-h00l.ex	60-002 勇者意志	[120.0]	[60.0]	極大	[0.0]	[0.0]	[]	[]	0.0	0.0	
godie-h00l.q	60-01 旋風斬	[30.0, 30.0, 30.0, 30.0]	[30.0, 30.0, 30.0, 30.0]	極小	[100.0, 150.0, 200.0, 250.0]	[100.0, 100.0, 100.0, 100.0]	[{"perRank": [150.0, 250.0, 350.0, 450.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-h00l.r	60-04 完美盾反	[60.0, 60.0, 60.0]	[60.0, 60.0, 60.0]	中	[120.0, 150.0, 180.0]	[0.0, 0.0, 0.0]	[{"flat": 0.0}]	[{"flat": 0.0}]	0.0	0.0	
godie-h00l.w	60-02 鎖鏈槍	[45.0, 45.0, 45.0, 45.0]	[45.0, 45.0, 45.0, 45.0]	大	[50.0, 75.0, 100.0, 125.0]	[73.0, 73.0, 73.0, 73.0]	[{"perRank": [150.0, 250.0, 350.0, 450.0]}]	[{"damageTier": "極小", "flat": 600.0}]	11.0	12.0	極大
godie-h01n.e	79-03 月牙天衝	[55.0, 55.0, 55.0, 55.0]	[45.0, 45.0, 45.0, 45.0]	大	[250.0, 350.0, 450.0, 550.0]	[250.0, 250.0, 250.0, 250.0]	[{"perRank": [450.0, 600.0, 750.0, 900.0]}, {}, {}]	[{"damageTier": "極小", "flat": 600.0}, {}, {}]	11.0	12.0	極大
godie-h01n.q	79-01 瞬步	[30.0, 30.0, 30.0, 30.0]	[30.0, 30.0, 30.0, 30.0]	極小	[60.0, 80.0, 100.0, 120.0]	[0.0, 0.0, 0.0, 0.0]	[{"flat": 1.0}]	[{"flat": 1.0}]	9.17	8.0	大
godie-h01n.r	79-04 卍解	[90.0, 90.0, 90.0]	[90.0, 90.0, 90.0]	大	[100.0, 200.0, 300.0]	[0.0, 0.0, 0.0]	[]	[]	0.0	0.0	
godie-h01n.w	79-02 月牙斬擊	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	極大	[80.0, 160.0, 240.0, 320.0]	[80.0, 80.0, 80.0, 80.0]	[{"perRank": [200.0, 350.0, 500.0, 650.0]}]	[{"damageTier": "極小", "flat": 600.0}]	2.0	2.0	
godie-h01o.e	79-03 月牙天衝	[55.0, 55.0, 55.0, 55.0]	[45.0, 45.0, 45.0, 45.0]	大	[150.0, 200.0, 250.0, 300.0]	[150.0, 150.0, 150.0, 150.0]	[{"perRank": [450, 600, 750, 900]}]	[{"damageTier": "極小", "flat": 600.0}]	12	12	極大
godie-h01o.ex	79-002 虛化	[60.0]	[60.0]	極大	[500.0]	[0.0]	[]	[]	0	0	
godie-h01o.q	79-01 瞬步	[35.0, 35.0, 35.0, 35.0]	[30.0, 30.0, 30.0, 30.0]	中	[65.0, 95.0, 125.0, 155.0]	[73.0, 73.0, 73.0, 73.0]	[{"perRank": [200.0, 300.0, 400.0, 500.0]}, {"perRank": [200.0, 300.0, 400.0, 500.0]}]	[{"damageTier": "極小", "flat": 600.0}, {"perRank": [200.0, 300.0, 400.0, 500.0]}]	8	8	大
godie-h01o.r	79-04 卍解	[60.0, 60.0, 60.0]	[60.0, 60.0, 60.0]	極大	[100.0, 200.0, 300.0]	[0.0, 0.0, 0.0]	[]	[]	0	0	
godie-h01o.w	79-02 斬擊	[22.0, 22.0, 22.0, 22.0]	[15.0, 15.0, 15.0, 15.0]	小	[60.0, 80.0, 100.0, 120.0]	[73.0, 73.0, 73.0, 73.0]	[{"perRank": [100.0, 150.0, 200.0, 250.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0	0	
godie-h01u.e	80-03 鬼神烈戟	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	中	[150.0, 200.0, 250.0, 300.0]	[150.0, 150.0, 150.0, 150.0]	[{"perRank": [150.0, 200.0, 250.0, 300.0]}, {}]	[{"damageTier": "極小", "flat": 600.0}, {}]	10.0	8.0	大
godie-h01u.r	80-04 赤兔咆哮	[90.0, 90.0, 90.0]	[60.0, 60.0, 60.0]	極大	[250.0, 400.0, 550.0]	[0.0, 0.0, 0.0]	[]	[]	0.0	0.0	
godie-h01u.w	80-02 弒鬼神	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	中	[90.0, 180.0, 270.0, 360.0]	[90.0, 90.0, 90.0, 90.0]	[{"perRank": [120.0, 220.0, 320.0, 420.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-h020.e	04-03 龍破斬	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	中	[230.0, 395.0, 560.0, 725.0]	[230.0, 230.0, 230.0, 230.0]	[{"perRank": [700.0, 1200.0, 1700.0, 2200.0]}]	[{"damageTier": "小", "flat": 1500.0}]	12	12	極大
godie-h020.ex	04-002 惡夢魔王的碎片	[70.0]	[60.0]	極大	[360.0]	[0.0]	[]	[]	0	0	
godie-h020.q	04-01 火球術	[18.0, 18.0, 18.0, 18.0]	[15.0, 15.0, 15.0, 15.0]	小	[35.0, 45.0, 55.0, 65.0]	[73.0, 73.0, 73.0, 73.0]	[{"perRank": [170, 220, 270, 320]}]	[{"damageTier": "極小", "flat": 600.0}]	12	12	極大
godie-h020.r	04-04 神滅斬	[60.0, 60.0, 60.0]	[60.0, 60.0, 60.0]	極大	[150.0, 250.0, 350.0]	[150.0, 150.0, 150.0]	[{"perRank": [600.0, 1100.0, 1600.0]}]	[{"damageTier": "小", "flat": 1500.0}]	4.5	4.5	小
godie-h020.w	04-02 炸彈陣	[25.0, 25.0, 25.0, 25.0]	[30.0, 30.0, 30.0, 30.0]	極小	[55.0, 85.0, 115.0, 145.0]	[73.0, 73.0, 73.0, 73.0]	[{"perRank": [55.0, 85.0, 115.0, 145.0]}]	[{"damageTier": "極小", "flat": 600.0}]	12	12	極大
godie-h02k.ex	89-002 俄羅斯輪盤	[10.0]	[6.0]	極小	[666.0]	[0.0]	[{"flat": 0.0}, {"flat": 0.0}, {"flat": 0.0}, {"flat": 0.0}, {"flat": 0.0}, {"flat": 0.0}]	[{"flat": 0.0}, {"flat": 0.0}, {"flat": 0.0}, {"flat": 0.0}, {"flat": 0.0}, {"flat": 0.0}]	5.29	6.0	中
godie-h02r.e	90-03 藤鞭	[45.0, 45.0, 45.0, 45.0]	[45.0, 45.0, 45.0, 45.0]	大	[125.0, 200.0, 275.0, 350.0]	[125.0, 125.0, 125.0, 125.0]	[{"perRank": [350, 500, 650, 800]}]	[{"damageTier": "極小", "flat": 600.0}]	8	8	大
godie-h02r.ex	90-002 超進化! 妙蛙花	[75.0]	[60.0]	極大	[350.0]	[0.0]	[]	[]	0	0	
godie-h02r.passive	90-00 寄生種子	[45.0]	[45.0]	大	[100.0]	[100.0]	[{"perRank": [50.0]}]	[{"damageTier": "極小", "flat": 600.0}]	8	8	大
godie-h02r.q	90-01 飛葉快刀	[25.0, 25.0, 25.0]	[30.0, 30.0, 30.0]	極小	[70.0, 120.0, 170.0]	[73.0, 73.0, 73.0]	[{"perRank": [100.0, 200.0, 300.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0.0	0.0	
godie-h02r.r	90-04 陽光烈焰	[60.0, 60.0, 60.0]	[60.0, 60.0, 60.0]	極大	[200.0, 300.0, 400.0]	[200.0, 200.0, 200.0]	[{"perRank": [600.0, 900.0, 1200.0]}]	[{"damageTier": "小", "flat": 1500.0}]	12	12	極大
godie-h02r.w	90-02 麻痺粉	[25.0, 25.0, 25.0, 25.0]	[30.0, 30.0, 30.0, 30.0]	極小	[20.0, 50.0, 80.0, 110.0]	[0.0, 0.0, 0.0, 0.0]	[]	[]	0.0	0.0	
