id,name,修改需求,tier,weight,出現回合,同階張數,tags,description,modifiers_json,hooks_json
siege-breaker,攻城槌,,prismatic,22,"7,8,9,10,11,12,13",17,"ad,offense",攻擊力 +45%，攻擊距離 +2，但攻擊速度 −15%。,"[{""stat"": ""ad"", ""op"": ""pctAdd"", ""value"": 0.45}, {""stat"": ""range"", ""op"": ""flat"", ""value"": 2}, {""stat"": ""as"", ""op"": ""pctAdd"", ""value"": -0.15}]",
bloodlet-ward,放血結界,,prismatic,26,"7,8,9,10,11,12,13",17,"ad,offense",普攻命中時追加 40 (+15% 攻擊力) 真實傷害（1 秒冷卻）。,,"[{""on"": ""onBasicAttack"", ""internalCooldown"": 1, ""effects"": [{""kind"": ""damage"", ""damageType"": ""true"", ""amount"": {""flat"": 40, ""ratios"": [{""stat"": ""ad"", ""coeff"": 0.15}]}}]}]"
titan-heart,泰坦之心,,prismatic,24,"7,8,9,10,11,12,13",17,"defense,sustain",最大生命 +40%，生命回復 +15/秒，但移動速度 −8%。,"[{""stat"": ""maxHealth"", ""op"": ""pctAdd"", ""value"": 0.4}, {""stat"": ""healthRegen"", ""op"": ""flat"", ""value"": 15}, {""stat"": ""ms"", ""op"": ""pctAdd"", ""value"": -0.08}]",
limit-breaker,破限超頻,,prismatic,22,"7,8,9,10,11,12,13",17,"attack-speed,offense,cap-unlock",攻擊速度 ×2，並將攻擊速度上限由 4.0 解鎖至 10.0。,"[{""stat"": ""as"", ""op"": ""pctMult"", ""value"": 1.0}, {""stat"": ""as"", ""op"": ""capRaise"", ""value"": 10.0}]",
last-stand,背水一戰,,prismatic,26,"7,8,9,10,11,12,13",17,defense,擊殺敵人時，獲得 10 秒的 +30 護甲與 +30 魔法抗性。,,"[{""on"": ""onKill"", ""target"": ""self"", ""effects"": [{""kind"": ""applyBuff"", ""duration"": 10, ""modifiers"": [{""stat"": ""armor"", ""op"": ""flat"", ""value"": 30}, {""stat"": ""mr"", ""op"": ""flat"", ""value"": 30}]}]}]"
executioner-edge,處決者之刃,,prismatic,22,"7,8,9,10,11,12,13",17,"ad,offense,crit",暴擊率 +30%，暴擊傷害 +50%。,"[{""stat"": ""critChance"", ""op"": ""flat"", ""value"": 0.3}, {""stat"": ""critDamage"", ""op"": ""flat"", ""value"": 0.5}]",
void-hunger,虛空飢渴,,prismatic,26,"7,8,9,10,11,12,13",17,"ap,offense",法術強度 +35%，冷卻縮減 +15%，最大魔力 +25%。,"[{""stat"": ""ap"", ""op"": ""pctAdd"", ""value"": 0.35}, {""stat"": ""cdr"", ""op"": ""flat"", ""value"": 0.15}, {""stat"": ""maxMana"", ""op"": ""pctAdd"", ""value"": 0.25}]",
blood-tyrant,血之暴君,,prismatic,22,"7,8,9,10,11,12,13",17,"ad,sustain,offense",攻擊力 +30%，吸血 +25%，暴擊率 +15%。,"[{""stat"": ""ad"", ""op"": ""pctAdd"", ""value"": 0.3}, {""stat"": ""lifesteal"", ""op"": ""flat"", ""value"": 0.25}, {""stat"": ""critChance"", ""op"": ""flat"", ""value"": 0.15}]",
overdrive-engine,超載引擎,,prismatic,25,"7,8,9,10,11,12,13",17,"haste,offense",冷卻縮減 +20%，攻擊速度 +50%，移動速度 +15%。,"[{""stat"": ""cdr"", ""op"": ""flat"", ""value"": 0.2}, {""stat"": ""as"", ""op"": ""pctAdd"", ""value"": 0.5}, {""stat"": ""ms"", ""op"": ""pctAdd"", ""value"": 0.15}]",
storm-arrow,風暴之矢,,prismatic,24,"7,8,9,10,11,12,13",17,"on-hit,aoe,offense",普攻時朝面向射出一道穿透風刃，對沿途每個敵人造成 40(+30% 法術強度) 法術傷害（0.5 秒冷卻）。,,"[{""on"": ""onBasicAttack"", ""target"": ""self"", ""internalCooldown"": 0.5, ""effects"": [{""kind"": ""spawnProjectile"", ""projectileId"": ""imported.wave"", ""onHit"": [{""kind"": ""damage"", ""damageType"": ""magic"", ""amount"": {""flat"": 40, ""ratios"": [{""stat"": ""ap"", ""coeff"": 0.3}]}}]}]}]"
