階級,id,寶具名,權重,出現回合,抽中機率,每隊/每角上限,效能（卡面逐行）,翻盤力,引擎機制,tags,設計意圖／審查意見,修改需求
EX∅ 根源,millennium-puzzle,千年積木,1,10–10,8%,champion 限 1,"[我不能輸，因為劇情需要] 擋下致命傷害
[我不能輸，因為劇情需要] 回復 20%生命，並在 15 秒內 AP ×10
[我不能輸，因為劇情需要] 冷卻時間 15 秒",0｜數值型,applyBuff pctMult,"legendary,ex-origin,cheat-death,burst",,
EX∅ 根源,slime-suit,史萊姆裝,1,10–10,8%,champion 限 1,"[黏性體質] 連續受到 2 次同一種傷害後，免疫該種傷害
[黏性體質] 分開計算的是「物理」與「魔法」兩種
[黏性體質] 受到另一種傷害時連擊重算，免疫立刻解除
[黏性體質] 真實傷害不列入連擊，也擋不下來",0｜數值型,,"legendary,ex-origin,survivability,reversal",,
EX∅ 根源,master-ball,大師球,1,10–10,8%,champion 限 1,"[收服] 你打中生命值低於 25%的特殊殭屍或殭屍王時，牠改為替你作戰
[收服] 收服的同時立刻回復牠 50%生命
[收服] 直到牠陣亡、或這一回合結束為止；每回合一次",0｜數值型,applyBuff convertTeam kind restore stat status onDamageDealt <=,"legendary,ex-origin,convert,reversal",,
EX∅ 根源,grief-seed,悲嘆之種,1,10–10,8%,champion 限 1,"[魔女孵化場] 身上帶著減益時，每有一份狀態掛到你身上就累積 1 層
[魔女孵化場] 第 3 層時：以你為圓心，淨化周圍隊友（含你自己）身上全部可淨化的減益
[魔女孵化場] 同時你自己回復 100%魔力、所有技能冷卻立刻重置
[魔女孵化場] 引爆後層數歸零，重新累積",0｜數值型,applyStatus dispel modifyCooldown restore status onStatusApplied,"legendary,ex-origin,cleanse,reversal",,
EX∅ 根源,scouter,戰鬥力探測器,1,10–10,8%,champion 限 1,"[戰鬥力測定] 受到攻擊時，探測器鎖定那名攻擊者
[戰鬥力測定] 周圍最多 6 個單位改為攻擊被鎖定的那個人，持續 3 秒（隊友與殭屍共用這 6 個名額，由近到遠）
[戰鬥力測定] 正在手動下令的隊友不會被拉走；殭屍只在被鎖定的是敵方英雄時才會撲上去
[戰鬥力測定] 冷卻時間 8 秒",0｜數值型,taunt onDamageTaken,"legendary,ex-origin,taunt,reversal",,
EX∅ 根源,nezuko-box,禰豆子的木箱,1,10–10,8%,champion 限 1,"[竹箱庇護] 每 12 秒，把身邊生命低於 25% 的 1 名隊友收進箱子 6 秒
[竹箱庇護] 箱子裡的人跟著你走，敵人的自動索敵、殭屍仇恨、右鍵點名都選不到他
[竹箱庇護] 收進去的當下回復他 25%最大生命
[竹箱庇護] 範圍技能仍然打得到箱子裡的人 —— 選不到不等於無敵",0｜數值型,carry restore stat onInterval <,"legendary,ex-origin,protect,reversal",,
EX∅ 根源,bezoar-of-the-apothecary,藥師少女的牛黃,1,10–10,8%,champion 限 1,"[貓貓試毒] 身上被掛上減益的瞬間，立刻淨化掉身上全部可淨化的減益
[貓貓試毒] 同時回復 10%最大魔力
[貓貓試毒] 並且永久 AP+1（整場累積，這件道具最多累積到 +300）
[貓貓試毒] 觸發間隔 1 秒",0｜數值型,applyBuff dispel restore status onStatusApplied flat,"legendary,ex-origin,cleanse,scaling",,
EX∅ 根源,icha-icha-paradise,親熱天堂,1,10–10,8%,champion 限 1,"[爸爸專屬] 每次施放技能後，立刻回復 100%魔力
[爸爸專屬] 技能命中時，對其中一名敵人（英雄或殭屍）附加[魅惑]：被強拉向你，這 1 秒交不出操作
[爸爸專屬] 觸發間隔 1 秒",0｜數值型,applyStatus knockback restore onAbilityCast onAbilityHit,"legendary,ex-origin,mana,cc",,
EX∅ 根源,red-comet-mask,赤色面具,1,10–10,8%,champion 限 1,"[赤色彗星] 隊友陣亡時，攻擊速度 ×3、移動速度 ×3、生命回復速度 ×3，持續 10 秒
[赤色彗星] 攻擊速度與移動速度**都有全域上限**，超出上限的那一段不會生效 —— 本來就跑得快的英雄拿不到完整的 ×3",0｜數值型,applyBuff onAllyDeath pctMult,"legendary,ex-origin,buff",,
EX解放,godie-i060,死之王的意志,1,1+,15%,champion 限 1,"AP+174
[斬殺] 可直接斬殺生命低於 3%的敵方單位
[緩慢] 周圍敵方 總移動速度 減半
額外 [死之王套裝] 同時裝備死之王長槍、意志、神盾，則總 AP 額外 + 300%",6｜斬殺·團隊光環·真傷,damage stat onBasicAttack < flat pctAdd pctMult,wc3-import,,
EX解放,odm-gear,立體機動裝置,1,1+,15%,champion 限 1,"[飛行型態] 常駐飛行：無視單位與牆壁碰撞（仍受場地邊界與火圈約束）
[機動上限解放] 移動速度上限 18 → 24，並使移動速度 +50%
[超速] 使用位移或閃現之後 2 秒內，造成的傷害・治療・護盾 各 +3%",4｜解鎖上限·飛行,applyBuff onDashOrBlink capRaisePct flat pctAdd,"flight,legendary,mobility,movement-speed",,
EX解放,teardrop-of-rebirth,再誕之淚珠,1,1+,15%,champion 限 1,"[再誕] 每回合一次，死亡 3 秒後以 100%生命、100%魔力復活
[再誕] 復活後 6 秒內總傷害、治療與護盾 ×1.25、移速 ×1.20",3｜復活,applyBuff delayed revive stat status onDeath > flat pctMult,"legendary,revive,utility",,
EX解放,godie-i031,天生牙,1,1+,15%,champion 限 1,"[復活] 殺死任一個敵方英雄單位，將復活我方所有英雄
[回復] 殺死任一個敵方單位，回復我們全部英雄 1%生命
[淨化] 每 10 秒移除周圍隊友身上的減益
每秒生命回復+20",3｜復活,dispel restore revive onInterval onKill flat,wc3-import,,
EX解放,godie-i02d,消失的密室,1,1+,15%,champion 限 1,"防禦+100
魔抗+66.7%
[神速] 攻擊速度+100%，上限提升至10 (預設上限為4)
移動速度+4
[暈眩] 4%的機率普攻造成暈眩 0.1秒",3｜解鎖上限·硬控,applyStatus onBasicAttack capRaise flat pctAdd,wc3-import,,
EX解放,ultimate-mod-shiranui,終極魔改・不知火,1,1+,15%,champion 限 1,"[魔改解放] 攻擊力、攻擊速度、暴擊傷害 各自 ×1.5
[上限突破] 攻擊速度上限提升至 10（預設上限為 4）
[萬象凋零] 普攻命中敵方英雄時，附加全部負面效果各 1 秒：破甲（防禦 −50%）・破魔（魔抗 −50%）・致盲＋詛咒（普攻失手 50%）・燃燒（每 0.5 秒 50 點魔法傷害）・重創＋禁療（治療／吸血／自然回復歸零）・混亂・恐懼・麻痺（攻速 −40%）・癱瘓（不能施法也不能普攻）・纏繞・減速 40%・暈眩
[溢出] 任一屬性首次達到一般上限時，這三項再 ×1.15，最多 3 次",3｜解鎖上限·硬控,applyBuff applyStatus dot onBasicAttack onStatCapReached capRaise pctAdd pctMult,"legendary,ad,attack-speed,crit",,
EX解放,godie-i00l,落魂的嗜血劍,1,1+,15%,champion 限 1,"攻擊力+128
[神速] 攻擊速度+200%，攻速上限提升到10 (預設上限為4)
全能吸血+30%
每秒損失 3%現存生命",3｜解鎖上限·真傷,damage onInterval capRaise flat pctAdd,wc3-import,,
EX解放,godie-i014,天叢雲劍,1,1+,15%,champion 限 1,"攻擊速度+30%
總移動速度*1.2
[飛昇] 移動轉變為無視碰撞的飛行形態",2｜飛行,pctAdd pctMult,wc3-import,,
EX解放,staff-of-ainz-ooal-gown,安茲・烏爾・恭之杖,1,1+,15%,champion 限 1,"[七寶玉解放] 七種行動各點亮 1 顆寶玉，最多 7 顆，整場不熄：Q／W／E／R／EX／天生技／普攻（同一種做再多次也只算一顆）
[七寶玉解放] 每顆使你造成的傷害／治療／護盾 +5%（7 顆 = +35%）
[自主迎擊] 七顆全亮的狀態下施放技能，即進入 7 秒「自主迎擊」，整場只會發生一次
[自主迎擊] 期間每次施放基礎技能（Q／W／E）有 35%機率，法杖於 0.5 秒後免費再施放同一招一次（同等威力）",2｜額外施放,applyBuff delayed proxyCast status onAbilityCast onBasicAttack flat,"legendary,ability-power,on-cast",,
EX解放,endless-edge,無盡連刃,1,1+,15%,champion 限 1,"[神速] 攻擊速度上限提升至 10 (預設上限為4)
[疊層] 每次普攻命中攻擊速度增加10%，可無限疊加，1秒內沒有新的普攻命中則全部層數歸零",2｜解鎖上限,applyBuff onBasicAttack capRaise pctAdd,"legendary,attack-speed,melee,on-hit",,
EX解放,shining-golden-orbs,閃耀金玉,1,1+,15%,champion 限 1,"[EX解放・金玉回歸] 每當自身任一屬性首次達到一般上限時，獲得 1 層「金玉」，最多 2 層。每層使：攻擊速度與吸血的上限解鎖 +25% ／ 攻擊力・法強・護甲・魔抗・生命上限・魔力上限・雙回復・攻速 各 ×1.15 ／ 移動速度 ×1.10
[完全體] 取得第 2 層時觸發：上述屬性再 ×1.20 ／ 造成傷害、治療、護盾 ×1.20 ／ 技能冷卻流逝速度 ×1.20",2｜解鎖上限,applyBuff status onStatCapReached capRaisePct flat pctMult,"legendary,stat-cap,scaling",,
EX解放,godie-i06g,殺豬刀,1,1+,15%,champion 限 1,"攻擊力+37
防禦+13
攻擊速度+30%
[變形] 專殺畜牲，7%機率將敵人變成食材，無法動作
[格擋] 30%機率 抵擋致命一擊(超過現存生命的傷害)",1｜硬控,applyStatus onBasicAttack flat pctAdd,wc3-import,,
EX解放,godie-i06q,鍊金術之盾,1,1+,15%,champion 限 1,"[嘲弄] 每秒吸引周圍敵人優先攻擊自己，持續 0.5秒
[煉金術] 受敵人攻擊時，有 10%機率將直接將 HP 低於 5% 的敵人變成黃金 (敵方單位直接死亡，黃金數量為敵方等級)",1｜真傷,damage grantGold stat taunt onDamageTaken onInterval <,wc3-import,,
EX解放,spear-of-lightning,雷槍,1,1+,15%,champion 限 1,"[雷槍裝填] 戰鬥中每 1.5 秒獲得 1 層裝填，最多 5 層，本回合內不衰退
[爆炸] 帶著裝填時，普攻或技能命中敵方英雄會在他腳下炸開 150 + AP×0.6 的中範圍魔法傷害（普攻與技能各自 3 秒冷卻，層數不會被消耗）
[雷槍裝填] 每層裝填使你造成的所有傷害 +10%，五層 ×1.50
[感電] 爆炸同時讓範圍內的敵人癱瘓（走不動、打不出手、放不出技能）0.75 秒",1｜硬控,applyBuff applyStatus damageArea status onAbilityHit onBasicAttack onInterval flat,"legendary,mobility,burst",,
EX解放,godie-i01s,仙后座,1,1+,15%,champion 限 1,"[迴避] 25%物理傷害迴避，迴避成功時瞬間移動 (前進一小段距離)
[淨化] 每 1 秒移除自己身上的一個減益
最大魔力+100%
每秒回魔+25
冷卻縮減+50%",0｜數值型,dash dispel onEvade onInterval flat pctAdd,wc3-import,,
EX解放,godie-i06f,傲慢水龍王,1,1+,15%,champion 限 1,"總 AP 額外 + 300%
每秒回魔 + 7",0｜數值型,flat pctAdd,wc3-import,,
EX解放,usagizuki-twin-crescents,兎月【雙弦月】,1,1+,15%,champion 限 1,"[下剋上] 普攻時比較雙方攻擊力：自身低於目標的 90%／80%／70%／60%／50%，每達成一條算一階，最多 5 階
[下剋上] 每階暴擊率 +6%、暴擊傷害 ×1.10，持續 3 秒（每次普攻重新計算並延長）
[滿階] 五階 = 暴擊率 +30%、暴擊傷害 ×1.61",0｜數值型,applyBuff stat onBasicAttack < flat pctMult,"legendary,crit,on-hit",,
EX解放,soul-eater,噬魂者,1,1+,15%,champion 限 1,"[魂食] 親手擊殺一名敵方英雄獲得 1 個魂，最多 5 魂，效果整場保留
[魂食] 每個魂使攻擊力或 AP ×1.08 —— 取得那一刻誰高就吃誰，逐魂各自判定（5 魂約 ×1.47）
[魂食] 已經滿魂之後再擊殺敵方英雄，額外回復 25% 最大生命與 25% 最大魔力",0｜數值型,applyBuff restore stat status onKill >= pctMult,"legendary,ad,ap",,
EX解放,godie-i067,惡夢魔王碎片,1,1+,15%,champion 限 1,"魔力 + 2200
魔力回復速度+50
總 AP 額外 + 100%
[真實傷害] 所有裝備者技能傷害都轉為真實傷害",0｜數值型,flat pctAdd,wc3-import,,
EX解放,fingerless-gloves,指貫手套,1,1+,15%,champion 限 1,"[計算式解放] 攻擊力 +20%
[計算式解放] 攻擊力每跨過一道門檻（120／140／160／180／200／220／240／260／280／300），最終攻擊力再 ×1.03，最多 10 段乘算",0｜數值型,applyBuff stat onInterval >= pctAdd pctMult,"legendary,ad,stat-path",,
EX解放,godie-i01d,死之王的長槍,1,1+,15%,champion 限 1,"攻擊力額外增加 17%
[無視] 普通攻擊無視防禦給予傷害
[普通攻擊時] 普攻附加敵方現存 MP 10%傷害，並且回復敵方最大 MP 10%
額外 [死之王套裝] 同時裝備死之王長槍、意志、神盾，則總 AP 額外 + 300%",0｜數值型,damage restore onBasicAttack pctAdd,wc3-import,,
EX解放,meteor-ring,流星之戒,1,1+,15%,champion 限 1,"[三星許願] 每回合開始時重新獲得 3 顆流星
[三星許願] 基礎技能（Q／W／E）施放後消耗 1 顆：接下來 2 秒內你的傷害·治療·護盾 ×1.25、立即回復 50% 最大魔力、該格冷卻立刻縮短 40%
[三星許願] 施放終極技能（R）時三顆都還在，則三顆一起消耗：接下來 2 秒內你的傷害·治療·護盾 ×1.5、R 冷卻立刻縮短 30%",0｜數值型,applyBuff modifyCooldown restore status onAbilityCast onUltimateCast flat,"legendary,on-cast,mana",,
EX解放,torch-master,火把師父,1,1+,15%,champion 限 1,"[熟練度解放] 每次命中敵方英雄累積 1 層熟練度，最多 20 層，整個回合不會衰退
[熟練度解放] 每層使你造成的傷害／治療／護盾 +2%（20 層 = ×1.40）。普攻與技能共用同一份熟練度",0｜數值型,applyBuff onAbilityHit onBasicAttack flat,"legendary,on-hit,stat-path",,
EX解放,godie-i06i,炎神弩,1,1+,15%,champion 限 1,"攻擊力+42
攻擊速度+60%
[普通攻擊時] 攻擊額外造成 10-1000 傷害，敵我距離越遠傷害越高 (0~10)(冷卻1秒)",0｜數值型,damage onBasicAttack flat pctAdd,wc3-import,,
EX解放,godie-i03f,甘豆腐之袍,1,1+,15%,champion 限 1,"MP + 600
每秒魔力回復速度+4
[疊層] 每殺死一名英雄可以額外獲得 10點智慧，上限 160",0｜數值型,grantAttribute onKill flat,wc3-import,,
EX解放,stone-mask,石鬼面,1,1+,15%,champion 限 1,"[究極肉體] 生命首次低於 50%時啟動至回合結束：最大生命 ×1.25、生命回復 ×3、全能吸血 +25%、攻速 ×1.25、移速 ×1.15
[疊層] 究極肉體啟動後，生命每再掉一階（低於 50%／40%／30%／20%／10%）各再使生命回復 ×1.10，五階合計 ×1.61",0｜數值型,applyBuff stat status onDamageTaken < flat pctMult,"legendary,defense,lifesteal",,
EX解放,lance-kongotetsu,神槍・金剛徹,1,1+,15%,champion 限 1,"[必中解放] 連續攻擊獲得〔金剛〕最多 6 層，每層普攻傷害 ×1.04、攻擊速度 ×1.05
[必中解放] 滿層後普攻無法被迴避，仍可被格擋、護盾抵消
[長柄] 攻擊距離 +1",0｜數值型,applyBuff status onBasicAttack flat pctMult,"legendary,on-hit,attack-speed,ad",,
EX解放,book-of-gospel,福音書,1,1+,15%,champion 限 1,"[福音] 每次使用基礎技能（Q／W／E）累積 1 頁〔福音〕，最多 4 頁；每頁使自身造成的傷害・治療・護盾 +8%（四頁 ×1.32）
[福音] 集滿四頁後的下一個基礎技能進入〔既定未來〕：接下來 3 秒內的傷害・治療・護盾再 +60%（與頁數合計約 ×1.92），並返還該格 50% 剩餘冷卻。每回合限一次",0｜數值型,applyBuff modifyCooldown status onAbilityCast flat,"legendary,ability-power,cooldown",,
EX解放,meat-cleaver,肉切菜刀,1,1+,15%,champion 限 1,"[重量解放] 戰鬥中每 0.5 秒沒有普攻便獲得 1 層重量，最多 5 層；打出普攻後停止累積，已累積的層數 2.5 秒內逐層落下
[重量解放] 每層使攻擊力 ×1.15（五層約 ×2.01）
[重量解放] 帶著重量的普攻，會以目標為圓心炸開一道 50% 攻擊力的中範圍物理震波，波及他周圍的敵人（目標本人不再吃這一道）",0｜數值型,applyBuff damageArea status onBasicAttack onInterval pctMult,"legendary,ad,cleave",,
EX解放,godie-i004,至尊魔戒,1,1+,15%,champion 限 1,"魔力+1000
技能吸血+20%
[隱身] 永久隱身 (不會被主動索敵)，但攻擊會現身，無動作 3秒後再次隱身。",0｜數值型,flat,wc3-import,,
EX解放,collar-of-the-deadly-soul,致命魂之首輪,1,1+,15%,champion 限 1,"[成長曲線解放] 力量、敏捷、智慧各 +30
[不再浪費] 達到等級上限後，每擊殺一名敵方英雄使攻擊力・法強・護甲・魔抗・生命上限・魔力上限・攻速・移速各 ×1.05，最多 5 層（乘算，五層約 ×1.28）",0｜數值型,applyBuff stat onKill >= pctMult,"legendary,stat-path,survivability",,
EX解放,pale-moon-requiem-crown,蒼月葬送・千年彼方花冠,1,1+,15%,champion 限 1,"[蒼月開花] 自己受到過量治療時（每 3 秒最多一次）生成 1 朵蒼月花，最多 8 朵，本回合內不凋謝
[花瓣] 每朵使你的治療與護盾輸出 +4%（八朵 ×1.32）
[溢流成盾] 開花的同時，把那一次的溢出化成 120 + AP×0.5 的護盾，持續 4 秒
[千年花園] 集滿八朵時展開 8 秒「千年花園」：我方全體的治療與護盾輸出 ×1.40，並各自獲得 200 + AP×0.8 的護盾（每 30 秒最多展開一次）",0｜數值型,applyBuff shield status onOverheal flat,"legendary,support,shield",,
EX解放,godie-i01v,螺旋劍,1,1+,15%,champion 限 1,"[普通攻擊時] 每次普通攻擊皆會施展螺旋擊，直線範圍造成魔力5%傷害，同時消耗1%魔力
攻擊速度+100%
移動速度+2",0｜數值型,damageLine spawnModelFx spendMana stat onBasicAttack >= flat pctAdd,wc3-import,,
